participant_id,group,song_id,episode,highest_rating,highest_rated_mix,is_tie
P001,Group_1,Song_1,Distraction,72.7,Mix_2,False
P001,Group_1,Song_1,Enjoyment,72.1,Mix_1,False
P001,Group_1,Song_1,Focus,75.3,Mix_2,False
P001,Group_1,Song_1,Motivation,79.7,Mix_2,False
P001,Group_1,Song_1,Relaxation,73.2,Mix_2,False
P001,Group_1,Song_2,Distraction,83.7,Mix_1,False
P001,Group_1,Song_2,Enjoyment,80.2,Mix_2,False
P001,Group_1,Song_2,Focus,76.5,Mix_2,False
P001,Group_1,Song_2,Motivation,73.0,Mix_1,False
P001,Group_1,Song_2,Relaxation,74.4,Mix_3,False
P002,Group_1,Song_1,Distraction,56.5,Mix_2,False
P002,Group_1,Song_1,Enjoyment,72.7,Mix_3,False
P002,Group_1,Song_1,Focus,56.7,Mix_1,False
P002,Group_1,Song_1,Motivation,58.1,Mix_2,False
P002,Group_1,Song_1,Relaxation,54.2,Mix_2,False
P002,Group_1,Song_2,Distraction,66.3,Mix_1,False
P002,Group_1,Song_2,Enjoyment,57.0,Mix_1,False
P002,Group_1,Song_2,Focus,53.5,Mix_3,False
P002,Group_1,Song_2,Motivation,73.6,Mix_1,False
P002,Group_1,Song_2,Relaxation,76.3,Mix_1,False
P003,Group_1,Song_1,Distraction,87.2,Mix_1,False
P003,Group_1,Song_1,Enjoyment,78.5,Mix_1,False
P003,Group_1,Song_1,Focus,77.1,Mix_2,False
P003,Group_1,Song_1,Motivation,84.1,Mix_3,False
P003,Group_1,Song_1,Relaxation,98.1,Mix_2,False
P003,Group_1,Song_2,Distraction,87.4,Mix_3,False
P003,Group_1,Song_2,Enjoyment,88.3,Mix_3,False
P003,Group_1,Song_2,Focus,84.7,Mix_1,False
P003,Group_1,Song_2,Motivation,76.3,Mix_3,False
P003,Group_1,Song_2,Relaxation,76.8,Mix_1,False
P004,Group_1,Song_1,Distraction,70.7,Mix_2|Mix_3,True
P004,Group_1,Song_1,Enjoyment,75.9,Mix_1,False
P004,Group_1,Song_1,Focus,81.7,Mix_1,False
P004,Group_1,Song_1,Motivation,80.6,Mix_1,False
P004,Group_1,Song_1,Relaxation,75.2,Mix_2,False
P004,Group_1,Song_2,Distraction,81.0,Mix_2,False
P004,Group_1,Song_2,Enjoyment,82.5,Mix_1,False
P004,Group_1,Song_2,Focus,82.4,Mix_3,False
P004,Group_1,Song_2,Motivation,81.3,Mix_3,False
P004,Group_1,Song_2,Relaxation,90.1,Mix_2,False
P005,Group_1,Song_1,Distraction,47.5,Mix_2,False
P005,Group_1,Song_1,Enjoyment,62.6,Mix_2,False
P005,Group_1,Song_1,Focus,59.2,Mix_1,False
P005,Group_1,Song_1,Motivation,66.9,Mix_3,False
P005,Group_1,Song_1,Relaxation,58.3,Mix_1,False
P005,Group_1,Song_2,Distraction,50.0,Mix_2,False
P005,Group_1,Song_2,Enjoyment,51.6,Mix_2,False
P005,Group_1,Song_2,Focus,65.3,Mix_2,False
P005,Group_1,Song_2,Motivation,50.8,Mix_2,False
P005,Group_1,Song_2,Relaxation,56.3,Mix_2,False
P006,Group_1,Song_1,Distraction,70.1,Mix_1,False
P006,Group_1,Song_1,Enjoyment,75.5,Mix_3,False
P006,Group_1,Song_1,Focus,49.5,Mix_3,False
P006,Group_1,Song_1,Motivation,56.1,Mix_2,False
P006,Group_1,Song_1,Relaxation,65.5,Mix_2,False
P006,Group_1,Song_2,Distraction,60.1,Mix_2,False
P006,Group_1,Song_2,Enjoyment,58.0,Mix_3,False
P006,Group_1,Song_2,Focus,62.0,Mix_2,False
P006,Group_1,Song_2,Motivation,61.8,Mix_2,False
P006,Group_1,Song_2,Relaxation,60.5,Mix_3,False
P007,Group_1,Song_1,Distraction,69.5,Mix_1,False
P007,Group_1,Song_1,Enjoyment,74.6,Mix_3,False
P007,Group_1,Song_1,Focus,59.7,Mix_2,False
P007,Group_1,Song_1,Motivation,85.5,Mix_2,False
P007,Group_1,Song_1,Relaxation,61.1,Mix_3,False
P007,Group_1,Song_2,Distraction,64.9,Mix_2,False
P007,Group_1,Song_2,Enjoyment,73.0,Mix_2,False
P007,Group_1,Song_2,Focus,76.3,Mix_1,False
P007,Group_1,Song_2,Motivation,76.1,Mix_3,False
P007,Group_1,Song_2,Relaxation,69.5,Mix_2,False
P008,Group_1,Song_1,Distraction,67.9,Mix_1,False
P008,Group_1,Song_1,Enjoyment,70.7,Mix_3,False
P008,Group_1,Song_1,Focus,58.1,Mix_1,False
P008,Group_1,Song_1,Motivation,80.7,Mix_2,False
P008,Group_1,Song_1,Relaxation,80.9,Mix_1,False
P008,Group_1,Song_2,Distraction,68.5,Mix_1,False
P008,Group_1,Song_2,Enjoyment,91.3,Mix_2,False
P008,Group_1,Song_2,Focus,66.9,Mix_3,False
P008,Group_1,Song_2,Motivation,75.5,Mix_3,False
P008,Group_1,Song_2,Relaxation,62.3,Mix_3,False
P009,Group_1,Song_1,Distraction,54.6,Mix_3,False
P009,Group_1,Song_1,Enjoyment,80.1,Mix_1,False
P009,Group_1,Song_1,Focus,90.6,Mix_1,False
P009,Group_1,Song_1,Motivation,68.0,Mix_1,False
P009,Group_1,Song_1,Relaxation,66.0,Mix_1,False
P009,Group_1,Song_2,Distraction,73.9,Mix_2,False
P009,Group_1,Song_2,Enjoyment,80.6,Mix_1,False
P009,Group_1,Song_2,Focus,85.0,Mix_2,False
P009,Group_1,Song_2,Motivation,78.6,Mix_1,False
P009,Group_1,Song_2,Relaxation,76.0,Mix_2,False
P010,Group_1,Song_1,Distraction,71.0,Mix_2,False
P010,Group_1,Song_1,Enjoyment,58.7,Mix_1,False
P010,Group_1,Song_1,Focus,66.5,Mix_2,False
P010,Group_1,Song_1,Motivation,69.5,Mix_3,False
P010,Group_1,Song_1,Relaxation,61.5,Mix_1,False
P010,Group_1,Song_2,Distraction,50.2,Mix_2,False
P010,Group_1,Song_2,Enjoyment,69.4,Mix_2,False
P010,Group_1,Song_2,Focus,64.0,Mix_2,False
P010,Group_1,Song_2,Motivation,64.1,Mix_2,False
P010,Group_1,Song_2,Relaxation,71.6,Mix_3,False
P011,Group_1,Song_1,Distraction,77.8,Mix_2,False
P011,Group_1,Song_1,Enjoyment,78.0,Mix_2,False
P011,Group_1,Song_1,Focus,70.2,Mix_1,False
P011,Group_1,Song_1,Motivation,90.9,Mix_3,False
P011,Group_1,Song_1,Relaxation,69.3,Mix_2,False
P011,Group_1,Song_2,Distraction,72.1,Mix_1,False
P011,Group_1,Song_2,Enjoyment,83.8,Mix_2,False
P011,Group_1,Song_2,Focus,76.2,Mix_2,False
P011,Group_1,Song_2,Motivation,68.6,Mix_1,False
P011,Group_1,Song_2,Relaxation,64.9,Mix_1,False
P012,Group_1,Song_1,Distraction,77.3,Mix_2,False
P012,Group_1,Song_1,Enjoyment,78.3,Mix_2,False
P012,Group_1,Song_1,Focus,79.1,Mix_2,False
P012,Group_1,Song_1,Motivation,94.8,Mix_2,False
P012,Group_1,Song_1,Relaxation,73.1,Mix_3,False
P012,Group_1,Song_2,Distraction,76.8,Mix_2,False
P012,Group_1,Song_2,Enjoyment,96.3,Mix_3,False
P012,Group_1,Song_2,Focus,80.6,Mix_1,False
P012,Group_1,Song_2,Motivation,95.8,Mix_3,False
P012,Group_1,Song_2,Relaxation,72.2,Mix_1,False
P013,Group_1,Song_1,Distraction,71.8,Mix_1,False
P013,Group_1,Song_1,Enjoyment,69.5,Mix_2,False
P013,Group_1,Song_1,Focus,69.3,Mix_1,False
P013,Group_1,Song_1,Motivation,81.2,Mix_3,False
P013,Group_1,Song_1,Relaxation,70.2,Mix_1,False
P013,Group_1,Song_2,Distraction,69.0,Mix_1,False
P013,Group_1,Song_2,Enjoyment,67.5,Mix_3,False
P013,Group_1,Song_2,Focus,83.5,Mix_2,False
P013,Group_1,Song_2,Motivation,75.6,Mix_2,False
P013,Group_1,Song_2,Relaxation,85.3,Mix_3,False
P014,Group_1,Song_1,Distraction,75.5,Mix_3,False
P014,Group_1,Song_1,Enjoyment,89.4,Mix_2,False
P014,Group_1,Song_1,Focus,78.9,Mix_1,False
P014,Group_1,Song_1,Motivation,74.1,Mix_2,False
P014,Group_1,Song_1,Relaxation,65.2,Mix_1,False
P014,Group_1,Song_2,Distraction,80.8,Mix_1,False
P014,Group_1,Song_2,Enjoyment,87.6,Mix_2,False
P014,Group_1,Song_2,Focus,80.2,Mix_2,False
P014,Group_1,Song_2,Motivation,85.2,Mix_3,False
P014,Group_1,Song_2,Relaxation,82.8,Mix_2,False
P015,Group_1,Song_1,Distraction,65.3,Mix_1,False
P015,Group_1,Song_1,Enjoyment,83.2,Mix_3,False
P015,Group_1,Song_1,Focus,88.8,Mix_2,False
P015,Group_1,Song_1,Motivation,80.3,Mix_3,False
P015,Group_1,Song_1,Relaxation,77.4,Mix_1,False
P015,Group_1,Song_2,Distraction,67.8,Mix_2,False
P015,Group_1,Song_2,Enjoyment,87.6,Mix_2,False
P015,Group_1,Song_2,Focus,81.3,Mix_1,False
P015,Group_1,Song_2,Motivation,74.4,Mix_3,False
P015,Group_1,Song_2,Relaxation,80.4,Mix_1,False
P016,Group_1,Song_1,Distraction,57.6,Mix_1,False
P016,Group_1,Song_1,Enjoyment,58.8,Mix_1,False
P016,Group_1,Song_1,Focus,65.8,Mix_1,False
P016,Group_1,Song_1,Motivation,73.5,Mix_3,False
P016,Group_1,Song_1,Relaxation,69.5,Mix_3,False
P016,Group_1,Song_2,Distraction,67.7,Mix_2,False
P016,Group_1,Song_2,Enjoyment,64.0,Mix_3,False
P016,Group_1,Song_2,Focus,57.4,Mix_1,False
P016,Group_1,Song_2,Motivation,67.5,Mix_3,False
P016,Group_1,Song_2,Relaxation,60.2,Mix_2,False
P017,Group_1,Song_1,Distraction,69.1,Mix_2,False
P017,Group_1,Song_1,Enjoyment,87.8,Mix_3,False
P017,Group_1,Song_1,Focus,69.4,Mix_2,False
P017,Group_1,Song_1,Motivation,93.3,Mix_3,False
P017,Group_1,Song_1,Relaxation,78.7,Mix_3,False
P017,Group_1,Song_2,Distraction,94.0,Mix_3,False
P017,Group_1,Song_2,Enjoyment,82.7,Mix_2,False
P017,Group_1,Song_2,Focus,76.1,Mix_2,False
P017,Group_1,Song_2,Motivation,83.4,Mix_3,False
P017,Group_1,Song_2,Relaxation,86.3,Mix_2,False
P018,Group_1,Song_1,Distraction,50.7,Mix_3,False
P018,Group_1,Song_1,Enjoyment,66.3,Mix_2,False
P018,Group_1,Song_1,Focus,58.6,Mix_2,False
P018,Group_1,Song_1,Motivation,65.1,Mix_3,False
P018,Group_1,Song_1,Relaxation,65.5,Mix_1,False
P018,Group_1,Song_2,Distraction,47.3,Mix_1,False
P018,Group_1,Song_2,Enjoyment,61.2,Mix_3,False
P018,Group_1,Song_2,Focus,58.1,Mix_3,False
P018,Group_1,Song_2,Motivation,78.1,Mix_3,False
P018,Group_1,Song_2,Relaxation,64.0,Mix_3,False
P019,Group_1,Song_1,Distraction,64.4,Mix_3,False
P019,Group_1,Song_1,Enjoyment,83.3,Mix_2,False
P019,Group_1,Song_1,Focus,81.6,Mix_2,False
P019,Group_1,Song_1,Motivation,71.3,Mix_3,False
P019,Group_1,Song_1,Relaxation,84.9,Mix_1,False
P019,Group_1,Song_2,Distraction,73.6,Mix_1,False
P019,Group_1,Song_2,Enjoyment,76.4,Mix_2,False
P019,Group_1,Song_2,Focus,77.9,Mix_2,False
