participant_id,group_id,study_group,trial_id,trial_order,trial_index,episode_id,scenario_id,context_title,context_label,context_text,context_dominant_function,song_id,excerpt_id,participant_song_label,song_title,target_eligible,target_ineligibility_reasons,history_eligible,history_ineligibility_reasons,history_comment_available,observed_max_rating,observed_preferred_set,observed_preferred_mix,is_single_winner,n_preferred_tied,human_rating_A,human_rating_B,human_rating_C,human_rating_D,human_rating_E,observed_rank_A,observed_rank_B,observed_rank_C,observed_rank_D,observed_rank_E
P001,group_01,group_01,P001__trial_01,1,1,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,53,"[""E""]",E,True,1,19,30,36,42,53,5.0,4.0,3.0,2.0,1.0
P001,group_01,group_01,P001__trial_02,2,2,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,80,"[""E""]",E,True,1,29,66,46,50,80,5.0,2.0,4.0,3.0,1.0
P001,group_01,group_01,P001__trial_03,3,3,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,82,"[""B""]",B,True,1,22,82,52,75,59,5.0,1.0,4.0,2.0,3.0
P001,group_01,group_01,P001__trial_04,4,4,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,77,"[""E""]",E,True,1,17,34,51,25,77,5.0,3.0,2.0,4.0,1.0
P001,group_01,group_01,P001__trial_05,5,5,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,72,"[""C""]",C,True,1,39,24,72,29,50,3.0,5.0,1.0,4.0,2.0
P001,group_01,group_01,P001__trial_06,6,6,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,75,"[""D""]",D,True,1,22,50,39,75,67,5.0,3.0,4.0,1.0,2.0
P002,group_01,group_01,P002__trial_01,1,1,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,75,"[""B""]",B,True,1,27,75,58,53,38,5.0,1.0,2.0,3.0,4.0
P002,group_01,group_01,P002__trial_02,2,2,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,82,"[""B""]",B,True,1,61,82,50,8,25,2.0,1.0,3.0,5.0,4.0
P002,group_01,group_01,P002__trial_03,3,3,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,76,"[""A""]",A,True,1,76,41,63,12,36,1.0,3.0,2.0,5.0,4.0
P002,group_01,group_01,P002__trial_04,4,4,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,77,"[""C""]",C,True,1,59,49,77,15,7,2.0,3.0,1.0,4.0,5.0
