scenario,N,replications,operational_success,strict_convergence,cell_mean_rmse,cell_mean_coverage,winner_accuracy,mean_p_true_winner,avg_94pct_hdi_width,passes_recovery_rule
Higher noise,40,20,0.65,0.0,2.1810361186633886,0.9108333333333332,0.8800000000000001,0.8490718749999999,7.670783450005103,False
Higher noise,50,20,0.45,0.0,1.6011091681693554,0.9716666666666668,0.8825,0.86529375,6.987487271996754,False
Higher noise,60,20,0.2,0.0,1.5605718814337222,0.9491666666666668,0.8925000000000001,0.8693250000000001,6.468101683402018,True
Higher noise,80,20,0.35,0.0,1.7359325538350103,0.8866666666666667,0.8724999999999999,0.87000625,5.482570721193211,True
Moderate effects,40,20,0.55,0.0,1.5452618117042654,0.9183333333333332,0.9175,0.8905906250000001,5.603848863162606,True
Moderate effects,50,20,0.25,0.0,1.234324396209073,0.935,0.91,0.8859999999999999,5.0481190126358575,True
Moderate effects,60,20,0.4,0.0,1.4194622249824915,0.8616666666666667,0.9075,0.8914843749999999,4.585753415344613,True
Moderate effects,80,20,0.4,0.0,0.9424120363283944,0.9391666666666666,0.9325,0.90745,3.912876268203398,True
Smaller effects,40,20,0.35,0.0,1.5415605050718015,0.885,0.89,0.8458406249999999,5.610231057321906,True
Smaller effects,50,20,0.35,0.0,1.344148004952428,0.9091666666666668,0.865,0.8327187500000001,4.899974911360967,True
Smaller effects,60,20,0.35,0.0,1.2032300667155411,0.9116666666666668,0.8675,0.85110625,4.440505083253932,True
Smaller effects,80,20,0.35,0.0,1.1362720152675394,0.8841666666666667,0.9025,0.868996875,3.947279499404316,True
