song,selected_mix_id,original_mix_name,brecht_mean_previous_preference,rating_count,role_in_set,important_acoustic_or_perceptual_contribution,nearest_selected_neighbour,nearest_selected_neighbour_distance,reason_not_near_duplicate,technical_quality_status,confidence_level,manual_listening_confirmation_required,review_audio_path,source_selection_basis
Lead Me,mix_f1f7973e5bac,DU-D,0.344928583221,39,similar-rating subset,lower low/low-mid spectral energy; higher stereo width,PXL-L4,2.51973487833,nearest selected distance 2.520; near_duplicate_flag=False,REVIEW (alignment_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\DU-D_28sec.wav,six_mix_proposals_union
Lead Me,mix_271852ba8676,DU-E,0.288513454805,39,similar-rating subset,lower low/low-mid spectral energy; higher brightness proxy,PXL-L1,2.84064614514,nearest selected distance 2.841; near_duplicate_flag=False,REVIEW (alignment_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\DU-E_28sec.wav,six_mix_proposals_union
Lead Me,mix_d5b28dfc8a93,PXL-L1,0.331806996292,36,similar-rating subset,lower side-channel spectral energy; lower source RMS/energy,DU-E,2.84064614514,nearest selected distance 2.841; near_duplicate_flag=False,REVIEW (alignment_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\PXL-L1_28sec.wav,six_mix_proposals_union
Lead Me,mix_c7d9a071ba25,PXL-L4,0.516818070818,6,range-broadening / rating bridge,higher stereo width; lower source RMS/energy,DU-D,2.51973487833,nearest selected distance 2.520; near_duplicate_flag=False,REVIEW (alignment_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\PXL-L4_28sec.wav,six_mix_proposals_union
Lead Me,mix_d3e3580b6e30,McG-pro2,0.547365451895,45,range-broadening,higher source RMS/energy; higher crest factor/dynamics,PXL-L1,2.92257247514,nearest selected distance 2.923; near_duplicate_flag=False,REVIEW (alignment_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\McG-pro2_28sec.wav,six_mix_proposals_union
In The Meantime,mix_c7bdcba64775,QUT-B,0.169540672643,16,range-broadening / rating bridge,lower side-channel spectral energy; lower upper-band spectral energy,DU-K,4.13120303805,nearest selected distance 4.131; near_duplicate_flag=False,REVIEW (alignment_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\QUT-B_28sec.wav,six_mix_proposals_union
In The Meantime,mix_302f0efe8a80,DU-H,0.560388064169,54,similar-rating subset,higher source RMS/energy; lower low/low-mid spectral energy,DU-K,2.85892406223,nearest selected distance 2.859; near_duplicate_flag=False,REVIEW (alignment_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-H_28sec.wav,six_mix_proposals_union
In The Meantime,mix_9baa86357fd4,DU-I,0.531178215151,38,similar-rating subset,higher crest factor/dynamics; lower source RMS/energy,DU-K,2.10556575572,nearest selected distance 2.106; near_duplicate_flag=False,REVIEW (alignment_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-I_28sec.wav,six_mix_proposals_union
In The Meantime,mix_56e65a3ce054,DU-K,0.136285256921,38,range-broadening,lower side-channel spectral energy; higher crest factor/dynamics,DU-I,2.10556575572,nearest selected distance 2.106; near_duplicate_flag=False,REVIEW (near_clipped_samples|loudness_normalisation_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-K_28sec.wav,six_mix_proposals_union
In The Meantime,mix_cdaef40f2b94,QUT-pro,0.584611251475,16,similar-rating subset,higher stereo width; lower crest factor/dynamics,DU-I,3.13630445374,nearest selected distance 3.136; near_duplicate_flag=False,REVIEW (alignment_review),medium-high,yes,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\QUT-pro_28sec.wav,six_mix_proposals_union
