song,mix_i,mix_j,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,near_duplicate_flag,selection_status
Lead Me,DU-D,DU-E,3.49499417947,2.19865507979,2.71678121214,3.56660715348,False,recommended_final_five
Lead Me,DU-D,PXL-L1,3.22184944336,2.0237866817,2.50691070894,3.45384737638,False,recommended_final_five
Lead Me,DU-D,PXL-L4,2.51973487833,0.880321058552,2.36095292011,2.52164576595,False,recommended_final_five
Lead Me,DU-D,McG-pro2,3.46565221351,2.52751914141,2.37115842043,3.49230625924,False,recommended_final_five
Lead Me,DU-E,PXL-L1,2.84064614514,0.974726035256,2.66817909408,2.81714419837,False,recommended_final_five
Lead Me,DU-E,PXL-L4,3.22122650988,2.19385495243,2.35866501981,3.46979482548,False,recommended_final_five
Lead Me,DU-E,McG-pro2,3.2282673575,2.44707738144,2.10559312801,2.12444604521,False,recommended_final_five
Lead Me,PXL-L1,PXL-L4,3.1614334219,2.39923943571,2.05871596177,3.54763279753,False,recommended_final_five
Lead Me,PXL-L1,McG-pro2,2.92257247514,2.02732653302,2.10508360902,2.37067649185,False,recommended_final_five
Lead Me,PXL-L4,McG-pro2,3.08444132181,2.93081868421,0.961290855039,2.90511335999,False,recommended_final_five
In The Meantime,QUT-B,DU-H,4.35284589688,1.42191522104,4.11405207868,4.17404758018,False,recommended_final_five
In The Meantime,QUT-B,DU-I,5.26026765587,2.47173555282,4.6433758375,5.32265601984,False,recommended_final_five
In The Meantime,QUT-B,DU-K,4.13120303805,2.3535880446,3.39521160724,4.37931017818,False,recommended_final_five
In The Meantime,QUT-B,QUT-pro,5.56099797932,2.51834590663,4.95808757694,5.80015706268,False,recommended_final_five
In The Meantime,DU-H,DU-I,3.41830268237,2.93882274642,1.7458849027,2.59047171793,False,recommended_final_five
In The Meantime,DU-H,DU-K,2.85892406223,2.43793197585,1.49329651267,2.54659537583,False,recommended_final_five
In The Meantime,DU-H,QUT-pro,3.20659552719,2.62938437619,1.83537262626,3.29134795649,False,recommended_final_five
In The Meantime,DU-I,DU-K,2.10556575572,0.804815217732,1.94568230114,1.98076217164,False,recommended_final_five
In The Meantime,DU-I,QUT-pro,3.13630445374,2.98610831373,0.958938353218,3.42314400135,False,recommended_final_five
In The Meantime,DU-K,QUT-pro,3.37008746851,2.60664152291,2.13609679474,3.74346276694,False,recommended_final_five
Pouring Room,McG-R,McG-T,2.92699986494,1.69728156061,2.38465165451,3.29826875001,False,recommended_final_five
Pouring Room,McG-R,McG-X,3.07136962966,1.24586053133,2.80733733963,3.26794733386,False,recommended_final_five
Pouring Room,McG-R,McG-pro1,2.12138547376,1.62128540223,1.36810451823,1.83313116218,False,recommended_final_five
Pouring Room,McG-R,McG-V,2.17432776084,1.62323811333,1.44665104258,2.67931931588,False,recommended_final_five
Pouring Room,McG-T,McG-X,1.88514897969,1.02477453683,1.58228436897,1.84879610066,False,recommended_final_five
Pouring Room,McG-T,McG-pro1,2.77757175573,2.37228123021,1.44470987503,2.58634196256,False,recommended_final_five
Pouring Room,McG-T,McG-V,2.05828285308,1.27173137378,1.61840279789,2.32965498712,False,recommended_final_five
Pouring Room,McG-X,McG-pro1,2.28153468183,1.35739107835,1.83381841108,2.19649003994,False,recommended_final_five
Pouring Room,McG-X,McG-V,1.9297504407,0.758062523724,1.77462051535,2.00375781462,False,recommended_final_five
Pouring Room,McG-pro1,McG-V,1.69525800496,1.66357031242,0.326241504158,1.29617575092,False,recommended_final_five
I'd Like To Know,PXL-S3,PXL-S5,3.48430981082,2.9573890462,1.84235308428,3.61667568047,False,recommended_final_five
I'd Like To Know,PXL-S3,PXL-S1,2.63942489308,1.15463481306,2.3734747133,2.63298207754,False,recommended_final_five
I'd Like To Know,PXL-S3,PXL-S2,1.36762958502,0.594656022338,1.23158227371,1.3792154247,False,recommended_final_five
I'd Like To Know,PXL-S3,PXL-S7,2.40240683695,1.3944572096,1.95628415646,2.37847168513,False,recommended_final_five
I'd Like To Know,PXL-S5,PXL-S1,2.67350923895,1.88302293763,1.89786097149,2.75036146744,False,recommended_final_five
I'd Like To Know,PXL-S5,PXL-S2,2.71035546444,2.47577752708,1.10297433334,2.80880695242,False,recommended_final_five
I'd Like To Know,PXL-S5,PXL-S7,1.97772901106,1.68079102881,1.04228285922,2.04652821104,False,recommended_final_five
I'd Like To Know,PXL-S1,PXL-S2,1.85592731216,0.868713408919,1.64006195041,1.79950830026,False,recommended_final_five
I'd Like To Know,PXL-S1,PXL-S7,1.59744017638,0.274412347985,1.57369405552,1.59328998981,False,recommended_final_five
I'd Like To Know,PXL-S2,PXL-S7,1.52980290766,1.05729456738,1.10563336331,1.41160588707,False,recommended_final_five
