frontend_group,participant_excerpt,artist,song,source_song_id,active_category,rejected_category,slot,source_mix,internal_mix_id,stimulus_id,source_wav,frontend_wav,configuration_version,perceptual_approval_status
group_01,Song A,The DoneFors,Lead Me,lead_me,Wide Ratings,Similar Ratings,mix_01,PXL-L1,mix_d5b28dfc8a93,lead_me_pxl_l1,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/Lead Me/Wide Ratings/PXL-L1_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_01/song_a_lead_me/pxl_l1.wav,rating_stratification_v2_2026-08-03,pending
group_01,Song A,The DoneFors,Lead Me,lead_me,Wide Ratings,Similar Ratings,mix_02,PXL-L4,mix_c7d9a071ba25,lead_me_pxl_l4,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/Lead Me/Wide Ratings/PXL-L4_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_01/song_a_lead_me/pxl_l4.wav,rating_stratification_v2_2026-08-03,pending
group_01,Song A,The DoneFors,Lead Me,lead_me,Wide Ratings,Similar Ratings,mix_03,McG-pro2,mix_d3e3580b6e30,lead_me_mcg_pro2,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/Lead Me/Wide Ratings/McG-pro2_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_01/song_a_lead_me/mcg_pro2.wav,rating_stratification_v2_2026-08-03,pending
group_01,Song B,Broken Crank,Red To Blue,red_to_blue,Wide Ratings,Similar Ratings,mix_01,McG-C,mix_5143d2ee3859,red_to_blue_mcg_c,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/Red To Blue/Wide Ratings/McG-C_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_01/song_b_red_to_blue/mcg_c.wav,rating_stratification_v2_2026-08-03,pending
group_01,Song B,Broken Crank,Red To Blue,red_to_blue,Wide Ratings,Similar Ratings,mix_02,McG-H,mix_5b76bf1a027d,red_to_blue_mcg_h,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/Red To Blue/Wide Ratings/McG-H_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_01/song_b_red_to_blue/mcg_h.wav,rating_stratification_v2_2026-08-03,pending
group_01,Song B,Broken Crank,Red To Blue,red_to_blue,Wide Ratings,Similar Ratings,mix_03,McG-pro1,mix_808780e357c9,red_to_blue_mcg_pro1,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/Red To Blue/Wide Ratings/McG-pro1_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_01/song_b_red_to_blue/mcg_pro1.wav,rating_stratification_v2_2026-08-03,pending
group_02,Song A,Fredy V,In The Meantime,in_the_meantime,Wide Ratings,Similar Ratings,mix_01,DU-K,mix_56e65a3ce054,in_the_meantime_du_k,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/In The Meantime/Wide Ratings/DU-K_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/du_k.wav,rating_stratification_v2_2026-08-03,pending
group_02,Song A,Fredy V,In The Meantime,in_the_meantime,Wide Ratings,Similar Ratings,mix_02,QUT-pro,mix_cdaef40f2b94,in_the_meantime_qut_pro,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/In The Meantime/Wide Ratings/QUT-pro_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/qut_pro.wav,rating_stratification_v2_2026-08-03,pending
group_02,Song A,Fredy V,In The Meantime,in_the_meantime,Wide Ratings,Similar Ratings,mix_03,DU-N,mix_29131e66c9d7,in_the_meantime_du_n,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/In The Meantime/Wide Ratings/DU-N_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_02/song_a_in_the_meantime/du_n.wav,rating_stratification_v2_2026-08-03,pending
group_02,Song B,The DoneFors,Pouring Room,pouring_room,Similar Ratings,Wide Ratings,mix_01,McG-R,mix_0ba76f420c1d,pouring_room_mcg_r,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/Pouring Room/Similar Ratings/McG-R_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_02/song_b_pouring_room/mcg_r.wav,rating_stratification_v2_2026-08-03,pending
group_02,Song B,The DoneFors,Pouring Room,pouring_room,Similar Ratings,Wide Ratings,mix_02,McG-T,mix_be2ccd4c43ff,pouring_room_mcg_t,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/Pouring Room/Similar Ratings/McG-T_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_02/song_b_pouring_room/mcg_t.wav,rating_stratification_v2_2026-08-03,pending
group_02,Song B,The DoneFors,Pouring Room,pouring_room,Similar Ratings,Wide Ratings,mix_03,McG-X,mix_cbf8555ee2b2,pouring_room_mcg_x,outputs/stimulus_selection/06_rating_stratification/candidate_review_audio/Pouring Room/Similar Ratings/McG-X_28sec.wav,study-interface/frontend/assets/audio/study-stimuli/main-study/group_02/song_b_pouring_room/mcg_x.wav,rating_stratification_v2_2026-08-03,pending
