artist,song,mix_i_original_name,mix_j_original_name,mix_i_id,mix_j_id,combined_euclidean_distance,scalar_only_distance,bark_only_distance,rms_excluded_distance,combined_manhattan_distance,near_duplicate_flag
Dawn Langstroth,No Prize,McG-K,McG-M,mix_176dff701046,mix_22ae53b1c0f8,0.964227603471,0.780612597915,0.566020179209,1.22180605208,1.88820306966,0
Dawn Langstroth,No Prize,McG-K,McG-P,mix_176dff701046,mix_331b5d620be9,1.19373839798,1.0940092567,0.477655847936,1.52900921169,2.51807308533,0
Dawn Langstroth,No Prize,McG-K,McG-I,mix_176dff701046,mix_58fa089225bc,1.04112531155,0.643362042379,0.818551890097,1.12600883728,2.23343326765,0
Dawn Langstroth,No Prize,McG-K,McG-L,mix_176dff701046,mix_5df0d210127a,1.1260538964,1.0721838104,0.344120987885,0.886383152076,2.07598161647,0
Dawn Langstroth,No Prize,McG-K,McG-pro2,mix_176dff701046,mix_6cbe1fdaeb7b,1.73561106632,1.53835794504,0.803617201453,1.99444506319,3.73364250944,0
Dawn Langstroth,No Prize,McG-K,McG-N,mix_176dff701046,mix_76cfb2bccc8d,3.03713443346,1.55640290858,2.60802522094,2.81879948054,5.28753067066,0
Dawn Langstroth,No Prize,McG-K,McG-J,mix_176dff701046,mix_7df159240700,1.14555797466,1.0012565923,0.556586300295,0.910603998627,2.22566709378,0
Dawn Langstroth,No Prize,McG-K,McG-O,mix_176dff701046,mix_f959e52ab387,1.27715528357,0.909764956068,0.896355589635,1.52641704807,2.84379224891,0
Dawn Langstroth,No Prize,McG-M,McG-P,mix_22ae53b1c0f8,mix_331b5d620be9,0.914206099727,0.852003238501,0.331456293289,0.853929528396,1.77874713966,0
Dawn Langstroth,No Prize,McG-M,McG-I,mix_22ae53b1c0f8,mix_58fa089225bc,1.05329440523,0.988128697427,0.364733850093,1.21388125042,2.22179798189,0
Dawn Langstroth,No Prize,McG-M,McG-L,mix_22ae53b1c0f8,mix_5df0d210127a,1.53748856225,1.40330602352,0.628174564445,1.35272582621,3.38071987892,0
Dawn Langstroth,No Prize,McG-M,McG-pro2,mix_22ae53b1c0f8,mix_6cbe1fdaeb7b,0.937038832277,0.845553804703,0.40383231241,0.867174780003,1.84543943978,0
Dawn Langstroth,No Prize,McG-M,McG-N,mix_22ae53b1c0f8,mix_76cfb2bccc8d,3.59330308254,1.9663951968,3.00751009525,3.440844135,6.27674786379,0
Dawn Langstroth,No Prize,McG-M,McG-J,mix_22ae53b1c0f8,mix_7df159240700,1.19970841829,1.12771312481,0.409345083067,1.39730418214,2.48946639166,0
Dawn Langstroth,No Prize,McG-M,McG-O,mix_22ae53b1c0f8,mix_f959e52ab387,0.582884902312,0.40694448373,0.417314026249,0.709234864008,1.1695509791,1
Dawn Langstroth,No Prize,McG-P,McG-I,mix_331b5d620be9,mix_58fa089225bc,0.864060233695,0.717125474517,0.48200740788,1.13851951549,1.63398567183,0
Dawn Langstroth,No Prize,McG-P,McG-L,mix_331b5d620be9,mix_5df0d210127a,1.06714306959,0.86468280132,0.625394262898,1.21620630328,2.16393295056,0
Dawn Langstroth,No Prize,McG-P,McG-pro2,mix_331b5d620be9,mix_6cbe1fdaeb7b,1.63124264702,1.54525195599,0.522636552452,1.28690979365,3.19915274999,0
