artist,song,rating_condition,original_mix_name,original_dataset_filename,mix_id,source_path,approved_aligned_start_seconds,approved_aligned_end_seconds,actual_source_start_seconds,actual_source_end_seconds,output_path,sample_rate,bit_depth,channels,duration_seconds,LUFS_before,LUFS_after,applied_gain_db,true_peak_before_dbfs,true_peak_after_dbfs,clipping,fade_in_ms,fade_out_ms,sha256,validation_status,notes
The DoneFors,Lead Me,Similar Ratings,DU-D,DU-D.mp3,mix_f1f7973e5bac,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Lead Me\DU-D_28sec.wav,9.573107,37.573107,9.552699,37.552699,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\DU-D_28sec.wav,44100,24,2,28,-23.066837409,-20.8000211841,2.26683740901,-8.48762406919,-6.22078636515,false,5,5,c9f29238b0df89952af408ccb06cf67aa3355a6e8a289d72c6e6987116e00b50,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Lead Me,Similar Ratings,DU-E,DU-E.mp3,mix_271852ba8676,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Lead Me\DU-E_28sec.wav,9.573107,37.573107,9.573107,37.573107,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\DU-E_28sec.wav,44100,24,2,28,-21.7263783636,-20.8000286165,0.926378363609,-5.92884113406,-5.00246205427,false,5,5,0d4f376765530c1ec5d64907a3900bd83fd07dae3ded520172cabfc69d39760e,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Lead Me,Similar Ratings,QUT-F,QUT-F.mp3,mix_4e2cf7c970a8,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Lead Me\QUT-F_28sec.wav,9.573107,37.573107,9.609751,37.609751,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\QUT-F_28sec.wav,44100,24,2,28,-21.4621352538,-20.8000902294,0.662135253777,-7.50072354737,-6.83858853862,false,5,5,18dc5f3c4bd202abaed2c99e06ab70695752eb0bc46a8b1aa1fdbb28b3eedfd2,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Lead Me,Wide Ratings,PXL-L1,PXL-L1.mp3,mix_d5b28dfc8a93,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Lead Me\PXL-L1_28sec.wav,9.573107,37.573107,9.527756,37.527756,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\PXL-L1_28sec.wav,44100,24,2,28,-22.0159720976,-20.8000378322,1.21597209759,-7.44682824394,-6.23085609022,false,5,5,0e49ed57878b2133b5735e9842fba43c618a8a98a65f3898a3a88053c68e63ae,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Lead Me,Wide Ratings,PXL-L4,PXL-L4.mp3,mix_c7d9a071ba25,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Lead Me\PXL-L4_28sec.wav,9.573107,37.573107,9.537733,37.537733,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\PXL-L4_28sec.wav,44100,24,2,28,-22.0881303245,-20.8000322717,1.28813032446,-8.4925554313,-7.20442489316,false,5,5,8986dbe6804998640b1cdcf107af74c9c8cfc1792dcb7e3c737c2c64d3a5cd44,PASS,loudness-normalised six-mix review WAV; original mix name preserved
The DoneFors,Lead Me,Wide Ratings,McG-pro2,McG-pro2.mp3,mix_d3e3580b6e30,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\Lead Me\McG-pro2_28sec.wav,9.573107,37.573107,9.651656,37.651656,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\Lead Me\McG-pro2_28sec.wav,44100,24,2,28,-21.0762731897,-20.8000361533,0.276273189713,-2.25173953982,-1.97546644827,false,5,5,b7bfbb9d01a147c7ec3df884ff35e64a9e177d51b025d1a58f0d69dba12c5d61,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Fredy V,In The Meantime,Similar Ratings,QUT-B,QUT-B.mp3,mix_c7bdcba64775,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\In The Meantime\QUT-B_28sec.wav,35.300431,63.300431,35.29,63.29,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\QUT-B_28sec.wav,44100,24,2,28,-22.0248902299,-20.8000015495,1.22489022995,-7.59617037146,-6.37127994269,false,5,5,612d1059890671ba799b1fc1d6f32201a46bc9156091f7186a4e9202e62dd46b,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Fredy V,In The Meantime,Similar Ratings,DU-H,DU-H.mp3,mix_302f0efe8a80,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\In The Meantime\DU-H_28sec.wav,35.300431,63.300431,34.742971,62.742971,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-H_28sec.wav,44100,24,2,28,-22.682255117,-20.8000032898,1.88225511704,-5.11998822486,-3.2377331524,false,5,5,1f313be3c726d3e8c3fe459a661feca3cc452bb83ad9c7b595b6d88e463ba05f,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Fredy V,In The Meantime,Similar Ratings,DU-I,DU-I.mp3,mix_9baa86357fd4,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\In The Meantime\DU-I_28sec.wav,35.300431,63.300431,34.767914,62.767914,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-I_28sec.wav,44100,24,2,28,-22.7824115615,-20.8000180248,1.98241156149,-2.88948971201,-0.907077946224,false,5,5,37cbf18b0bc2e144769577718e2382ee137abac9fafb38d921995d700fe8e002,PASS,loudness-normalised six-mix review WAV; original mix name preserved
Fredy V,In The Meantime,Wide Ratings,DU-K,DU-K.mp3,mix_56e65a3ce054,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\In The Meantime\DU-K_28sec.wav,35.300431,63.300431,34.767914,62.767914,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\DU-K_28sec.wav,44100,24,2,28,-23.0898806957,-21.1187337991,1.97114790511,-2.05844380975,-0.0872955014284,false,5,5,813949cb894475f88df188a09279cd3c4fa0d1f2ab81cbf4c44b3be308c60455,REVIEW,loudness-normalised six-mix review WAV; original mix name preserved
Fredy V,In The Meantime,Wide Ratings,QUT-pro,QUT-pro.mp3,mix_cdaef40f2b94,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\04_mix_selection_v2\candidate_pool_previews\In The Meantime\QUT-pro_28sec.wav,35.300431,63.300431,35.296894,63.296894,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_six_mix_proposals\review_audio\In The Meantime\QUT-pro_28sec.wav,44100,24,2,28,-22.5044663329,-20.8000149393,1.70446633292,-10.7655051788,-9.06103913558,false,5,5,357d016781d6b0ee030537969cfffbd24017a95e0d1de5da75eae7ba2d03595e,PASS,loudness-normalised six-mix review WAV; original mix name preserved
