artist,song,six_mix_set_id,rating_condition,condition_position,original_mix_name,original_dataset_filename,mix_id,institution_code,mean_previous_preference,median_previous_preference,rating_count,rating_percentile_within_song,acoustic_pool_rank,distance_from_acoustic_medoid,nearest_neighbour_distance,stereo_imbalance,stereo_imbalance_qc_flag,clipping_qc_flag,alignment_status,technical_qc_status,proposed_for_six_mix_trial,notes
The DoneFors,Lead Me,LeadMe_SixMix_Proposal_001,Similar Ratings,1,DU-D,DU-D.mp3,mix_f1f7973e5bac,DU,0.344928583221,0.32967032967,39,0.138888888889,2,3.02084733205,2.33220975061,-0.0521329641342,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
The DoneFors,Lead Me,LeadMe_SixMix_Proposal_001,Similar Ratings,2,DU-E,DU-E.mp3,mix_271852ba8676,DU,0.288513454805,0.281318681319,39,0.0277777777778,5,2.2866017549,1.71936809347,0.0436125770211,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
The DoneFors,Lead Me,LeadMe_SixMix_Proposal_001,Similar Ratings,3,QUT-F,QUT-F.mp3,mix_4e2cf7c970a8,QUT,0.320524872239,0.306376294787,16,0.0833333333333,10,1.63588935399,1.1993533712,0.0952272340655,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
The DoneFors,Lead Me,LeadMe_SixMix_Proposal_001,Wide Ratings,1,PXL-L1,PXL-L1.mp3,mix_d5b28dfc8a93,PXL,0.331806996292,0.277892894314,36,0.111111111111,3,2.33458354116,1.25915273732,-0.0129087874666,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
The DoneFors,Lead Me,LeadMe_SixMix_Proposal_001,Wide Ratings,2,PXL-L4,PXL-L4.mp3,mix_c7d9a071ba25,PXL,0.516818070818,0.58973992674,6,0.611111111111,6,2.24847004699,1.23314937975,0.109930999577,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
The DoneFors,Lead Me,LeadMe_SixMix_Proposal_001,Wide Ratings,3,McG-pro2,McG-pro2.mp3,mix_d3e3580b6e30,McG,0.547365451895,0.545636910732,45,0.694444444444,17,1.34068293977,1.04314448596e-16,-0.00143597240094,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
Fredy V,In The Meantime,InTheMeantime_SixMix_Proposal_001,Similar Ratings,1,QUT-B,QUT-B.mp3,mix_c7bdcba64775,QUT,0.169540672643,0.162879648027,16,0.0571428571429,2,4.11523731091,3.25287319265,0.000562923552934,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
Fredy V,In The Meantime,InTheMeantime_SixMix_Proposal_001,Similar Ratings,2,DU-H,DU-H.mp3,mix_302f0efe8a80,DU,0.560388064169,0.560897435897,54,0.714285714286,4,2.25107568995,1.25556149847,0.0354086197913,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
Fredy V,In The Meantime,InTheMeantime_SixMix_Proposal_001,Similar Ratings,3,DU-I,DU-I.mp3,mix_9baa86357fd4,DU,0.531178215151,0.489010989011,38,0.628571428571,5,2.37971263777,1.32326801637,-0.0380811542273,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
Fredy V,In The Meantime,InTheMeantime_SixMix_Proposal_001,Wide Ratings,1,DU-K,DU-K.mp3,mix_56e65a3ce054,DU,0.136285256921,0.100824175824,38,0.0285714285714,3,2.43500433904,1.64560059173,0.0170408543199,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
Fredy V,In The Meantime,InTheMeantime_SixMix_Proposal_001,Wide Ratings,2,QUT-pro,QUT-pro.mp3,mix_cdaef40f2b94,QUT,0.584611251475,0.525144512809,16,0.857142857143,6,1.89430827515,0.918554639901,-0.0385963246226,false,false,FAIL,REVIEW,true,union of canonical Similar and Wide triplets; stereo imbalance QC-only
