section,model,term,estimate,ci_low,ci_high
fixed,stimulus_model,Intercept,50.302,40.279,60.146
fixed,stimulus_model,episode[EDR-2],2.202,-1.86,5.874
fixed,stimulus_model,episode[FM-1],-6.675,-10.641,-2.893
fixed,stimulus_model,group[group_02],5.995,-7.258,18.819
fixed,primary_feature_model,Intercept,44.8,34.622,55.207
fixed,primary_feature_model,episode[EDR-2],2.231,-1.798,6.13
fixed,primary_feature_model,episode[FM-1],-6.641,-10.627,-2.677
fixed,primary_feature_model,group[group_02],16.766,2.029,32.145
fixed,primary_feature_model,z_RMS,5.284,-0.073,10.389
fixed,primary_feature_model,z_CF,-6.265,-12.443,-0.369
fixed,primary_feature_model,z_SW,-2.795,-8.416,2.679
variance,stimulus_model,1|participant_id_sigma,12.314,8.841,15.921
variance,stimulus_model,1|stimulus_id_sigma,13.46,9.018,18.434
variance,stimulus_model,sigma,26.851,25.696,28.035
variance,primary_feature_model,1|participant_id_sigma,12.477,8.797,16.065
variance,primary_feature_model,1|stimulus_id_sigma,11.246,7.061,16.099
variance,primary_feature_model,sigma,26.866,25.772,28.107
icc,stimulus_model,participant_variance,155.414,77.581,252.669
icc,stimulus_model,stimulus_variance,187.86,72.172,328.127
icc,stimulus_model,residual_variance,721.341,658.89,784.487
icc,stimulus_model,participant_ICC,0.145,0.075,0.219
icc,stimulus_model,stimulus_ICC,0.173,0.082,0.279
icc,stimulus_model,residual_share,0.682,0.572,0.78
icc,primary_feature_model,participant_variance,159.673,70.205,250.244
icc,primary_feature_model,stimulus_variance,133.158,43.33,247.011
icc,primary_feature_model,residual_variance,722.195,658.284,783.699
icc,primary_feature_model,participant_ICC,0.156,0.084,0.239
icc,primary_feature_model,stimulus_ICC,0.128,0.044,0.218
icc,primary_feature_model,residual_share,0.716,0.613,0.813
