trial_id,participant_id,phase3_prediction_example_id,phase6b_prediction_example_id,phase3_present,phase6b_present,aligned
P001__trial_01,P001,real_loto__P001__trial_01,P001__heldout__P001__trial_01,True,True,True
P001__trial_02,P001,real_loto__P001__trial_02,P001__heldout__P001__trial_02,True,True,True
P001__trial_03,P001,real_loto__P001__trial_03,P001__heldout__P001__trial_03,True,True,True
P001__trial_04,P001,real_loto__P001__trial_04,P001__heldout__P001__trial_04,True,True,True
P001__trial_05,P001,real_loto__P001__trial_05,P001__heldout__P001__trial_05,True,True,True
P001__trial_06,P001,real_loto__P001__trial_06,P001__heldout__P001__trial_06,True,True,True
P002__trial_01,P002,real_loto__P002__trial_01,P002__heldout__P002__trial_01,True,True,True
P002__trial_02,P002,real_loto__P002__trial_02,P002__heldout__P002__trial_02,True,True,True
P002__trial_03,P002,real_loto__P002__trial_03,P002__heldout__P002__trial_03,True,True,True
P002__trial_04,P002,real_loto__P002__trial_04,P002__heldout__P002__trial_04,True,True,True
P002__trial_05,P002,real_loto__P002__trial_05,P002__heldout__P002__trial_05,True,True,True
P002__trial_06,P002,real_loto__P002__trial_06,P002__heldout__P002__trial_06,True,True,True
P003__trial_01,P003,real_loto__P003__trial_01,P003__heldout__P003__trial_01,True,True,True
P003__trial_02,P003,real_loto__P003__trial_02,P003__heldout__P003__trial_02,True,True,True
P003__trial_03,P003,real_loto__P003__trial_03,P003__heldout__P003__trial_03,True,True,True
P003__trial_04,P003,real_loto__P003__trial_04,P003__heldout__P003__trial_04,True,True,True
P003__trial_05,P003,real_loto__P003__trial_05,P003__heldout__P003__trial_05,True,True,True
P003__trial_06,P003,real_loto__P003__trial_06,P003__heldout__P003__trial_06,True,True,True
P004__trial_01,P004,real_loto__P004__trial_01,P004__heldout__P004__trial_01,True,True,True
P004__trial_02,P004,real_loto__P004__trial_02,P004__heldout__P004__trial_02,True,True,True
P004__trial_03,P004,real_loto__P004__trial_03,P004__heldout__P004__trial_03,True,True,True
P004__trial_04,P004,real_loto__P004__trial_04,P004__heldout__P004__trial_04,True,True,True
P004__trial_05,P004,real_loto__P004__trial_05,P004__heldout__P004__trial_05,True,True,True
P004__trial_06,P004,real_loto__P004__trial_06,P004__heldout__P004__trial_06,True,True,True
P005__trial_01,P005,real_loto__P005__trial_01,P005__heldout__P005__trial_01,True,True,True
P005__trial_02,P005,real_loto__P005__trial_02,P005__heldout__P005__trial_02,True,True,True
P005__trial_03,P005,real_loto__P005__trial_03,P005__heldout__P005__trial_03,True,True,True
P005__trial_04,P005,real_loto__P005__trial_04,P005__heldout__P005__trial_04,True,True,True
P005__trial_05,P005,real_loto__P005__trial_05,P005__heldout__P005__trial_05,True,True,True
P005__trial_06,P005,real_loto__P005__trial_06,P005__heldout__P005__trial_06,True,True,True
P006__trial_01,P006,real_loto__P006__trial_01,P006__heldout__P006__trial_01,True,True,True
P006__trial_02,P006,real_loto__P006__trial_02,P006__heldout__P006__trial_02,True,True,True
P006__trial_03,P006,real_loto__P006__trial_03,P006__heldout__P006__trial_03,True,True,True
P006__trial_04,P006,real_loto__P006__trial_04,P006__heldout__P006__trial_04,True,True,True
P006__trial_05,P006,real_loto__P006__trial_05,P006__heldout__P006__trial_05,True,True,True
P006__trial_06,P006,real_loto__P006__trial_06,P006__heldout__P006__trial_06,True,True,True
P007__trial_01,P007,real_loto__P007__trial_01,P007__heldout__P007__trial_01,True,True,True
P007__trial_02,P007,real_loto__P007__trial_02,P007__heldout__P007__trial_02,True,True,True
P007__trial_03,P007,real_loto__P007__trial_03,P007__heldout__P007__trial_03,True,True,True
P007__trial_04,P007,real_loto__P007__trial_04,P007__heldout__P007__trial_04,True,True,True
P007__trial_05,P007,real_loto__P007__trial_05,P007__heldout__P007__trial_05,True,True,True
P007__trial_06,P007,real_loto__P007__trial_06,P007__heldout__P007__trial_06,True,True,True
P008__trial_01,P008,real_loto__P008__trial_01,P008__heldout__P008__trial_01,True,True,True
P008__trial_02,P008,real_loto__P008__trial_02,P008__heldout__P008__trial_02,True,True,True
P008__trial_03,P008,real_loto__P008__trial_03,P008__heldout__P008__trial_03,True,True,True
P008__trial_04,P008,real_loto__P008__trial_04,P008__heldout__P008__trial_04,True,True,True
P008__trial_05,P008,real_loto__P008__trial_05,P008__heldout__P008__trial_05,True,True,True
P008__trial_06,P008,real_loto__P008__trial_06,P008__heldout__P008__trial_06,True,True,True
P009__trial_01,P009,real_loto__P009__trial_01,P009__heldout__P009__trial_01,True,True,True
P009__trial_02,P009,real_loto__P009__trial_02,P009__heldout__P009__trial_02,True,True,True
P009__trial_03,P009,real_loto__P009__trial_03,P009__heldout__P009__trial_03,True,True,True
P009__trial_04,P009,real_loto__P009__trial_04,P009__heldout__P009__trial_04,True,True,True
P009__trial_05,P009,real_loto__P009__trial_05,P009__heldout__P009__trial_05,True,True,True
P009__trial_06,P009,real_loto__P009__trial_06,P009__heldout__P009__trial_06,True,True,True
P010__trial_01,P010,real_loto__P010__trial_01,P010__heldout__P010__trial_01,True,True,True
P010__trial_02,P010,real_loto__P010__trial_02,P010__heldout__P010__trial_02,True,True,True
P010__trial_03,P010,real_loto__P010__trial_03,P010__heldout__P010__trial_03,True,True,True
P010__trial_04,P010,real_loto__P010__trial_04,P010__heldout__P010__trial_04,True,True,True
P010__trial_05,P010,real_loto__P010__trial_05,P010__heldout__P010__trial_05,True,True,True
P010__trial_06,P010,real_loto__P010__trial_06,P010__heldout__P010__trial_06,True,True,True
P011__trial_01,P011,real_loto__P011__trial_01,P011__heldout__P011__trial_01,True,True,True
P011__trial_02,P011,real_loto__P011__trial_02,P011__heldout__P011__trial_02,True,True,True
P011__trial_03,P011,real_loto__P011__trial_03,P011__heldout__P011__trial_03,True,True,True
P011__trial_04,P011,real_loto__P011__trial_04,P011__heldout__P011__trial_04,True,True,True
P011__trial_05,P011,real_loto__P011__trial_05,P011__heldout__P011__trial_05,True,True,True
P011__trial_06,P011,real_loto__P011__trial_06,P011__heldout__P011__trial_06,True,True,True
P012__trial_01,P012,real_loto__P012__trial_01,P012__heldout__P012__trial_01,True,True,True
P012__trial_02,P012,real_loto__P012__trial_02,P012__heldout__P012__trial_02,True,True,True
P012__trial_03,P012,real_loto__P012__trial_03,P012__heldout__P012__trial_03,True,True,True
P012__trial_04,P012,real_loto__P012__trial_04,P012__heldout__P012__trial_04,True,True,True
P012__trial_05,P012,real_loto__P012__trial_05,P012__heldout__P012__trial_05,True,True,True
P012__trial_06,P012,real_loto__P012__trial_06,P012__heldout__P012__trial_06,True,True,True
P013__trial_01,P013,real_loto__P013__trial_01,P013__heldout__P013__trial_01,True,True,True
P013__trial_02,P013,real_loto__P013__trial_02,P013__heldout__P013__trial_02,True,True,True
P013__trial_03,P013,real_loto__P013__trial_03,P013__heldout__P013__trial_03,True,True,True
P013__trial_04,P013,real_loto__P013__trial_04,P013__heldout__P013__trial_04,True,True,True
P013__trial_05,P013,real_loto__P013__trial_05,P013__heldout__P013__trial_05,True,True,True
P013__trial_06,P013,real_loto__P013__trial_06,P013__heldout__P013__trial_06,True,True,True
P014__trial_01,P014,real_loto__P014__trial_01,P014__heldout__P014__trial_01,True,True,True
P014__trial_02,P014,real_loto__P014__trial_02,P014__heldout__P014__trial_02,True,True,True
P014__trial_03,P014,real_loto__P014__trial_03,P014__heldout__P014__trial_03,True,True,True
P014__trial_04,P014,real_loto__P014__trial_04,P014__heldout__P014__trial_04,True,True,True
P014__trial_05,P014,real_loto__P014__trial_05,P014__heldout__P014__trial_05,True,True,True
P014__trial_06,P014,real_loto__P014__trial_06,P014__heldout__P014__trial_06,True,True,True
P015__trial_01,P015,real_loto__P015__trial_01,P015__heldout__P015__trial_01,True,True,True
P015__trial_02,P015,real_loto__P015__trial_02,P015__heldout__P015__trial_02,True,True,True
P015__trial_03,P015,real_loto__P015__trial_03,P015__heldout__P015__trial_03,True,True,True
P015__trial_04,P015,real_loto__P015__trial_04,P015__heldout__P015__trial_04,True,True,True
P015__trial_05,P015,real_loto__P015__trial_05,P015__heldout__P015__trial_05,True,True,True
P015__trial_06,P015,real_loto__P015__trial_06,P015__heldout__P015__trial_06,True,True,True
P016__trial_01,P016,real_loto__P016__trial_01,P016__heldout__P016__trial_01,True,True,True
P016__trial_02,P016,real_loto__P016__trial_02,P016__heldout__P016__trial_02,True,True,True
