source,method_key,model_key,model_label,condition,prediction_example_id,participant_id,candidate_label,actual_rating,predicted_rating,absolute_error,squared_error
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_01,P001,A,19.0,58.0,39.0,1521.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_01,P001,B,30.0,74.0,44.0,1936.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_01,P001,C,36.0,65.0,29.0,841.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_01,P001,D,42.0,50.0,8.0,64.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_01,P001,E,53.0,68.0,15.0,225.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_02,P001,A,29.0,58.0,29.0,841.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_02,P001,B,66.0,45.0,21.0,441.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_02,P001,C,46.0,78.0,32.0,1024.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_02,P001,D,50.0,72.0,22.0,484.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_02,P001,E,80.0,50.0,30.0,900.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_03,P001,A,22.0,55.0,33.0,1089.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_03,P001,B,82.0,50.0,32.0,1024.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_03,P001,C,52.0,72.0,20.0,400.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_03,P001,D,75.0,76.0,1.0,1.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_03,P001,E,59.0,65.0,6.0,36.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_04,P001,A,17.0,58.0,41.0,1681.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_04,P001,B,34.0,50.0,16.0,256.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_04,P001,C,51.0,40.0,11.0,121.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_04,P001,D,25.0,62.0,37.0,1369.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_04,P001,E,77.0,74.0,3.0,9.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_05,P001,A,39.0,78.0,39.0,1521.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_05,P001,B,24.0,45.0,21.0,441.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_05,P001,C,72.0,65.0,7.0,49.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_05,P001,D,29.0,58.0,29.0,841.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_05,P001,E,50.0,50.0,0.0,0.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_06,P001,A,22.0,74.0,52.0,2704.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_06,P001,B,50.0,52.0,2.0,4.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_06,P001,C,39.0,48.0,9.0,81.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_06,P001,D,75.0,60.0,15.0,225.0
