evaluation_only,prediction_example_id,participant_id,trial_id,observed_preferred_mix,observed_preferred_set,is_single_winner,n_preferred_tied,human_rating_A,human_rating_B,human_rating_C,human_rating_D,human_rating_E,observed_rank_A,observed_rank_B,observed_rank_C,observed_rank_D,observed_rank_E
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_01,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_01,,"[""D"",""E""]",false,2,39,40,41,43,43,5,4,3,1.5,1.5
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_02,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_02,E,"[""E""]",true,1,42,43,44,44,46,5,4,2.5,2.5,1
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_03,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_03,E,"[""E""]",true,1,45,46,47,48,49,5,4,3,2,1
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_04,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_04,E,"[""E""]",true,1,48,49,50,51,52,5,4,3,2,1
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_05,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_05,E,"[""E""]",true,1,51,52,53,54,55,5,4,3,2,1
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_06,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_06,E,"[""E""]",true,1,54,55,56,57,58,5,4,3,2,1
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_01,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_01,E,"[""E""]",true,1,39,40,41,42,43,5,4,3,2,1
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_02,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_02,E,"[""E""]",true,1,42,43,44,45,46,5,4,3,2,1
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_03,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_03,E,"[""E""]",true,1,45,46,47,48,49,5,4,3,2,1
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_04,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_04,E,"[""E""]",true,1,48,49,50,51,52,5,4,3,2,1
EVALUATION_ONLY_NEVER_MODEL_FACING,SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_05,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_05,E,"[""E""]",true,1,51,52,53,54,55,5,4,3,2,1
