participant_id,model_key,condition,metric_protocol_version,synthetic_metric_notice,expected_predictions,valid_predictions,strict_correct_count,strict_top1_accuracy,valid_only_diagnostic_accuracy,mean_per_trial_mae,mean_per_trial_rmse,mean_spearman_defined,median_spearman_defined,continuous_metric_coverage,ranking_metric_coverage,invalid_count,backend_failure_count,missing_count,undefined_observed_rank_count,undefined_predicted_rank_count,target_trials
SYNTHETIC_PHASE6B1_P001,centaur,non_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,6,6,0,0,0,15.1666666667,18.3470259833,0.126515403872,0.1,1,1,0,0,0,0,0,6
SYNTHETIC_PHASE6B1_P001,centaur,personalised_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,6,6,0,0,0,15.1666666667,18.3470259833,0.126515403872,0.1,1,1,0,0,0,0,0,6
SYNTHETIC_PHASE6B1_P001,claude_sonnet,non_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,6,6,0,0,0,15.1666666667,18.3470259833,0.126515403872,0.1,1,1,0,0,0,0,0,6
SYNTHETIC_PHASE6B1_P001,claude_sonnet,personalised_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,6,6,0,0,0,15.1666666667,18.3470259833,0.126515403872,0.1,1,1,0,0,0,0,0,6
SYNTHETIC_PHASE6B1_P001,gpt,non_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,6,6,0,0,0,15.1666666667,18.3470259833,0.126515403872,0.1,1,1,0,0,0,0,0,6
SYNTHETIC_PHASE6B1_P001,gpt,personalised_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,6,6,0,0,0,15.1666666667,18.3470259833,0.126515403872,0.1,1,1,0,0,0,0,0,6
SYNTHETIC_PHASE6B1_P001,llama_3_1_70b_instruct,non_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,6,6,0,0,0,15.1666666667,18.3470259833,0.126515403872,0.1,1,1,0,0,0,0,0,6
SYNTHETIC_PHASE6B1_P001,llama_3_1_70b_instruct,personalised_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,6,6,0,0,0,15.1666666667,18.3470259833,0.126515403872,0.1,1,1,0,0,0,0,0,6
SYNTHETIC_PHASE6B1_P002,centaur,non_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,5,5,0,0,0,15.96,19.3468778379,0.1,0.1,1,1,0,0,0,0,0,5
SYNTHETIC_PHASE6B1_P002,centaur,personalised_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,5,5,0,0,0,15.96,19.3468778379,0.1,0.1,1,1,0,0,0,0,0,5
SYNTHETIC_PHASE6B1_P002,claude_sonnet,non_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,5,5,0,0,0,15.96,19.3468778379,0.1,0.1,1,1,0,0,0,0,0,5
SYNTHETIC_PHASE6B1_P002,claude_sonnet,personalised_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,5,5,0,0,0,15.96,19.3468778379,0.1,0.1,1,1,0,0,0,0,0,5
SYNTHETIC_PHASE6B1_P002,gpt,non_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,5,5,0,0,0,15.96,19.3468778379,0.1,0.1,1,1,0,0,0,0,0,5
SYNTHETIC_PHASE6B1_P002,gpt,personalised_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,5,5,0,0,0,15.96,19.3468778379,0.1,0.1,1,1,0,0,0,0,0,5
SYNTHETIC_PHASE6B1_P002,llama_3_1_70b_instruct,non_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,5,5,0,0,0,15.96,19.3468778379,0.1,0.1,1,1,0,0,0,0,0,5
SYNTHETIC_PHASE6B1_P002,llama_3_1_70b_instruct,personalised_history,phase6f_metric_protocol_v1,Synthetic/mock metric values are pipeline-validation outputs only and must not be interpreted as model performance.,5,5,0,0,0,15.96,19.3468778379,0.1,0.1,1,1,0,0,0,0,0,5
