comparison_protocol_version,synthetic_comparison_notice,comparison_type,participant_id,model_key,condition_a,condition_b,baseline_model,matched_target_count,strict_top1_accuracy_difference,mae_difference,rmse_difference,spearman_difference,both_correct,a_correct_b_wrong,a_wrong_b_correct,both_wrong
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,centaur,non_history,,categorical_design,1,-1,18.5446714593,21.2052773441,-0.666885928855,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,centaur,non_history,,primary_acoustic,1,-1,18.9483279423,21.7883187473,-0.256494588021,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,centaur,personalised_history,,categorical_design,1,-1,18.5446714593,21.2052773441,-0.666885928855,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,centaur,personalised_history,,primary_acoustic,1,-1,18.9483279423,21.7883187473,-0.256494588021,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,claude_sonnet,non_history,,categorical_design,1,-1,18.5446714593,21.2052773441,-0.666885928855,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,claude_sonnet,non_history,,primary_acoustic,1,-1,18.9483279423,21.7883187473,-0.256494588021,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,claude_sonnet,personalised_history,,categorical_design,1,-1,18.5446714593,21.2052773441,-0.666885928855,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,claude_sonnet,personalised_history,,primary_acoustic,1,-1,18.9483279423,21.7883187473,-0.256494588021,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,gpt,non_history,,categorical_design,1,-1,18.5446714593,21.2052773441,-0.666885928855,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,gpt,non_history,,primary_acoustic,1,-1,18.9483279423,21.7883187473,-0.256494588021,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,gpt,personalised_history,,categorical_design,1,-1,18.5446714593,21.2052773441,-0.666885928855,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,gpt,personalised_history,,primary_acoustic,1,-1,18.9483279423,21.7883187473,-0.256494588021,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,llama_3_1_70b_instruct,non_history,,categorical_design,1,-1,18.5446714593,21.2052773441,-0.666885928855,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,llama_3_1_70b_instruct,non_history,,primary_acoustic,1,-1,18.9483279423,21.7883187473,-0.256494588021,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,llama_3_1_70b_instruct,personalised_history,,categorical_design,1,-1,18.5446714593,21.2052773441,-0.666885928855,0,0,1,0
phase6f_comparison_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,SYNTHETIC_PHASE6B1_P001,llama_3_1_70b_instruct,personalised_history,,primary_acoustic,1,-1,18.9483279423,21.7883187473,-0.256494588021,0,0,1,0
