synthetic_label,comparison_id,comparison_type,metric,expected_participant_count,aligned_participant_count,expected_target_count,aligned_target_count,valid_numeric_pairs,coverage_a,coverage_b,comparison_status
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__strict_top1_accuracy__600d972ec4da,personalisation_history_vs_non_history,strict_top1_accuracy,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__mae__2b68ded3e0cc,personalisation_history_vs_non_history,mae,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__rmse__b201a8fcdbad,personalisation_history_vs_non_history,rmse,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__spearman__0f9a3d49cf1e,personalisation_history_vs_non_history,spearman,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__strict_top1_accuracy__d4df70ab6e5d,personalisation_history_vs_non_history,strict_top1_accuracy,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__mae__b134ee4e7072,personalisation_history_vs_non_history,mae,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__rmse__7bc5a22d85ec,personalisation_history_vs_non_history,rmse,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__spearman__23f333e2fdc7,personalisation_history_vs_non_history,spearman,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__strict_top1_accuracy__050273e83366,personalisation_history_vs_non_history,strict_top1_accuracy,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__mae__c647c6ed7a0b,personalisation_history_vs_non_history,mae,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__rmse__b007672da9f5,personalisation_history_vs_non_history,rmse,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__spearman__d51ce0ede98b,personalisation_history_vs_non_history,spearman,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__strict_top1_accuracy__34599f916d1a,personalisation_history_vs_non_history,strict_top1_accuracy,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__mae__3002cf7c6dce,personalisation_history_vs_non_history,mae,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__rmse__3ecbf588aa97,personalisation_history_vs_non_history,rmse,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,personalisation_history_vs_non_history__spearman__52eaf822ebc1,personalisation_history_vs_non_history,spearman,2,2,11,11,11,1,1,ok
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__22e5cbe75032,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__db7b21e77483,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__7bd81a6aeb8e,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__986db9c2777f,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__af56897a60bd,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__0351d1d28f8a,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__b732ba5c9bbb,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__c248d3118ddc,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__72350a3f2acf,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__185764e0f270,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__a14d5910e9db,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__fbe3863a8b8e,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__edd4abbad908,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__6f3d360f7476,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__4367545c8282,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__f9408750a154,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__9ddced5e7706,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
