song,original_dataset_filename,original_mix_name,analytical_role,stimulus_wav,mix_id,institution,source_file,aligned excerpt,source excerpt,LUFS before,LUFS after,true peak before,true peak after,gain applied (dB),duration_x,sample rate,bit depth,channels_x,SHA-256 hash,relative_path,duration_y,sample_rate,bit_depth,channels_y,integrated_lufs,true_peak_dbfs,clipping,sha256_hash,qc_pass,legacy_metadata_status
In The Meantime,DU-J.mp3,DU-J,contrast_1,stimuli/In The Meantime/contrast_1/DU-J_28sec.wav,mix_22efc79c8253,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-J.mp3,35.300431-63.300431 s,35.300431-63.300431 s,-22.287,-20.800,-4.970,-3.483,1.487,28.000,44100,24,2,d543d1df22f5381c62266924098b43c085221af5080841251c6b126e12462c20,stimuli/In The Meantime/contrast_1/DU-J_28sec.wav,28.000000,44100,24,2,-20.800,-3.483,False,d543d1df22f5381c62266924098b43c085221af5080841251c6b126e12462c20,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
In The Meantime,QUT-B.mp3,QUT-B,contrast_2,stimuli/In The Meantime/contrast_2/QUT-B_28sec.wav,mix_c7bdcba64775,QUT,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\QUT-B.mp3,35.300431-63.300431 s,35.300431-63.300431 s,-22.024,-20.800,-7.534,-6.310,1.224,28.000,44100,24,2,f0d132bdef6baa4273ae62c1769221a87d2bce29bf1d4ed0bb683c834886c17b,stimuli/In The Meantime/contrast_2/QUT-B_28sec.wav,28.000000,44100,24,2,-20.800,-6.310,False,f0d132bdef6baa4273ae62c1769221a87d2bce29bf1d4ed0bb683c834886c17b,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
In The Meantime,UCP-A4.mp3,UCP-A4,representative,stimuli/In The Meantime/representative/UCP-A4_28sec.wav,mix_efdedc0a36e7,UCP,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A4.mp3,35.300431-63.300431 s,35.300431-63.300431 s,-22.669,-20.800,-8.008,-6.139,1.869,28.000,44100,24,2,a0bebed18f4c3d9daa82bd0a0f732c501d723e264aebaabd777f3b964685876b,stimuli/In The Meantime/representative/UCP-A4_28sec.wav,28.000000,44100,24,2,-20.800,-6.139,False,a0bebed18f4c3d9daa82bd0a0f732c501d723e264aebaabd777f3b964685876b,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
Lead Me,PXL-L1.mp3,PXL-L1,contrast_1,stimuli/Lead Me/contrast_1/PXL-L1_28sec.wav,mix_d5b28dfc8a93,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\PXL-L1.mp3,9.573107-37.573107 s,9.573107-37.573107 s,-22.017,-20.800,-7.404,-6.187,1.217,28.000,44100,24,2,02eabf47249ce3536ad2f77c8be35980be7733d21e899a7ca71997d662c820f6,stimuli/Lead Me/contrast_1/PXL-L1_28sec.wav,28.000000,44100,24,2,-20.800,-6.187,False,02eabf47249ce3536ad2f77c8be35980be7733d21e899a7ca71997d662c820f6,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
Lead Me,DU-D.mp3,DU-D,contrast_2,stimuli/Lead Me/contrast_2/DU-D_28sec.wav,mix_f1f7973e5bac,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-D.mp3,9.573107-37.573107 s,9.573107-37.573107 s,-23.070,-20.800,-8.482,-6.212,2.270,28.000,44100,24,2,1f75bf8005a843e416e61a3b8dbd23ccc1f4ebd1b28aeadb9a4149b22d4b316e,stimuli/Lead Me/contrast_2/DU-D_28sec.wav,28.000000,44100,24,2,-20.800,-6.212,False,1f75bf8005a843e416e61a3b8dbd23ccc1f4ebd1b28aeadb9a4149b22d4b316e,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
Lead Me,McG-A.mp3,McG-A,representative,stimuli/Lead Me/representative/McG-A_28sec.wav,mix_9346b5d4ade2,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-A.mp3,9.573107-37.573107 s,9.573107-37.573107 s,-21.268,-20.800,-4.547,-4.078,0.468,28.000,44100,24,2,77d762610eacf5347d2276d4de51f250696fe64c9cf679e253bd6cfeac03de75,stimuli/Lead Me/representative/McG-A_28sec.wav,28.000000,44100,24,2,-20.800,-4.078,False,77d762610eacf5347d2276d4de51f250696fe64c9cf679e253bd6cfeac03de75,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
Pouring Room,McG-pro1.mp3,McG-pro1,contrast_1,stimuli/Pouring Room/contrast_1/McG-pro1_28sec.wav,mix_132e75f34470,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-pro1.mp3,23.020408-51.020408 s,23.020408-51.020408 s,-21.585,-20.800,-5.464,-4.680,0.785,28.000,44100,24,2,4e6f81933f4f72b62b426ebb154807cab764eb9ba09ae4749aaac284697a973a,stimuli/Pouring Room/contrast_1/McG-pro1_28sec.wav,28.000000,44100,24,2,-20.800,-4.680,False,4e6f81933f4f72b62b426ebb154807cab764eb9ba09ae4749aaac284697a973a,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
Pouring Room,McG-X.mp3,McG-X,contrast_2,stimuli/Pouring Room/contrast_2/McG-X_28sec.wav,mix_cbf8555ee2b2,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-X.mp3,23.020408-51.020408 s,23.020408-51.020408 s,-21.746,-20.800,-4.197,-3.251,0.946,28.000,44100,24,2,e36f0802b6c7f800e38eaac46d97e75c854568c3985f9b340b322ff1559b9d07,stimuli/Pouring Room/contrast_2/McG-X_28sec.wav,28.000000,44100,24,2,-20.800,-3.251,False,e36f0802b6c7f800e38eaac46d97e75c854568c3985f9b340b322ff1559b9d07,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
Pouring Room,McG-Q.mp3,McG-Q,representative,stimuli/Pouring Room/representative/McG-Q_28sec.wav,mix_0ddb25d6180b,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-Q.mp3,23.020408-51.020408 s,23.020408-51.020408 s,-22.148,-20.800,-5.407,-4.059,1.348,28.000,44100,24,2,fe0e67258e9b93f23a2edb3a2e1c09a425514fa2e01d2811f43a2fa2dbd4260a,stimuli/Pouring Room/representative/McG-Q_28sec.wav,28.000000,44100,24,2,-20.800,-4.059,False,fe0e67258e9b93f23a2edb3a2e1c09a425514fa2e01d2811f43a2fa2dbd4260a,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
Red To Blue,McG-B.mp3,McG-B,contrast_1,stimuli/Red To Blue/contrast_1/McG-B_28sec.wav,mix_7ac13e0b6376,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-B.mp3,3.005442-31.005442 s,3.005442-31.005442 s,-24.430,-20.800,-8.949,-5.320,3.630,28.000,44100,24,2,474dfe24df9b9817e75a103b2dd9b0c65ff65a9e3641776f2aeb212cb904d528,stimuli/Red To Blue/contrast_1/McG-B_28sec.wav,28.000000,44100,24,2,-20.800,-5.320,False,474dfe24df9b9817e75a103b2dd9b0c65ff65a9e3641776f2aeb212cb904d528,True,legacy fixed A/B/C and archive manifests consolidated; active frontend randomises at runtime
