participant_id,group,song_id,mix_id,stimulus_id,episode,presentation_order,expected_rating,rating,comment
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Relaxation,1,71.515,63.4,Synthetic mandatory comment for Song_1_Mix_1 during Relaxation.
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Relaxation,2,59.88,68.3,Synthetic mandatory comment for Song_1_Mix_3 during Relaxation.
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Relaxation,3,69.715,73.2,Synthetic mandatory comment for Song_1_Mix_2 during Relaxation.
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Distraction,1,67.515,67.1,Synthetic mandatory comment for Song_1_Mix_1 during Distraction.
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Distraction,2,58.88,53.0,Synthetic mandatory comment for Song_1_Mix_3 during Distraction.
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Distraction,3,68.715,72.7,Synthetic mandatory comment for Song_1_Mix_2 during Distraction.
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Enjoyment,1,67.88,56.8,Synthetic mandatory comment for Song_1_Mix_3 during Enjoyment.
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Enjoyment,2,73.715,62.2,Synthetic mandatory comment for Song_1_Mix_2 during Enjoyment.
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Enjoyment,3,70.515,72.1,Synthetic mandatory comment for Song_1_Mix_1 during Enjoyment.
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Focus,1,71.515,73.0,Synthetic mandatory comment for Song_1_Mix_1 during Focus.
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Focus,2,60.88,59.8,Synthetic mandatory comment for Song_1_Mix_3 during Focus.
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Focus,3,72.715,75.3,Synthetic mandatory comment for Song_1_Mix_2 during Focus.
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Motivation,1,66.515,68.5,Synthetic mandatory comment for Song_1_Mix_1 during Motivation.
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Motivation,2,70.88,67.2,Synthetic mandatory comment for Song_1_Mix_3 during Motivation.
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Motivation,3,69.715,79.7,Synthetic mandatory comment for Song_1_Mix_2 during Motivation.
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Relaxation,1,60.6,74.4,Synthetic mandatory comment for Song_2_Mix_3 during Relaxation.
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Relaxation,2,70.435,72.1,Synthetic mandatory comment for Song_2_Mix_2 during Relaxation.
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Relaxation,3,72.235,61.2,Synthetic mandatory comment for Song_2_Mix_1 during Relaxation.
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Distraction,1,68.235,83.7,Synthetic mandatory comment for Song_2_Mix_1 during Distraction.
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Distraction,2,69.435,67.8,Synthetic mandatory comment for Song_2_Mix_2 during Distraction.
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Distraction,3,59.6,56.2,Synthetic mandatory comment for Song_2_Mix_3 during Distraction.
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Enjoyment,1,68.6,58.6,Synthetic mandatory comment for Song_2_Mix_3 during Enjoyment.
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Enjoyment,2,71.235,63.2,Synthetic mandatory comment for Song_2_Mix_1 during Enjoyment.
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Enjoyment,3,74.435,80.2,Synthetic mandatory comment for Song_2_Mix_2 during Enjoyment.
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Focus,1,72.235,72.2,Synthetic mandatory comment for Song_2_Mix_1 during Focus.
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Focus,2,61.6,60.1,Synthetic mandatory comment for Song_2_Mix_3 during Focus.
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Focus,3,73.435,76.5,Synthetic mandatory comment for Song_2_Mix_2 during Focus.
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Motivation,1,71.6,72.4,Synthetic mandatory comment for Song_2_Mix_3 during Motivation.
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Motivation,2,67.235,73.0,Synthetic mandatory comment for Song_2_Mix_1 during Motivation.
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Motivation,3,70.435,52.0,Synthetic mandatory comment for Song_2_Mix_2 during Motivation.
P002,Group_1,Song_1,Mix_3,Song_1_Mix_3,Relaxation,1,52.66,41.7,Synthetic mandatory comment for Song_1_Mix_3 during Relaxation.
P002,Group_1,Song_1,Mix_1,Song_1_Mix_1,Relaxation,2,58.713,50.8,Synthetic mandatory comment for Song_1_Mix_1 during Relaxation.
P002,Group_1,Song_1,Mix_2,Song_1_Mix_2,Relaxation,3,57.252,54.2,Synthetic mandatory comment for Song_1_Mix_2 during Relaxation.
P002,Group_1,Song_1,Mix_3,Song_1_Mix_3,Distraction,1,51.66,39.7,Synthetic mandatory comment for Song_1_Mix_3 during Distraction.
P002,Group_1,Song_1,Mix_2,Song_1_Mix_2,Distraction,2,56.252,56.5,Synthetic mandatory comment for Song_1_Mix_2 during Distraction.
P002,Group_1,Song_1,Mix_1,Song_1_Mix_1,Distraction,3,54.713,50.4,Synthetic mandatory comment for Song_1_Mix_1 during Distraction.
P002,Group_1,Song_1,Mix_2,Song_1_Mix_2,Enjoyment,1,61.252,70.3,Synthetic mandatory comment for Song_1_Mix_2 during Enjoyment.
P002,Group_1,Song_1,Mix_1,Song_1_Mix_1,Enjoyment,2,57.713,62.6,Synthetic mandatory comment for Song_1_Mix_1 during Enjoyment.
P002,Group_1,Song_1,Mix_3,Song_1_Mix_3,Enjoyment,3,60.66,72.7,Synthetic mandatory comment for Song_1_Mix_3 during Enjoyment.
P002,Group_1,Song_1,Mix_2,Song_1_Mix_2,Focus,1,60.252,54.0,Synthetic mandatory comment for Song_1_Mix_2 during Focus.
P002,Group_1,Song_1,Mix_1,Song_1_Mix_1,Focus,2,58.713,56.7,Synthetic mandatory comment for Song_1_Mix_1 during Focus.
P002,Group_1,Song_1,Mix_3,Song_1_Mix_3,Focus,3,53.66,55.8,Synthetic mandatory comment for Song_1_Mix_3 during Focus.
P002,Group_1,Song_1,Mix_3,Song_1_Mix_3,Motivation,1,63.66,53.9,Synthetic mandatory comment for Song_1_Mix_3 during Motivation.
P002,Group_1,Song_1,Mix_2,Song_1_Mix_2,Motivation,2,57.252,58.1,Synthetic mandatory comment for Song_1_Mix_2 during Motivation.
P002,Group_1,Song_1,Mix_1,Song_1_Mix_1,Motivation,3,53.713,55.8,Synthetic mandatory comment for Song_1_Mix_1 during Motivation.
P002,Group_1,Song_2,Mix_1,Song_2_Mix_1,Relaxation,1,59.433,76.3,Synthetic mandatory comment for Song_2_Mix_1 during Relaxation.
P002,Group_1,Song_2,Mix_2,Song_2_Mix_2,Relaxation,2,57.971,50.3,Synthetic mandatory comment for Song_2_Mix_2 during Relaxation.
P002,Group_1,Song_2,Mix_3,Song_2_Mix_3,Relaxation,3,53.379,50.8,Synthetic mandatory comment for Song_2_Mix_3 during Relaxation.
P002,Group_1,Song_2,Mix_3,Song_2_Mix_3,Distraction,1,52.379,55.2,Synthetic mandatory comment for Song_2_Mix_3 during Distraction.
P002,Group_1,Song_2,Mix_1,Song_2_Mix_1,Distraction,2,55.433,66.3,Synthetic mandatory comment for Song_2_Mix_1 during Distraction.
P002,Group_1,Song_2,Mix_2,Song_2_Mix_2,Distraction,3,56.971,50.4,Synthetic mandatory comment for Song_2_Mix_2 during Distraction.
P002,Group_1,Song_2,Mix_3,Song_2_Mix_3,Enjoyment,1,61.379,42.1,Synthetic mandatory comment for Song_2_Mix_3 during Enjoyment.
P002,Group_1,Song_2,Mix_1,Song_2_Mix_1,Enjoyment,2,58.433,57.0,Synthetic mandatory comment for Song_2_Mix_1 during Enjoyment.
P002,Group_1,Song_2,Mix_2,Song_2_Mix_2,Enjoyment,3,61.971,52.4,Synthetic mandatory comment for Song_2_Mix_2 during Enjoyment.
P002,Group_1,Song_2,Mix_2,Song_2_Mix_2,Focus,1,60.971,53.1,Synthetic mandatory comment for Song_2_Mix_2 during Focus.
P002,Group_1,Song_2,Mix_3,Song_2_Mix_3,Focus,2,54.379,53.5,Synthetic mandatory comment for Song_2_Mix_3 during Focus.
P002,Group_1,Song_2,Mix_1,Song_2_Mix_1,Focus,3,59.433,43.6,Synthetic mandatory comment for Song_2_Mix_1 during Focus.
P002,Group_1,Song_2,Mix_1,Song_2_Mix_1,Motivation,1,54.433,73.6,Synthetic mandatory comment for Song_2_Mix_1 during Motivation.
P002,Group_1,Song_2,Mix_3,Song_2_Mix_3,Motivation,2,64.379,52.8,Synthetic mandatory comment for Song_2_Mix_3 during Motivation.
P002,Group_1,Song_2,Mix_2,Song_2_Mix_2,Motivation,3,57.971,48.1,Synthetic mandatory comment for Song_2_Mix_2 during Motivation.
P003,Group_1,Song_1,Mix_2,Song_1_Mix_2,Relaxation,1,72.003,98.1,Synthetic mandatory comment for Song_1_Mix_2 during Relaxation.
P003,Group_1,Song_1,Mix_3,Song_1_Mix_3,Relaxation,2,68.824,58.3,Synthetic mandatory comment for Song_1_Mix_3 during Relaxation.
P003,Group_1,Song_1,Mix_1,Song_1_Mix_1,Relaxation,3,75.594,72.3,Synthetic mandatory comment for Song_1_Mix_1 during Relaxation.
P003,Group_1,Song_1,Mix_1,Song_1_Mix_1,Distraction,1,71.594,87.2,Synthetic mandatory comment for Song_1_Mix_1 during Distraction.
P003,Group_1,Song_1,Mix_3,Song_1_Mix_3,Distraction,2,67.824,58.9,Synthetic mandatory comment for Song_1_Mix_3 during Distraction.
P003,Group_1,Song_1,Mix_2,Song_1_Mix_2,Distraction,3,71.003,68.8,Synthetic mandatory comment for Song_1_Mix_2 during Distraction.
