model,diagnostic,value,criterion
intercept_only,max_rhat,1.012,approximately <= 1.01
intercept_only,min_bulk_ess,364.104,larger is better; inspect if low
intercept_only,min_tail_ess,648.991,larger is better; inspect if low
intercept_only,divergences,0.0,0
intercept_only,max_tree_depth,,not at sampler limit
intercept_only,reached_max_tree_depth,0.0,0
episode_x_stimulus,max_rhat,1.012,approximately <= 1.01
episode_x_stimulus,min_bulk_ess,498.715,larger is better; inspect if low
episode_x_stimulus,min_tail_ess,888.031,larger is better; inspect if low
episode_x_stimulus,divergences,0.0,0
episode_x_stimulus,max_tree_depth,,not at sampler limit
episode_x_stimulus,reached_max_tree_depth,0.0,0
