episode,song_id,mix_id,stimulus_id,true_expected_mean,posterior_mean,hdi_3%,hdi_97%,absolute_error,covered_by_94pct_hdi
Relaxation,Song_1,Mix_1,Song_1_Mix_1,64.8758,64.83128783657725,60.172608986491696,70.27652368986838,0.04451216342275188,True
Relaxation,Song_1,Mix_2,Song_1_Mix_2,65.06320000000001,63.19190114887248,58.21320019221949,68.01148109037533,1.871298851127527,True
Relaxation,Song_1,Mix_3,Song_1_Mix_3,59.27315,56.897076810298884,51.57223104463674,61.655080477489456,2.376073189701117,True
Relaxation,Song_2,Mix_1,Song_2_Mix_1,65.5955,64.7011991123257,59.73850839792978,69.63331769716405,0.894300887674305,True
Relaxation,Song_2,Mix_2,Song_2_Mix_2,65.7825,67.12825598750173,62.3259452437681,72.47097435114563,1.3457559875017324,True
Relaxation,Song_2,Mix_3,Song_2_Mix_3,59.992999999999995,62.23788522440762,56.691783253249746,66.7869489284333,2.244885224407625,True
Relaxation,Song_3,Mix_1,Song_3_Mix_1,76.06375,78.57546136855288,73.3454340813428,83.65948263979969,2.5117113685528807,True
Relaxation,Song_3,Mix_2,Song_3_Mix_2,74.61255,74.12421715143908,69.1197739603596,79.19185492985027,0.4883328485609155,True
Relaxation,Song_3,Mix_3,Song_3_Mix_3,70.15225000000001,69.88203102356583,65.04296060761091,75.1913862113168,0.2702189764341796,True
Relaxation,Song_4,Mix_1,Song_4_Mix_1,67.21405,64.33069168306575,59.33566278340729,69.18380506788708,2.883358316934249,True
Relaxation,Song_4,Mix_2,Song_4_Mix_2,65.7628,64.77238521799465,59.94820158158235,70.10364265048935,0.9904147820053453,True
Relaxation,Song_4,Mix_3,Song_4_Mix_3,61.302800000000005,56.23323997083963,51.03286776570223,61.109227702846,5.069560029160378,False
Distraction,Song_1,Mix_1,Song_1_Mix_1,60.875800000000005,59.75271730090666,55.03810152534323,65.00203887709542,1.1230826990933451,True
Distraction,Song_1,Mix_2,Song_1_Mix_2,64.06320000000001,62.29778987219729,57.04766616335511,67.15385048742311,1.765410127802717,True
Distraction,Song_1,Mix_3,Song_1_Mix_3,58.27315,54.61063050338234,49.94538802278116,60.087184698671635,3.662519496617662,True
Distraction,Song_2,Mix_1,Song_2_Mix_1,61.5955,63.77099381197231,58.696745948327845,68.93175374162854,2.1754938119723093,True
Distraction,Song_2,Mix_2,Song_2_Mix_2,64.7825,64.35910194121399,59.470678113432236,69.45109324015434,0.423398058786006,True
Distraction,Song_2,Mix_3,Song_2_Mix_3,58.992999999999995,59.73271816957293,54.7178723037451,64.81470260003219,0.7397181695729316,True
