song_id,episode,stimulus_id,mix_id,posterior_mean_rating,hdi_3%,hdi_97%,posterior_probability_highest,is_final_predicted_winner,final_probability_tie,draw_level_tie_probability
Song_1,Relaxation,Song_1_Mix_1,Mix_1,64.8313,60.1726,70.2765,0.6992,True,False,0.0
Song_1,Relaxation,Song_1_Mix_2,Mix_2,63.1919,58.2132,68.0115,0.299,False,False,0.0
Song_1,Relaxation,Song_1_Mix_3,Mix_3,56.8971,51.5722,61.6551,0.0018,False,False,0.0
Song_2,Relaxation,Song_2_Mix_1,Mix_1,64.7012,59.7385,69.6333,0.1968,False,False,0.0
Song_2,Relaxation,Song_2_Mix_2,Mix_2,67.1283,62.3259,72.471,0.771,True,False,0.0
Song_2,Relaxation,Song_2_Mix_3,Mix_3,62.2379,56.6918,66.7869,0.0322,False,False,0.0
Song_3,Relaxation,Song_3_Mix_1,Mix_1,78.5755,73.3454,83.6595,0.918,True,False,0.0
Song_3,Relaxation,Song_3_Mix_2,Mix_2,74.1242,69.1198,79.1919,0.0805,False,False,0.0
Song_3,Relaxation,Song_3_Mix_3,Mix_3,69.882,65.043,75.1914,0.0015,False,False,0.0
Song_4,Relaxation,Song_4_Mix_1,Mix_1,64.3307,59.3357,69.1838,0.436,False,False,0.0
Song_4,Relaxation,Song_4_Mix_2,Mix_2,64.7724,59.9482,70.1036,0.5638,True,False,0.0
Song_4,Relaxation,Song_4_Mix_3,Mix_3,56.2332,51.0329,61.1092,0.0002,False,False,0.0
Song_1,Distraction,Song_1_Mix_1,Mix_1,59.7527,55.0381,65.002,0.2037,False,False,0.0
Song_1,Distraction,Song_1_Mix_2,Mix_2,62.2978,57.0477,67.1539,0.795,True,False,0.0
Song_1,Distraction,Song_1_Mix_3,Mix_3,54.6106,49.9454,60.0872,0.0012,False,False,0.0
Song_2,Distraction,Song_2_Mix_1,Mix_1,63.771,58.6967,68.9318,0.4112,False,False,0.0
Song_2,Distraction,Song_2_Mix_2,Mix_2,64.3591,59.4707,69.4511,0.5662,True,False,0.0
Song_2,Distraction,Song_2_Mix_3,Mix_3,59.7327,54.7179,64.8147,0.0225,False,False,0.0
Song_3,Distraction,Song_3_Mix_1,Mix_1,70.3468,65.2237,75.3579,0.1155,False,False,0.0
Song_3,Distraction,Song_3_Mix_2,Mix_2,73.6576,68.5371,78.8636,0.7725,True,False,0.0
Song_3,Distraction,Song_3_Mix_3,Mix_3,70.3723,65.2941,75.6594,0.112,False,False,0.0
Song_4,Distraction,Song_4_Mix_1,Mix_1,63.0726,58.0241,67.9429,0.573,True,False,0.0
Song_4,Distraction,Song_4_Mix_2,Mix_2,62.2414,57.229,67.2692,0.3595,False,False,0.0
Song_4,Distraction,Song_4_Mix_3,Mix_3,59.6954,54.9932,64.9812,0.0675,False,False,0.0
Song_1,Enjoyment,Song_1_Mix_1,Mix_1,62.1097,57.1771,67.4552,0.0015,False,False,0.0
Song_1,Enjoyment,Song_1_Mix_2,Mix_2,70.0883,65.3523,75.3543,0.632,True,False,0.0
Song_1,Enjoyment,Song_1_Mix_3,Mix_3,69.0808,64.0602,74.0832,0.3665,False,False,0.0
Song_2,Enjoyment,Song_2_Mix_1,Mix_1,64.7613,60.1765,69.9799,0.0115,False,False,0.0
Song_2,Enjoyment,Song_2_Mix_2,Mix_2,71.0864,66.2514,76.0727,0.9605,True,False,0.0
Song_2,Enjoyment,Song_2_Mix_3,Mix_3,65.5856,60.013,70.359,0.028,False,False,0.0
Song_3,Enjoyment,Song_3_Mix_1,Mix_1,75.685,70.5266,80.4232,0.3218,False,False,0.0
Song_3,Enjoyment,Song_3_Mix_2,Mix_2,75.6489,70.6236,80.7544,0.3115,False,False,0.0
Song_3,Enjoyment,Song_3_Mix_3,Mix_3,75.9182,70.9673,80.803,0.3668,True,False,0.0
Song_4,Enjoyment,Song_4_Mix_1,Mix_1,60.3359,55.2968,65.3564,0.0015,False,False,0.0
Song_4,Enjoyment,Song_4_Mix_2,Mix_2,67.6693,62.8546,72.8797,0.6695,True,False,0.0
Song_4,Enjoyment,Song_4_Mix_3,Mix_3,66.388,61.3122,71.6053,0.329,False,False,0.0
Song_1,Focus,Song_1_Mix_1,Mix_1,65.162,60.1026,69.955,0.474,False,False,0.0
Song_1,Focus,Song_1_Mix_2,Mix_2,65.4412,60.2494,70.4748,0.526,True,False,0.0
Song_1,Focus,Song_1_Mix_3,Mix_3,54.8311,49.8871,59.8738,0.0,False,False,0.0
Song_2,Focus,Song_2_Mix_1,Mix_1,65.9538,60.6462,70.8309,0.083,False,False,0.0
Song_2,Focus,Song_2_Mix_2,Mix_2,70.0753,64.6246,74.8766,0.9162,True,False,0.0
Song_2,Focus,Song_2_Mix_3,Mix_3,60.8407,56.0952,66.0359,0.0008,False,False,0.0
Song_3,Focus,Song_3_Mix_1,Mix_1,79.4586,74.5613,84.704,0.68,True,False,0.0
Song_3,Focus,Song_3_Mix_2,Mix_2,77.777,72.5215,82.4644,0.2798,False,False,0.0
Song_3,Focus,Song_3_Mix_3,Mix_3,75.1772,70.0819,80.1398,0.0402,False,False,0.0
Song_4,Focus,Song_4_Mix_1,Mix_1,69.1251,64.1914,74.0341,0.4122,False,False,0.0
Song_4,Focus,Song_4_Mix_2,Mix_2,69.7888,64.6407,74.743,0.587,True,False,0.0
Song_4,Focus,Song_4_Mix_3,Mix_3,62.2077,57.1908,67.5414,0.0008,False,False,0.0
Song_1,Motivation,Song_1_Mix_1,Mix_1,62.3295,56.8243,67.3813,0.0025,False,False,0.0
Song_1,Motivation,Song_1_Mix_2,Mix_2,66.1477,61.0871,71.2154,0.0848,False,False,0.0
Song_1,Motivation,Song_1_Mix_3,Mix_3,70.277,65.3678,75.3742,0.9128,True,False,0.0
Song_2,Motivation,Song_2_Mix_1,Mix_1,61.5188,56.5504,66.4012,0.0012,False,False,0.0
Song_2,Motivation,Song_2_Mix_2,Mix_2,65.3554,60.4667,70.3077,0.0748,False,False,0.0
Song_2,Motivation,Song_2_Mix_3,Mix_3,69.697,64.2014,74.4367,0.924,True,False,0.0
Song_3,Motivation,Song_3_Mix_1,Mix_1,66.4623,61.499,71.5708,0.0,False,False,0.0
Song_3,Motivation,Song_3_Mix_2,Mix_2,72.8174,67.7124,77.7177,0.0012,False,False,0.0
Song_3,Motivation,Song_3_Mix_3,Mix_3,81.3606,76.345,86.4479,0.9988,True,False,0.0
Song_4,Motivation,Song_4_Mix_1,Mix_1,61.9897,57.041,67.1162,0.002,False,False,0.0
Song_4,Motivation,Song_4_Mix_2,Mix_2,65.1493,60.2802,70.4528,0.0668,False,False,0.0
Song_4,Motivation,Song_4_Mix_3,Mix_3,69.7662,64.7166,74.8314,0.9312,True,False,0.0
