parameter_type,episode,feature,value_rating_points
grand_mean,all,all,63.0
episode_main_effect,Relaxation,,0.0
episode_main_effect,Distraction,,-2.5
episode_main_effect,Enjoyment,,3.0
episode_main_effect,Focus,,1.5
episode_main_effect,Motivation,,2.5
feature_main_effect,all,z_RMS,2.5
feature_main_effect,all,z_CF,-1.8
feature_main_effect,all,z_SW,2.2
feature_main_effect,all,z_SI,-1.2
episode_feature_interaction,Focus,z_SW,2.0
episode_feature_interaction,Motivation,z_SW,2.5
episode_feature_interaction,Distraction,z_SI,1.8
participant_random_intercept_sd,all,,7.0
residual_sd,all,,8.5
