scenario,participant_count,replications_completed,operational_success_rate,strict_convergence_rate,cell_mean_rmse_mean,cell_mean_rmse_se,cell_mean_coverage_mean,winner_accuracy_mean,winner_accuracy_se,mean_probability_true_winner,true_winner_probability_gt_0_50_rate,average_cell_hdi_width_mean,passes_recovery_adequacy_rule,passes_adequacy_rule
higher_noise_moderate_effects,20,20,0.85,0.15,2.7296095601314745,0.25380310867477635,0.9025000000000001,0.865,0.011527997954636578,0.8148406250000001,0.86,10.564490416798048,False,False
higher_noise_moderate_effects,30,20,0.75,0.0,2.395279321877136,0.1932396136638653,0.925,0.8775000000000001,0.016413649647072464,0.8361062499999999,0.8724999999999999,8.999685435344993,False,False
higher_noise_moderate_effects,40,20,0.65,0.0,2.1810361186633886,0.17198383382901755,0.9108333333333333,0.8800000000000001,0.013764944032233703,0.8490718749999999,0.8775000000000001,7.6707834500051035,False,False
higher_noise_moderate_effects,50,20,0.45,0.0,1.6011091681693554,0.10403563075532443,0.9716666666666667,0.8825,0.017119932980685346,0.86529375,0.8825,6.987487271996754,False,False
higher_noise_moderate_effects,60,20,0.2,0.0,1.5605718814337222,0.13547965908131196,0.9491666666666667,0.8925000000000001,0.01673123457866501,0.8693250000000001,0.8925000000000001,6.468101683402018,True,False
higher_noise_moderate_effects,80,20,0.35,0.0,1.7359325538350103,0.08361279124525758,0.8866666666666667,0.8724999999999999,0.012287670328636879,0.87000625,0.8699999999999999,5.482570721193211,True,False
moderate_effects,20,20,0.75,0.05,1.9448405852700557,0.17725679938642835,0.9391666666666666,0.9099999999999999,0.013860204297119674,0.8615468749999999,0.905,7.938228502909034,False,False
moderate_effects,30,20,0.65,0.05,1.583426178908788,0.11163882710276218,0.95,0.8949999999999999,0.010821518523658993,0.869184375,0.8925000000000001,6.355287165635617,True,False
moderate_effects,40,20,0.55,0.0,1.5452618117042654,0.1329934332391196,0.9183333333333333,0.9175000000000001,0.011627440321113352,0.8905906250000001,0.9175000000000001,5.603848863162606,True,False
moderate_effects,50,20,0.25,0.0,1.234324396209073,0.09981088501581822,0.9349999999999999,0.9099999999999999,0.013377121081198769,0.8859999999999999,0.9099999999999999,5.0481190126358575,True,False
moderate_effects,60,20,0.4,0.0,1.4194622249824917,0.1433741415196689,0.8616666666666667,0.9075,0.012180117534650259,0.8914843749999999,0.9075,4.585753415344613,True,False
moderate_effects,80,20,0.4,0.0,0.9424120363283945,0.0680037829705826,0.9391666666666666,0.9324999999999999,0.010434633627845703,0.9074500000000001,0.9324999999999999,3.912876268203398,True,False
smaller_effects_harder_study,20,20,0.8,0.0,1.7214219705447895,0.14262695620964708,0.96,0.8324999999999999,0.014176982827994934,0.7751,0.8125,8.013593952896104,False,False
smaller_effects_harder_study,30,20,0.5,0.0,1.523869828544996,0.12108927349842485,0.9508333333333333,0.8525,0.011740057383523343,0.8089437499999999,0.8474999999999999,6.631400775354578,False,False
smaller_effects_harder_study,40,20,0.35,0.0,1.5415605050718015,0.13821452185577077,0.885,0.89,0.014327007988227574,0.8458406249999999,0.8875,5.610231057321906,True,False
smaller_effects_harder_study,50,20,0.35,0.0,1.344148004952428,0.11744272161941079,0.9091666666666667,0.865,0.014554796641078767,0.8327187500000001,0.865,4.899974911360967,True,False
smaller_effects_harder_study,60,20,0.35,0.0,1.2032300667155411,0.09618018417273923,0.9116666666666667,0.8675,0.015076559009898354,0.85110625,0.865,4.440505083253932,True,False
smaller_effects_harder_study,80,20,0.35,0.0,1.1362720152675394,0.1198047228564453,0.8841666666666667,0.9025000000000001,0.012287670328636877,0.868996875,0.9,3.947279499404316,True,False
