item,value
notebook,notebooks/Statistical Baseline/_05_sample_size_simulation.ipynb
run_tag,phase3c_final_highrep_v1
config_hash,350ccb9c668fdd57
replication_target,20
fits_attempted,360
fits_completed,360
failed_fits,0
convergence_failed_fits_operational,181
convergence_failed_fits_strict,355
warning_count_total,0
candidate_participant_counts,"[20, 30, 40, 50, 60, 80]"
scenarios,"['moderate_effects', 'smaller_effects_harder_study', 'higher_noise_moderate_effects']"
sampling_config,"{""draws"": 400, ""tune"": 400, ""chains"": 2, ""cores"": 1, ""target_accept"": 0.95, ""inference_method"": ""nutpie""}"
confirmation_sampling_config,"{""draws"": 1000, ""tune"": 1000, ""chains"": 4, ""cores"": 1, ""target_accept"": 0.95, ""inference_method"": ""nutpie""}"
recommended_analysable_participants,60
recommendation_text,"Sixty analysable participants is recommended: 40 and 50 perform well under the moderate scenario, but 60 is the smallest tested sample clearing the final recovery/uncertainty criteria across all three scenarios."
recruitment_guidance,"At least 60 complete analysable participants should be retained, with recruitment above this number to accommodate incomplete responses, screening exclusions, or unusable data."
phase3c_status,Complete
phase3d_status,Complete
export_directory,outputs\statistical_baseline\sample_size_simulation
limitations,Simulation estimates retain Monte Carlo uncertainty; assumptions are synthetic; only twelve unique stimulus vectors identify feature effects; BS is excluded from the primary model.
