scenario,participant_count,replications_completed,successful_fit_rate,coefficient_rmse_mean,coefficient_rmse_sd,coefficient_coverage_mean,sign_recovery_mean,cell_mean_rmse_mean,cell_mean_rmse_sd,cell_mean_coverage_mean,winner_accuracy_mean,mean_probability_true_winner,average_cell_hdi_width_mean,average_cell_hdi_width_sd,max_rhat_max,min_ess_min,divergences_total,passes_pilot_adequacy_rule
expected_moderate_effects,20,2,1.0,0.6344880543270852,0.10306909845426362,1.0,1.0,2.7068193319944083,1.258258593788742,0.85,0.875,0.8502916666666666,8.467321310936516,0.4780860377216264,1.06,40.0,0,True
expected_moderate_effects,30,2,0.5,0.6794643679547654,0.18189594934793424,0.9583333333333333,0.9583333333333333,2.2423083983789276,1.1896775858167616,0.7833333333333333,0.85,0.8386666666666667,6.433717282820446,0.16547309745776148,1.1,16.0,0,False
expected_moderate_effects,40,2,1.0,0.5209366101721439,0.07574061325290009,0.9583333333333333,0.9583333333333333,0.9851632622248683,0.11381841600612742,1.0,0.925,0.88225,5.236093742028512,0.2796046221721568,1.05,32.0,0,True
expected_moderate_effects,50,2,1.0,0.714409007888684,0.19720365973946208,0.875,1.0,1.1930362312498444,0.018372649746321395,0.9916666666666667,0.875,0.8595416666666666,4.435595203736263,0.31087765644382526,1.06,50.0,0,True
expected_moderate_effects,60,2,0.0,0.4985177514844808,0.003715896426192597,0.9583333333333333,1.0,1.0531792008387861,0.20551853117613883,0.9583333333333333,0.875,0.8669166666666667,4.479934483161725,0.47103963695383194,1.24,7.0,0,False
expected_moderate_effects,80,2,0.5,0.4740907923124095,0.12419184281061518,0.9166666666666667,0.9583333333333333,1.1626791973240025,0.3637234920190359,0.875,0.9,0.89,3.8365545564094585,0.2211238681262015,1.09,23.0,0,False
higher_noise_moderate_effects,20,2,1.0,1.087779748667041,0.005189503281422428,0.9166666666666666,0.9166666666666667,2.6535129863835527,0.1363172185227773,0.9916666666666667,0.85,0.7924583333333333,11.694176902964037,1.0215396361335332,1.06,32.0,0,True
higher_noise_moderate_effects,30,2,1.0,0.9817927693354278,0.20394731326726123,0.9583333333333333,0.9583333333333333,1.76202407351998,0.6605792245561175,0.9833333333333334,0.875,0.806125,8.566507399181004,0.9257501918904363,1.06,37.0,0,True
higher_noise_moderate_effects,40,2,0.5,0.7227129865612083,0.016800289884381214,0.9583333333333333,0.9583333333333333,1.6997723104719908,0.37536526801486986,0.9666666666666667,0.925,0.8788750000000001,7.257209370326915,0.09358916198329273,1.12,16.0,0,False
higher_noise_moderate_effects,50,2,0.5,0.9443598447939743,0.1160841181595633,0.875,0.875,1.6733044043131806,0.3647567909446992,0.9916666666666667,0.8999999999999999,0.8709583333333333,6.710859827558268,0.546374743942798,1.08,27.0,0,False
higher_noise_moderate_effects,60,2,0.5,1.1667328696281345,0.08208463107125631,0.7083333333333333,0.8333333333333333,1.9356489063030844,0.6049196969648997,0.8916666666666666,0.9,0.8451249999999999,6.541387149558309,0.2790885435649863,1.11,20.0,0,False
higher_noise_moderate_effects,80,2,1.0,0.4906546272718602,0.004606719139381306,1.0,0.9583333333333333,2.067192529491191,1.5141682815359572,0.675,0.925,0.899875,5.504290294722411,0.010456422870465653,1.08,30.0,0,False
smaller_effects_harder_study,20,2,1.0,0.5320175653254264,0.15096875285695538,1.0,0.875,1.4387008728839823,0.7019247156132762,1.0,0.825,0.7706666666666666,8.806118894237413,0.5967636263613315,1.05,45.0,0,True
smaller_effects_harder_study,30,2,1.0,0.5542532171957311,0.34745202593898306,0.9166666666666667,1.0,1.6954615466045642,0.9957015788170656,0.9916666666666667,0.875,0.8249583333333333,6.9942248320011196,0.19932631502025214,1.07,33.0,0,True
smaller_effects_harder_study,40,2,1.0,0.8155614201186066,0.02872682537526192,0.875,0.7083333333333333,1.7996461982628937,0.7019871839494505,0.8333333333333333,0.8,0.7830833333333334,5.271849484989162,0.09422595854426513,1.1,44.0,0,True
smaller_effects_harder_study,50,2,0.0,0.5064152212532353,0.025910247802976863,0.9583333333333333,0.9583333333333333,1.2623447891230763,0.13669848041283833,0.975,0.875,0.8364166666666666,4.875679013972698,0.1535755848668386,1.12,14.0,0,False
smaller_effects_harder_study,60,2,1.0,0.6672574615058041,0.1583286329527766,0.7916666666666666,0.9166666666666666,1.0240467413152954,0.02630069530146337,0.975,0.875,0.83,4.833885189530336,0.21190124339309585,1.08,31.0,0,True
smaller_effects_harder_study,80,2,1.0,0.43337118278628006,0.05417683328424868,1.0,0.9166666666666666,1.2647350545826277,0.7907661274931158,0.6749999999999999,0.8999999999999999,0.8388333333333333,3.5269922772029636,0.279069947507409,1.05,52.0,0,False
