scenario,participant_count,replications_completed,operational_success_rate,strict_convergence_rate,divergence_rate,median_max_rhat,median_min_ess,warning_count_mean,main_effect_rmse_mean,main_effect_coverage_mean,main_effect_sign_recovery_mean,interaction_slope_rmse_mean,interaction_slope_coverage_mean,interaction_slope_sign_recovery_mean,coefficient_rmse_mean,coefficient_coverage_mean,coefficient_sign_recovery_mean,coefficient_hdi_width_mean,cell_mean_rmse_mean,cell_mean_rmse_sd,cell_mean_rmse_se,cell_mean_rmse_q10,cell_mean_rmse_q90,cell_mean_mae_mean,cell_mean_coverage_mean,cell_mean_coverage_sd,cell_mean_coverage_se,winner_accuracy_mean,winner_accuracy_sd,winner_accuracy_se,mean_probability_true_winner,true_winner_probability_gt_0_50_rate,true_winner_tie_count_total,average_cell_hdi_width_mean,average_cell_hdi_width_sd,average_cell_hdi_width_se,elapsed_seconds_total,coverage_in_adequacy_range,passes_recovery_adequacy_rule,passes_adequacy_rule
higher_noise_moderate_effects,20,20,0.85,0.15,0.0,1.02,91.0,0.0,0.8797778112875184,0.9125,0.875,1.1055635881110233,0.975,0.86,1.0597603833136162,0.9571428571428571,0.8642857142857142,4.265901793598059,2.7296095601314745,1.1350420077951333,0.25380310867477635,1.6840701254298933,3.9489343504467564,2.3111991696455436,0.9025000000000001,0.18219543199157465,0.040740137112310074,0.865,0.05155477414209185,0.011527997954636578,0.8148406250000001,0.86,0,10.564490416798048,1.0192582105167618,0.22791306453402704,140.06162667274475,True,False,False
higher_noise_moderate_effects,30,20,0.75,0.0,0.0,1.03,63.5,0.0,1.0047288682714268,0.8625,0.825,0.9340861146697719,0.93,0.915,0.9646222306021679,0.9107142857142858,0.8892857142857142,3.5679387259679958,2.395279321877136,0.8641938241964001,0.1932396136638653,1.4917281131990447,3.7472008208666954,2.05509397684212,0.925,0.11310348208971602,0.025290707444453497,0.8775000000000001,0.07340407273943893,0.016413649647072464,0.8361062499999999,0.8724999999999999,0,8.999685435344993,0.8126232708278427,0.1817080873669278,138.66983723640442,True,False,False
higher_noise_moderate_effects,40,20,0.65,0.0,0.0,1.04,54.0,0.0,1.026345448551012,0.7875,0.825,0.8244307245744015,0.9550000000000001,0.9400000000000001,0.9033891839391307,0.9071428571428571,0.9071428571428571,3.096078336897183,2.1810361186633886,0.7691350869454224,0.17198383382901755,1.3405180739934288,3.2660757319979514,1.873856223046444,0.9108333333333333,0.12381307831797535,0.027685445962249814,0.8800000000000001,0.06155870112510923,0.013764944032233703,0.8490718749999999,0.8775000000000001,0,7.6707834500051035,0.5961525403464623,0.13330376051738757,142.00510573387146,True,False,False
higher_noise_moderate_effects,50,20,0.45,0.0,0.0,1.04,49.0,0.0,0.9480351133637959,0.8125,0.8125,0.7509906843695396,0.9550000000000001,0.95,0.8209987158907147,0.9142857142857143,0.9107142857142858,2.796996985127479,1.6011091681693554,0.4652614849019465,0.10403563075532443,1.0922480803698433,2.2018177970469632,1.3435318986287978,0.9716666666666667,0.033812347652908845,0.007560670783075964,0.8825,0.07656266783010608,0.017119932980685346,0.86529375,0.8825,0,6.987487271996754,0.5759194679814046,0.12877950799719345,144.571918964386,True,False,False
higher_noise_moderate_effects,60,20,0.2,0.0,0.0,1.07,33.0,0.0,0.8724623555375262,0.8125,0.8125,0.730362956905718,0.9199999999999999,0.9550000000000001,0.7843389559766419,0.8892857142857142,0.9142857142857143,2.56362087381571,1.5605718814337222,0.6058834545486206,0.13547965908131196,1.0848314441608742,1.788412267266589,1.2814735967158257,0.9491666666666667,0.15384687078105555,0.034401206119206634,0.8925000000000001,0.07482435573078002,0.01673123457866501,0.8693250000000001,0.8925000000000001,0,6.468101683402018,0.4948439960468023,0.11065048134182873,153.14797973632812,True,True,False
higher_noise_moderate_effects,80,20,0.35,0.0,0.0,1.04,46.0,0.0,0.8546371988234791,0.7625,0.8125,0.7019310695768526,0.9199999999999999,0.96,0.7569513801527263,0.875,0.9178571428571429,2.233040526932499,1.7359325538350103,0.3739277700257906,0.08361279124525758,1.402170698459142,2.167901166010711,1.5003878806712323,0.8866666666666667,0.12266533180051727,0.027428802038852326,0.8724999999999999,0.05495213227987847,0.012287670328636879,0.87000625,0.8699999999999999,0,5.482570721193211,0.3827200852621965,0.08557881270007865,161.05278944969177,True,True,False
moderate_effects,20,20,0.75,0.05,0.0,1.025,68.0,0.0,1.0769805225986313,0.8125,0.8,0.8839016309565941,0.9400000000000001,0.9199999999999999,0.9572977979410615,0.9035714285714287,0.8857142857142858,3.1199107630448983,1.9448405852700557,0.7927165058041937,0.17725679938642835,1.253678467446215,2.797397825490116,1.6313986358265413,0.9391666666666666,0.113847517803163,0.025457078887748997,0.9099999999999999,0.06198471798078858,0.013860204297119674,0.8615468749999999,0.905,0,7.938228502909034,0.5767626585423634,0.12896805113842244,117.33800053596497,True,False,False
moderate_effects,30,20,0.65,0.05,0.0,1.03,61.0,0.0,1.0102842948702169,0.75,0.8,0.800375030718153,0.9199999999999999,0.945,0.8789499335871032,0.8714285714285713,0.9035714285714287,2.5562652392664686,1.583426178908788,0.4992640126602442,0.11163882710276218,0.9275706808648503,2.242552090269121,1.3106954159383846,0.95,0.07666285268926629,0.017142334996225188,0.8949999999999999,0.04839530207734936,0.010821518523658993,0.869184375,0.8925000000000001,0,6.355287165635617,0.5887951487438587,0.1316585977413368,112.80804252624512,True,True,False
moderate_effects,40,20,0.55,0.0,0.0,1.04,54.0,0.0,1.051414868121475,0.6875,0.7625,0.644484861720682,0.93,0.9550000000000001,0.7955069406610187,0.8607142857142858,0.9,2.2393699945248207,1.5452618117042654,0.594764714567503,0.1329934332391196,0.940887695264671,2.04138617655352,1.3180460084414336,0.9183333333333333,0.12198408485972391,0.027276470591944553,0.9175000000000001,0.0519994939246629,0.011627440321113352,0.8905906250000001,0.9175000000000001,0,5.603848863162606,0.42068254729909493,0.0940674772708547,112.47629904747009,True,True,False
moderate_effects,50,20,0.25,0.0,0.0,1.0550000000000002,43.5,0.0,0.9086194818633382,0.725,0.8,0.5468201075317196,0.9400000000000001,0.975,0.6873483133260521,0.8785714285714287,0.925,2.0216857128443992,1.234324396209073,0.4463678475795695,0.09981088501581822,0.8185138228663474,1.7856100212236006,1.0142589971545426,0.9349999999999999,0.142953392805557,0.031965350392745485,0.9099999999999999,0.05982430416161186,0.013377121081198769,0.8859999999999999,0.9099999999999999,0,5.0481190126358575,0.371634687591787,0.08310004242521334,119.44144868850708,True,True,False
moderate_effects,60,20,0.4,0.0,0.0,1.04,44.5,0.0,0.8439175692270207,0.7,0.8375,0.5157695748376041,0.925,0.9650000000000001,0.6373366576566433,0.8607142857142858,0.9285714285714286,1.8421591125527759,1.4194622249824917,0.6411886533073095,0.1433741415196689,0.7832860472324925,2.0778730917503947,1.2376213778982463,0.8616666666666667,0.21303295739315198,0.04763561741789043,0.9075,0.05447114156283029,0.012180117534650259,0.8914843749999999,0.9075,0,4.585753415344613,0.41714583452336285,0.09327664425251178,126.85615038871765,True,True,False
moderate_effects,80,20,0.4,0.0,0.0,1.05,45.5,0.0,0.9748710728127922,0.65,0.775,0.4713228549700144,0.9200000000000002,0.99,0.6640131573049532,0.8428571428571429,0.9285714285714286,1.6016998791953896,0.9424120363283945,0.30412216289873056,0.0680037829705826,0.680037376364422,1.2735728316003494,0.7743510228038711,0.9391666666666666,0.13618389270240056,0.03045164415231051,0.9324999999999999,0.04666510022433648,0.010434633627845703,0.9074500000000001,0.9324999999999999,0,3.912876268203398,0.24918681803995252,0.05571986642342047,133.4491937160492,True,True,False
smaller_effects_harder_study,20,20,0.8,0.0,0.0,1.03,79.0,0.0,0.7516131961304094,0.85,0.8625,0.8837354922012141,0.9349999999999999,0.8300000000000001,0.8640894280615743,0.9107142857142858,0.8392857142857142,3.1235599117051605,1.7214219705447895,0.6378471390173133,0.14262695620964708,1.2919236539894243,2.1641141746660706,1.4271857966464414,0.96,0.106430659962799,0.02379861905669839,0.8324999999999999,0.06340139463848776,0.014176982827994934,0.7751,0.8125,0,8.013593952896104,0.9878367577406493,0.2208870140981083,118.49251627922058,True,False,False
smaller_effects_harder_study,30,20,0.5,0.0,0.0,1.045,56.0,0.0,0.5759367545609535,0.9375,0.875,0.7199417213546699,0.9400000000000001,0.85,0.6920065796803374,0.9392857142857143,0.8571428571428571,2.5932908027762434,1.523869828544996,0.5415276937770835,0.12108927349842485,0.8971444012972839,1.9956068455686808,1.2515180751398634,0.9508333333333333,0.10657822539644285,0.023831615690774067,0.8525,0.052503132738613026,0.011740057383523343,0.8089437499999999,0.8474999999999999,0,6.631400775354578,0.5570156487146768,0.12455248550571603,130.24161839485168,True,False,False
smaller_effects_harder_study,40,20,0.35,0.0,0.0,1.04,42.5,0.0,0.7172584043374725,0.8125,0.8,0.5970546129020988,0.9550000000000001,0.93,0.6444445722650849,0.9142857142857143,0.8928571428571429,2.257410209985593,1.5415605050718015,0.6181141326942676,0.13821452185577077,0.9915679896940498,2.6434365371638804,1.3078449452129115,0.885,0.19277141570640158,0.04310499896383845,0.89,0.06407232755171875,0.014327007988227574,0.8458406249999999,0.8875,0,5.610231057321906,0.49713266224279673,0.11116224266103367,126.47340536117554,True,True,False
