scenario,display,parameter,level,value
moderate_effects,Moderate effects,description,,Feature-driven scenario broadly matching Notebook 4.
moderate_effects,Moderate effects,grand_mean,,63.0
moderate_effects,Moderate effects,participant_sd,,7.0
moderate_effects,Moderate effects,residual_sd,,8.5
moderate_effects,Moderate effects,episode_effect,Relaxation,0.0
moderate_effects,Moderate effects,episode_effect,Distraction,-2.5
moderate_effects,Moderate effects,episode_effect,Enjoyment,3.0
moderate_effects,Moderate effects,episode_effect,Focus,1.5
moderate_effects,Moderate effects,episode_effect,Motivation,2.5
moderate_effects,Moderate effects,feature_effect,z_RMS,2.5
moderate_effects,Moderate effects,feature_effect,z_CF,-1.8
moderate_effects,Moderate effects,feature_effect,z_SW,2.2
moderate_effects,Moderate effects,feature_effect,z_SI,-1.2
moderate_effects,Moderate effects,episode_feature_interaction,Focus:z_SW,2.0
moderate_effects,Moderate effects,episode_feature_interaction,Motivation:z_SW,2.5
moderate_effects,Moderate effects,episode_feature_interaction,Distraction:z_SI,1.8
smaller_effects_harder_study,Smaller effects / harder study,description,,Feature and interaction coefficients scaled to 60% of the moderate scenario.
smaller_effects_harder_study,Smaller effects / harder study,grand_mean,,63.0
smaller_effects_harder_study,Smaller effects / harder study,participant_sd,,7.0
smaller_effects_harder_study,Smaller effects / harder study,residual_sd,,8.5
smaller_effects_harder_study,Smaller effects / harder study,episode_effect,Relaxation,0.0
smaller_effects_harder_study,Smaller effects / harder study,episode_effect,Distraction,-2.5
smaller_effects_harder_study,Smaller effects / harder study,episode_effect,Enjoyment,3.0
smaller_effects_harder_study,Smaller effects / harder study,episode_effect,Focus,1.5
smaller_effects_harder_study,Smaller effects / harder study,episode_effect,Motivation,2.5
smaller_effects_harder_study,Smaller effects / harder study,feature_effect,z_RMS,1.5
smaller_effects_harder_study,Smaller effects / harder study,feature_effect,z_CF,-1.08
smaller_effects_harder_study,Smaller effects / harder study,feature_effect,z_SW,1.32
smaller_effects_harder_study,Smaller effects / harder study,feature_effect,z_SI,-0.72
smaller_effects_harder_study,Smaller effects / harder study,episode_feature_interaction,Focus:z_SW,1.2
smaller_effects_harder_study,Smaller effects / harder study,episode_feature_interaction,Motivation:z_SW,1.5
smaller_effects_harder_study,Smaller effects / harder study,episode_feature_interaction,Distraction:z_SI,1.08
higher_noise_moderate_effects,Higher-noise moderate effects,description,,"Moderate coefficients retained, participant and residual variability increased."
higher_noise_moderate_effects,Higher-noise moderate effects,grand_mean,,63.0
higher_noise_moderate_effects,Higher-noise moderate effects,participant_sd,,10.0
higher_noise_moderate_effects,Higher-noise moderate effects,residual_sd,,12.0
higher_noise_moderate_effects,Higher-noise moderate effects,episode_effect,Relaxation,0.0
higher_noise_moderate_effects,Higher-noise moderate effects,episode_effect,Distraction,-2.5
higher_noise_moderate_effects,Higher-noise moderate effects,episode_effect,Enjoyment,3.0
higher_noise_moderate_effects,Higher-noise moderate effects,episode_effect,Focus,1.5
higher_noise_moderate_effects,Higher-noise moderate effects,episode_effect,Motivation,2.5
higher_noise_moderate_effects,Higher-noise moderate effects,feature_effect,z_RMS,2.5
higher_noise_moderate_effects,Higher-noise moderate effects,feature_effect,z_CF,-1.8
higher_noise_moderate_effects,Higher-noise moderate effects,feature_effect,z_SW,2.2
higher_noise_moderate_effects,Higher-noise moderate effects,feature_effect,z_SI,-1.2
higher_noise_moderate_effects,Higher-noise moderate effects,episode_feature_interaction,Focus:z_SW,2.0
higher_noise_moderate_effects,Higher-noise moderate effects,episode_feature_interaction,Motivation:z_SW,2.5
higher_noise_moderate_effects,Higher-noise moderate effects,episode_feature_interaction,Distraction:z_SI,1.8
