artist,song,song_id,total_audio_records,public_audio_records,readable_audio_files,valid_stereo_mixes,human_mix_count,automated_mix_count,confident_real_institution_count,real_institution_codes,real_institution_names,uncertain_institution_count,sample_rate_values,codec_values,duration_min_seconds,duration_max_seconds,duration_range_seconds,exact_duplicate_count,possible_audio_duplicate_count,metadata_confidence,cross_institution_eligible,recommended_for_consideration,recommendation_rank,recommendation_notes
The DoneFors,Lead Me,song_leadme,38,38,38,38,37,1,6,CNS|DU|McG|PXL|QUT|UCP,Conservatoire National Supérieur de Musique et de Danse de Paris|Dalarna University|McGill University|PXL University College|Queensland University of Technology|Universidade Católica Portuguesa,0,44100|48000,.mp3,79.925156,81.031837,1.106681,2,36,high,true,true,1,primary_candidate;public_audio_is_mp3_excerpt;duration_varies_across_public_files
Fredy V,In The Meantime,song_inthemeantime,36,36,36,36,36,0,5,DU|McG|PXL|QUT|UCP,Dalarna University|McGill University|PXL University College|Queensland University of Technology|Universidade Católica Portuguesa,0,44100|48000,.mp3,74.031020,75.049796,1.018776,2,36,high,true,true,2,primary_candidate;public_audio_is_mp3_excerpt;duration_varies_across_public_files
The Districts,Vermont,song_vermont,7,7,7,7,7,0,2,DU|PXL,Dalarna University|PXL University College,0,48000,.mp3,53.064000,53.064000,0.000000,0,7,high,true,true,3,public_audio_is_mp3_excerpt
The DoneFors,Pouring Room,song_pouringroom,10,10,10,10,10,0,1,McG,McGill University,0,48000,.mp3,52.056000,52.056000,0.000000,2,10,high,false,false,,public_audio_is_mp3_excerpt
Broken Crank,Red To Blue,song_redtoblue,11,11,11,11,10,1,1,McG,McGill University,0,48000,.mp3,65.064000,65.064000,0.000000,2,10,high,false,false,,public_audio_is_mp3_excerpt
,HighBloodPressure,song_highbloodpressure,10,10,10,10,9,1,1,McG,McGill University,0,48000,.mp3,59.640000,59.640000,0.000000,0,10,high,false,false,,public_audio_is_mp3_excerpt
Joshua Bell,My Funny Valentine,song_myfunnyvalentine,10,10,10,10,9,1,1,McG,McGill University,0,48000,.mp3,66.264000,66.264000,0.000000,0,10,high,false,false,,public_audio_is_mp3_excerpt
Dawn Langstroth,No Prize,song_noprize,9,9,9,9,9,0,1,McG,McGill University,0,48000,.mp3,62.808000,62.808000,0.000000,0,9,high,false,false,,public_audio_is_mp3_excerpt
Fredy V,Not Alone,song_notalone,10,10,10,10,9,1,1,McG,McGill University,0,48000,.mp3,71.064000,71.064000,0.000000,0,9,high,false,false,,public_audio_is_mp3_excerpt
,RightOnTime,song_rightontime,10,10,10,10,9,1,1,McG,McGill University,0,48000,.mp3,68.208000,68.208000,0.000000,0,10,high,false,false,,public_audio_is_mp3_excerpt
The DoneFors,Under A Covered Sky,song_underacoveredsky,10,10,10,10,9,1,1,McG,McGill University,0,48000,.mp3,43.056000,44.064000,1.008000,0,8,high,false,false,,public_audio_is_mp3_excerpt;duration_varies_across_public_files
Filthybird,I'd Like To Know,song_idliketoknow,7,7,7,7,7,0,1,PXL,PXL University College,0,48000,.mp3,52.056000,52.056000,0.000000,0,7,high,false,false,,public_audio_is_mp3_excerpt
Torres,New Skin,song_newskin,7,7,7,7,7,0,1,DU,Dalarna University,0,48000,.mp3,57.048000,57.048000,0.000000,0,7,high,false,false,,public_audio_is_mp3_excerpt
Kabaret,Cold Star,song_coldstar,6,6,6,6,6,0,1,CNS,Conservatoire National Supérieur de Musique et de Danse de Paris,0,44100,.mp3,51.900469,51.900469,0.000000,0,6,high,false,false,,public_audio_is_mp3_excerpt
Purling Hiss,Lolita,song_lolita,5,5,5,5,5,0,1,UCP,Universidade Católica Portuguesa,0,48000,.mp3,61.032000,61.032000,0.000000,0,5,high,false,false,,public_audio_is_mp3_excerpt
TheTontons,Lush,song_lush,5,5,5,5,5,0,1,UH,University of Huddersfield,0,44100,.mp3,43.075917,43.075917,0.000000,0,5,high,false,false,,public_audio_is_mp3_excerpt
Creepoid,Old Tree,song_oldtree,5,5,5,5,5,0,1,UCP,Universidade Católica Portuguesa,0,48000,.mp3,61.032000,61.032000,0.000000,0,5,high,false,false,,public_audio_is_mp3_excerpt
J Kirk Band,Good Time,song_goodtime,4,4,4,4,4,0,1,UCP,Universidade Católica Portuguesa,0,48000,.mp3,41.040000,41.040000,0.000000,0,4,high,false,false,,public_audio_is_mp3_excerpt
"Jokers, Jacks & Kings",SeaOfLeaves,song_seaofleaves,4,4,4,4,4,0,1,UCP,Universidade Católica Portuguesa,0,48000,.mp3,75.024000,75.024000,0.000000,0,4,high,false,false,,public_audio_is_mp3_excerpt
Human Radio,You & Me & The Radio,song_youandmeandtheradio,4,4,4,4,4,0,1,UCP,Universidade Católica Portuguesa,0,48000,.mp3,59.040000,59.040000,0.000000,0,4,high,false,false,,public_audio_is_mp3_excerpt
