artist,song,song_id,mix_id,mixer_id,mixer_institution_code,institution_name,institution_category,institution_confidence,engineer_or_participant_id,mix_type,is_public_audio,is_system_generated,metadata_source,metadata_join_status,source_path,relative_source_path,filename,extension,codec,sample_rate,channels,duration_seconds,bit_rate,file_size_bytes,readable,contains_nan_or_inf,peak_amplitude,preview_rms,near_silence_detected,clipping_or_near_clipping_detected,duplicate_file_hash,duplicate_audio_candidate,valid_for_analysis,exclusion_reason,validation_notes
Kabaret,Cold Star,song_coldstar,mix_8a1225f26c75,CNS-5,CNS,Conservatoire National Supérieur de Musique et de Danse de Paris,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-5.mp3,audio/ColdStar/CNS-5.mp3,CNS-5.mp3,.mp3,.mp3,44100,2,51.900469,256000,1661839,true,unknown,,,false,false,4e83119591f2647a12b423278bfd865cf1236f19c4ca7f2f736c2bfe11376dcc,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-5.mp3 and format None.
Kabaret,Cold Star,song_coldstar,mix_bc5160c8fc08,CNS-A,CNS,Conservatoire National Supérieur de Musique et de Danse de Paris,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-A.mp3,audio/ColdStar/CNS-A.mp3,CNS-A.mp3,.mp3,.mp3,44100,2,51.900469,256000,1661839,true,unknown,,,false,false,5f56753cb97fe004b41313d1295d317088098341951f41b786de959511e3eb1e,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-A.mp3 and format None.
Kabaret,Cold Star,song_coldstar,mix_eb041f3943ff,CNS-B,CNS,Conservatoire National Supérieur de Musique et de Danse de Paris,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-B.mp3,audio/ColdStar/CNS-B.mp3,CNS-B.mp3,.mp3,.mp3,44100,2,51.900469,256000,1661839,true,unknown,,,false,false,f71659f3b1ed822ff5eac02d8cba75a465f7dc8ab17cb4e1d92a1bbee410da78,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-B.mp3 and format None.
Kabaret,Cold Star,song_coldstar,mix_d0499014c790,CNS-C,CNS,Conservatoire National Supérieur de Musique et de Danse de Paris,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-C.mp3,audio/ColdStar/CNS-C.mp3,CNS-C.mp3,.mp3,.mp3,44100,2,51.900469,256000,1661839,true,unknown,,,false,false,bb3d967b5073ef0bf1d554a1247ade09daf038b8e7e03b7aba18e1178f18d7c3,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-C.mp3 and format None.
Kabaret,Cold Star,song_coldstar,mix_bdf217deb4a1,CNS-D,CNS,Conservatoire National Supérieur de Musique et de Danse de Paris,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-D.mp3,audio/ColdStar/CNS-D.mp3,CNS-D.mp3,.mp3,.mp3,44100,2,51.900469,256000,1661839,true,unknown,,,false,false,a0a13ded773999fe3a3b4be02d78eee3615189b197991a25876b1640b2a170fa,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-D.mp3 and format None.
Kabaret,Cold Star,song_coldstar,mix_76cc777ae526,CNS-pro,CNS,Conservatoire National Supérieur de Musique et de Danse de Paris,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-pro.mp3,audio/ColdStar/CNS-pro.mp3,CNS-pro.mp3,.mp3,.mp3,44100,2,51.900469,256000,1661839,true,unknown,,,false,false,2cd3cb7dac07f2910152469d81d09dee39df3a459eb18191dd63b32ac0ba4a8d,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\ColdStar\CNS-pro.mp3 and format None.
J Kirk Band,Good Time,song_goodtime,mix_c530c58b7325,UCP-B1,UCP,Universidade Católica Portuguesa,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\GoodTime\UCP-B1.mp3,audio/GoodTime/UCP-B1.mp3,UCP-B1.mp3,.mp3,.mp3,48000,2,41.04,128000,656877,true,unknown,,,false,false,306a9a98e228f340cb90fbcb9a9b4edc81c4b227da001bc5de439904d0841ccb,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\GoodTime\UCP-B1.mp3 and format None.
J Kirk Band,Good Time,song_goodtime,mix_c041b6826af0,UCP-B2,UCP,Universidade Católica Portuguesa,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\GoodTime\UCP-B2.mp3,audio/GoodTime/UCP-B2.mp3,UCP-B2.mp3,.mp3,.mp3,48000,2,41.04,128000,656877,true,unknown,,,false,false,b9c7a18dd3782820c32a83eb6ebeb984638af2eb97f1074fd8702b0e0ac58a27,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\GoodTime\UCP-B2.mp3 and format None.
J Kirk Band,Good Time,song_goodtime,mix_9e34f862bd17,UCP-B3,UCP,Universidade Católica Portuguesa,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\GoodTime\UCP-B3.mp3,audio/GoodTime/UCP-B3.mp3,UCP-B3.mp3,.mp3,.mp3,48000,2,41.04,128000,656877,true,unknown,,,false,false,8f5ca9b45ccc5514d361e299d136e4ae7aeef67317d88a502d0b60c9d15110ee,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\GoodTime\UCP-B3.mp3 and format None.
J Kirk Band,Good Time,song_goodtime,mix_c0f9cee165d9,UCP-B4,UCP,Universidade Católica Portuguesa,university_or_institution,high,,human_mix,true,false,relationship_tables,matched,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\GoodTime\UCP-B4.mp3,audio/GoodTime/UCP-B4.mp3,UCP-B4.mp3,.mp3,.mp3,48000,2,41.04,128000,656877,true,unknown,,,false,false,6d24ac19e5cd345f20aac716c48ff2dd2d8ddb669c5cf30dbb7a1298a41d75b6,true,true,,metadata_decode_ok; sample_preview_failed: Couldn't find appropriate backend to handle uri C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\GoodTime\UCP-B4.mp3 and format None.
