artist,song,genre,valid_human_mix_count,real_institution_count,institution_codes,public_audio_available,duration_consistency,metadata_confidence,source_or_stem_availability,licence_status,estimated_mix_variation,artist_diversity_score,genre_diversity_score,technical_risk,overall_score,recommendation_rank,notes
Broken Crank,Red To Blue,rock/blues rock,10,1,McG,true,high; range=0.000000s,high,available: RedToBlueStems,Creative Commons BY 3.0,1.000; mix_count_priority with 10 valid human mixes,1.000,1.000,low,0.952273,1,"strong corrected-priority candidate: 10 valid human mixes, CC BY 3.0, stems available, different artist"
The DoneFors,Pouring Room,folk/roots rock,10,1,McG,true,high; range=0.000000s,high,not found in local source/stem folders,Creative Commons BY 3.0,1.000; mix_count_priority with 10 valid human mixes,0.350,0.450,low,0.909773,2,10 valid human mixes and CC BY 3.0; same artist as Lead Me and no local stems found; artist already represented in approved set
Fredy V,Not Alone,funk/soul/pop,9,1,McG,true,high; range=0.000000s,high,available: NotAloneStems,Creative Commons BY 3.0,1.000; mix_count_priority with 9 valid human mixes,0.350,0.450,low,0.877045,3,9 valid human mixes and stems available; same artist as In The Meantime; artist already represented in approved set
The DoneFors,Under A Covered Sky,folk/roots rock,9,1,McG,true,high; range=0.000000s,high,not found in local source/stem folders,Creative Commons BY 3.0,1.000; mix_count_priority with 9 valid human mixes,0.350,0.450,low,0.877045,4,artist already represented in approved set
Joshua Bell,My Funny Valentine,classical/jazz standard,9,1,McG,true,high; range=0.000000s,high,not found in local source/stem folders,Copyrighted,1.000; mix_count_priority with 9 valid human mixes,1.000,1.000,low,0.874045,5,copyrighted material; lower preference when CC alternatives are suitable
Dawn Langstroth,No Prize,singer-songwriter/pop,9,1,McG,true,high; range=0.000000s,high,not found in local source/stem folders,Copyrighted,1.000; mix_count_priority with 9 valid human mixes,1.000,1.000,low,0.874045,6,copyrighted material; lower preference when CC alternatives are suitable
,HighBloodPressure,unknown,9,1,McG,true,high; range=0.000000s,high,not found in local source/stem folders,unknown,1.000; mix_count_priority with 9 valid human mixes,0.450,1.000,low,0.862545,7,meets minimum technical candidate criteria
,RightOnTime,unknown,9,1,McG,true,high; range=0.000000s,high,not found in local source/stem folders,unknown,1.000; mix_count_priority with 9 valid human mixes,0.450,1.000,low,0.862545,8,meets minimum technical candidate criteria
The Districts,Vermont,indie rock,7,2,DU|PXL,true,high; range=0.000000s,high,not found in local source/stem folders,Creative Commons BY-NC 4.0,0.873; mix_count_priority with 7 valid human mixes,1.000,1.000,low,0.842558,9,"multi-institution benefit retained, but 7 mixes ranks below technically consistent 9-10 mix songs under corrected priority"
Filthybird,I'd Like To Know,indie/alternative,7,1,PXL,true,high; range=0.000000s,high,not found in local source/stem folders,Creative Commons BY-NC 4.0,0.833; mix_count_priority with 7 valid human mixes,1.000,1.000,low,0.823158,10,meets minimum technical candidate criteria
Torres,New Skin,indie/alternative,7,1,DU,true,high; range=0.000000s,high,not found in local source/stem folders,Creative Commons BY-NC 4.0,0.833; mix_count_priority with 7 valid human mixes,1.000,1.000,low,0.823158,11,meets minimum technical candidate criteria
Kabaret,Cold Star,indie/alternative,6,1,CNS,true,high; range=0.000000s,high,not found in local source/stem folders,Copyrighted,0.750; mix_count_priority with 6 valid human mixes,1.000,1.000,low,0.748364,12,copyrighted material; lower preference when CC alternatives are suitable
Purling Hiss,Lolita,indie rock,5,1,UCP,true,high; range=0.000000s,high,not found in local source/stem folders,Creative Commons BY-NC 4.0,0.667; mix_count_priority with 5 valid human mixes,1.000,1.000,low,0.739370,13,meets minimum technical candidate criteria
TheTontons,Lush,indie/alternative,5,1,UH,true,high; range=0.000000s,high,not found in local source/stem folders,Creative Commons BY-NC 4.0,0.667; mix_count_priority with 5 valid human mixes,1.000,1.000,low,0.739370,14,meets minimum technical candidate criteria
Creepoid,Old Tree,indie rock,5,1,UCP,true,high; range=0.000000s,high,not found in local source/stem folders,Creative Commons BY-NC 4.0,0.667; mix_count_priority with 5 valid human mixes,1.000,1.000,low,0.739370,15,meets minimum technical candidate criteria
J Kirk Band,Good Time,rock,4,1,UCP,true,high; range=0.000000s,high,not found in local source/stem folders,Copyrighted (Arc Angels),0.583; mix_count_priority with 4 valid human mixes,1.000,1.000,low,0.664576,16,copyrighted material; lower preference when CC alternatives are suitable
"Jokers, Jacks & Kings",SeaOfLeaves,rock,4,1,UCP,true,high; range=0.000000s,high,not found in local source/stem folders,Copyrighted,0.583; mix_count_priority with 4 valid human mixes,1.000,1.000,low,0.664576,17,copyrighted material; lower preference when CC alternatives are suitable
Human Radio,You & Me & The Radio,rock/pop,4,1,UCP,true,high; range=0.000000s,high,not found in local source/stem folders,Copyrighted,0.583; mix_count_priority with 4 valid human mixes,1.000,1.000,low,0.664576,18,copyrighted material; lower preference when CC alternatives are suitable
