artist,song,candidate_rank,aligned_start_seconds,aligned_end_seconds,preview_filenames,preview_institutions,algorithmic_score,selected_yes_no,reviewer_notes
Fredy V,In The Meantime,1,34.800431,62.800431,fredy_v_in_the_meantime_candidate01_DU_mix_302f0efe8a80_diagnostic_preview.wav; fredy_v_in_the_meantime_candidate01_QUT_mix_13f0eed08780_diagnostic_preview.wav,DU; QUT,0.647475,,
Fredy V,In The Meantime,2,42.800431,70.800431,fredy_v_in_the_meantime_candidate02_DU_mix_302f0efe8a80_diagnostic_preview.wav; fredy_v_in_the_meantime_candidate02_QUT_mix_13f0eed08780_diagnostic_preview.wav,DU; QUT,0.535204,,
Fredy V,In The Meantime,3,29.050431,57.050431,fredy_v_in_the_meantime_candidate03_DU_mix_302f0efe8a80_diagnostic_preview.wav; fredy_v_in_the_meantime_candidate03_QUT_mix_13f0eed08780_diagnostic_preview.wav,DU; QUT,0.505191,,
Fredy V,In The Meantime,4,15.300431,43.300431,fredy_v_in_the_meantime_candidate04_DU_mix_302f0efe8a80_diagnostic_preview.wav; fredy_v_in_the_meantime_candidate04_QUT_mix_13f0eed08780_diagnostic_preview.wav,DU; QUT,0.382321,,
Fredy V,In The Meantime,5,21.050431,49.050431,fredy_v_in_the_meantime_candidate05_DU_mix_302f0efe8a80_diagnostic_preview.wav; fredy_v_in_the_meantime_candidate05_QUT_mix_13f0eed08780_diagnostic_preview.wav,DU; QUT,0.217878,,
The DoneFors,Lead Me,1,12.573107,40.573107,the_donefors_lead_me_candidate01_CNS_mix_b5102e72a550_diagnostic_preview.wav; the_donefors_lead_me_candidate01_DU_mix_271852ba8676_diagnostic_preview.wav,CNS; DU,1.448275,,
The DoneFors,Lead Me,2,6.823107,34.823107,the_donefors_lead_me_candidate02_CNS_mix_b5102e72a550_diagnostic_preview.wav; the_donefors_lead_me_candidate02_DU_mix_271852ba8676_diagnostic_preview.wav,CNS; DU,1.331904,,
The DoneFors,Lead Me,3,18.323107,46.323107,the_donefors_lead_me_candidate03_CNS_mix_b5102e72a550_diagnostic_preview.wav; the_donefors_lead_me_candidate03_DU_mix_271852ba8676_diagnostic_preview.wav,CNS; DU,1.176352,,
The DoneFors,Lead Me,4,24.073107,52.073107,the_donefors_lead_me_candidate04_CNS_mix_b5102e72a550_diagnostic_preview.wav; the_donefors_lead_me_candidate04_DU_mix_271852ba8676_diagnostic_preview.wav,CNS; DU,0.748757,,
The DoneFors,Lead Me,5,30.073107,58.073107,the_donefors_lead_me_candidate05_CNS_mix_b5102e72a550_diagnostic_preview.wav; the_donefors_lead_me_candidate05_DU_mix_271852ba8676_diagnostic_preview.wav,CNS; DU,0.588661,,
