artist,song,track_filename,source_path,source_group,mapping_confidence,mapping_rationale
The DoneFors,Lead Me,Ac Guit DI.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Ac Guit DI.wav,other,high,filename identifies harmonic/instrumental source
The DoneFors,Lead Me,Accordian (edit).wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Accordian (edit).wav,other,high,filename identifies harmonic/instrumental source
The DoneFors,Lead Me,Act Guit.L.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Act Guit.L.wav,other,high,filename identifies harmonic/instrumental source
The DoneFors,Lead Me,Act Guit.R.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Act Guit.R.wav,other,high,filename identifies harmonic/instrumental source
The DoneFors,Lead Me,Bass DI.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Bass DI.wav,bass,high,filename explicitly identifies bass
The DoneFors,Lead Me,Floor.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Floor.wav,drums,high,filename identifies drum/percussion source
The DoneFors,Lead Me,GangM1.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\GangM1.wav,other,low,unrecognised source label mapped cautiously to other instruments
The DoneFors,Lead Me,GangM2.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\GangM2.wav,other,low,unrecognised source label mapped cautiously to other instruments
The DoneFors,Lead Me,GangM3.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\GangM3.wav,other,low,unrecognised source label mapped cautiously to other instruments
The DoneFors,Lead Me,GangM4.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\GangM4.wav,other,low,unrecognised source label mapped cautiously to other instruments
The DoneFors,Lead Me,Hat.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Hat.wav,drums,high,filename identifies drum/percussion source
The DoneFors,Lead Me,JanineVoc.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\JanineVoc.wav,vocal,high,filename explicitly identifies vocal
The DoneFors,Lead Me,Keys2 (edit).wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Keys2 (edit).wav,other,high,filename identifies harmonic/instrumental source
The DoneFors,Lead Me,Kin.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Kin.wav,drums,high,filename identifies drum/percussion source
The DoneFors,Lead Me,KOut.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\KOut.wav,drums,high,filename identifies drum/percussion source
The DoneFors,Lead Me,LeadVoc.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\LeadVoc.wav,vocal,high,filename explicitly identifies vocal
The DoneFors,Lead Me,Paul GTR R84.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Paul GTR R84.wav,other,high,filename identifies harmonic/instrumental source
The DoneFors,Lead Me,Paul GTR.double.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Paul GTR.double.wav,other,high,filename identifies harmonic/instrumental source
The DoneFors,Lead Me,Paul GTR.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Paul GTR.wav,other,high,filename identifies harmonic/instrumental source
The DoneFors,Lead Me,Snaps1.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\Snaps1.wav,drums,high,filename identifies drum/percussion source
The DoneFors,Lead Me,SnT1.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\SnT1.wav,drums,high,filename identifies drum/percussion source
The DoneFors,Lead Me,SnT2.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\SnT2.wav,drums,high,filename identifies drum/percussion source
The DoneFors,Lead Me,StOH.L.wav,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\audio\LeadMeRaw\StOH.L.wav,drums,high,filename identifies drum/percussion source
