artist,song,mix_id,institution,source_path,reference_mix_id,decoder_backend,original_sample_rate,decoded_channels,original_duration_seconds,estimated_lag_seconds,refined_lag_seconds,alignment_score,second_best_score,confidence_margin,alignment_confidence,aligned_start_seconds,aligned_end_seconds,usable_overlap_seconds,retained_for_excerpt_selection,exclusion_reason,notes
Broken Crank,Red To Blue,mix_1baafc9b5b1d,MG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\Mixgenius.mp3,,not_decoded,48000,2,65.064000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,-0.000000,65.064000,65.064000,false,automated_or_system_generated,
Broken Crank,Red To Blue,mix_e2654ec905ad,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-A.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152208,-0.000454,-0.000454,0.696168,0.364513,0.331655,0.772126,0.000454,65.152662,65.152208,true,,
Broken Crank,Red To Blue,mix_7ac13e0b6376,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-B.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152208,-0.000454,-0.000454,0.824565,0.309564,0.515001,0.868424,0.000454,65.152662,65.152208,true,,
Broken Crank,Red To Blue,mix_5143d2ee3859,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-C.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152208,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,-0.000000,65.152208,65.152208,true,,
Broken Crank,Red To Blue,mix_8978729ff911,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-D.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152208,-0.000454,-0.000454,0.730185,0.355377,0.374808,0.797638,0.000454,65.152662,65.152208,true,,
Broken Crank,Red To Blue,mix_f4f9bdec5b71,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-E.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152208,-0.000454,-0.000454,0.927351,0.334650,0.592701,0.945513,0.000454,65.152662,65.152208,true,,
Broken Crank,Red To Blue,mix_dcc6aef84d67,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-F.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152208,-0.000454,-0.000454,0.851801,0.307039,0.544762,0.888851,0.000454,65.152662,65.152208,true,,
Broken Crank,Red To Blue,mix_b4b312ffa4d6,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-G.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152208,-0.005442,-0.005442,0.848909,0.342611,0.506298,0.886682,0.005442,65.157651,65.152208,true,,
Broken Crank,Red To Blue,mix_5b76bf1a027d,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-H.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152208,-0.000454,-0.000454,0.848772,0.300470,0.548302,0.886579,0.000454,65.152662,65.152208,true,,
Broken Crank,Red To Blue,mix_906e7f7daf44,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-pro.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152417,-0.000454,-0.000454,0.784827,0.310435,0.474392,0.838620,0.000454,65.152870,65.152417,true,,
Broken Crank,Red To Blue,mix_808780e357c9,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-pro1.mp3,mix_5143d2ee3859,soundfile,48000,2,65.152417,-0.000454,-0.000454,0.784827,0.310435,0.474392,0.838620,0.000454,65.152870,65.152417,true,,
The DoneFors,Pouring Room,mix_0ddb25d6180b,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-Q.mp3,mix_0ba76f420c1d,soundfile,48000,2,52.144208,-0.000454,-0.000454,0.818925,0.326192,0.492733,0.864194,0.000454,52.144662,52.144208,true,,
The DoneFors,Pouring Room,mix_0ba76f420c1d,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-R.mp3,mix_0ba76f420c1d,soundfile,48000,2,52.144208,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,-0.000000,52.144208,52.144208,true,,
The DoneFors,Pouring Room,mix_d1edc48dc058,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-S.mp3,mix_0ba76f420c1d,soundfile,48000,2,52.144208,-0.000454,-0.000454,0.595862,0.256971,0.338891,0.696897,0.000454,52.144662,52.144208,false,low_alignment_confidence,
The DoneFors,Pouring Room,mix_be2ccd4c43ff,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-T.mp3,mix_0ba76f420c1d,soundfile,48000,2,52.144208,-0.000454,-0.000454,0.807588,0.360946,0.446642,0.855691,0.000454,52.144662,52.144208,true,,
The DoneFors,Pouring Room,mix_37681ed84b6b,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-U.mp3,mix_0ba76f420c1d,soundfile,48000,2,52.144208,-0.000454,-0.000454,0.722919,0.199118,0.523801,0.792189,0.000454,52.144662,52.144208,true,,
