artist,song,mix_id,institution,source_path,reference_mix_id,decoder_backend,original_sample_rate,decoded_channels,original_duration_seconds,estimated_lag_seconds,refined_lag_seconds,alignment_score,second_best_score,confidence_margin,alignment_confidence,aligned_start_seconds,aligned_end_seconds,usable_overlap_seconds,retained_for_excerpt_selection,exclusion_reason,notes,soundfile_version,libsndfile_version,decoder_mp3_support,decoded_frame_count,soundfile_info_frame_count,decoded_duration_from_frames_seconds,duration_frame_delta_seconds,full_waveform_decode_verified,decode_duration_consistent_with_report,decode_verification_notes,soundfile_info_frame_count_matches_decoded,soundfile_info_minus_decoded_frames
Fredy V,In The Meantime,mix_302f0efe8a80,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-H.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-0.557460,-0.557460,0.767660,0.517180,0.250480,0.825745,0.557460,74.563424,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_9baa86357fd4,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-I.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-0.532517,-0.532517,0.760256,0.465524,0.294732,0.820192,0.532517,74.538481,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_22efc79c8253,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-J.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-0.567438,-0.567438,0.842244,0.464597,0.377647,0.881683,0.567438,74.573402,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_56e65a3ce054,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-K.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-0.532517,-0.532517,0.663416,0.411373,0.252044,0.747562,0.532517,74.538481,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_561c0e17caee,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-L.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-0.542494,-0.542494,0.827623,0.496330,0.331293,0.870717,0.542494,74.548458,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_6cfa655049d5,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-M.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-0.552472,-0.552472,0.816145,0.474566,0.341578,0.862109,0.552472,74.558436,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_29131e66c9d7,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-N.mp3,mix_13f0eed08780,soundfile,44100,2,74.005964,-0.557460,-0.557460,0.782801,0.529897,0.252904,0.837101,0.557460,74.563424,74.005964,true,,duration_mismatch,0.14.0,1.2.2,true,3263663,3263663,74.005963719,0.000000000,true,true,full_decode_verified_from_sf_read,true,0
Fredy V,In The Meantime,mix_8ffed8205048,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-A.mp3,mix_13f0eed08780,soundfile,48000,2,75.048000,-0.534422,-0.534422,0.859276,0.451159,0.408117,0.894457,0.534422,75.582422,75.048000,true,,,0.14.0,1.2.2,true,3602304,3606538,75.048000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames,false,4234
Fredy V,In The Meantime,mix_5383540067d5,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-B.mp3,mix_13f0eed08780,soundfile,48000,2,75.048000,-0.519456,-0.519456,0.841071,0.436276,0.404795,0.880803,0.519456,75.567456,75.048000,true,,,0.14.0,1.2.2,true,3602304,3606538,75.048000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames,false,4234
Fredy V,In The Meantime,mix_145577f61939,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-C.mp3,mix_13f0eed08780,soundfile,48000,2,75.048000,-0.554376,-0.554376,0.859090,0.498919,0.360171,0.894318,0.554376,75.602376,75.048000,true,,,0.14.0,1.2.2,true,3602304,3606538,75.048000000,0.000000000,true,true,full_decode_verified_from_sf_read; soundfile_info_frame_estimate_differs_by_4234_frames,false,4234
