artist,song,approved_start_seconds,approved_end_seconds,original_dataset_filename,original_mix_name,preview_filename,mix_id,institution,source_path,purpose
The DoneFors,Lead Me,9.573107,37.573107,CNS-5.mp3,CNS-5,Lead Me/CNS-5_28sec_preview.wav,mix_b5102e72a550,CNS,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\CNS-5.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
The DoneFors,Lead Me,9.573107,37.573107,DU-A.mp3,DU-A,Lead Me/DU-A_28sec_preview.wav,mix_8f1477339518,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\DU-A.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
The DoneFors,Lead Me,9.573107,37.573107,McG-A.mp3,McG-A,Lead Me/McG-A_28sec_preview.wav,mix_9346b5d4ade2,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\LeadMe\McG-A.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
Fredy V,In The Meantime,35.300431,63.300431,DU-H.mp3,DU-H,In The Meantime/DU-H_28sec_preview.wav,mix_302f0efe8a80,DU,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-H.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
Fredy V,In The Meantime,35.300431,63.300431,McG-A.mp3,McG-A,In The Meantime/McG-A_28sec_preview.wav,mix_8ffed8205048,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-A.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
Fredy V,In The Meantime,35.300431,63.300431,PXL-S1.mp3,PXL-S1,In The Meantime/PXL-S1_28sec_preview.wav,mix_2eae3034bad8,PXL,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S1.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
Broken Crank,Red To Blue,3.005442,31.005442,McG-A.mp3,McG-A,Red To Blue/McG-A_28sec_preview.wav,mix_e2654ec905ad,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-A.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
Broken Crank,Red To Blue,3.005442,31.005442,McG-B.mp3,McG-B,Red To Blue/McG-B_28sec_preview.wav,mix_7ac13e0b6376,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-B.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
Broken Crank,Red To Blue,3.005442,31.005442,McG-C.mp3,McG-C,Red To Blue/McG-C_28sec_preview.wav,mix_5143d2ee3859,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-C.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
The DoneFors,Pouring Room,23.020408,51.020408,McG-Q.mp3,McG-Q,Pouring Room/McG-Q_28sec_preview.wav,mix_0ddb25d6180b,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-Q.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
The DoneFors,Pouring Room,23.020408,51.020408,McG-R.mp3,McG-R,Pouring Room/McG-R_28sec_preview.wav,mix_0ba76f420c1d,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-R.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
The DoneFors,Pouring Room,23.020408,51.020408,McG-T.mp3,McG-T,Pouring Room/McG-T_28sec_preview.wav,mix_be2ccd4c43ff,McG,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\PouringRoom\McG-T.mp3,"diagnostic approved-excerpt preview, not final selected study mix"
