artist,song,candidate_rank,aligned_start_seconds,aligned_end_seconds,reference_file_start_seconds,reference_file_end_seconds,activity_score,onset_score,spectral_activity_score,silence_penalty,boundary_penalty,cross_mix_consistency_score,total_score,notes
Fredy V,In The Meantime,1,34.800431,62.800431,34.800431,62.800431,0.314923,-0.038351,0.309024,0.500000,0.000000,0.686113,0.647475,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Fredy V,In The Meantime,2,42.800431,70.800431,42.800431,70.800431,0.202908,-0.024103,0.267472,0.500000,0.000000,0.700253,0.535204,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Fredy V,In The Meantime,3,29.050431,57.050431,29.050431,57.050431,0.216323,-0.006546,0.170825,0.500000,0.000000,0.687461,0.505191,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Fredy V,In The Meantime,4,15.300431,43.300431,15.300431,43.300431,-0.056225,-0.005795,-0.168639,0.000000,0.000000,0.690162,0.382321,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Fredy V,In The Meantime,5,21.050431,49.050431,21.050431,49.050431,0.028635,-0.029979,-0.030974,0.500000,0.000000,0.692893,0.217878,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
The DoneFors,Lead Me,1,12.573107,40.573107,12.573107,40.573107,0.803939,0.144654,0.782354,0.500000,0.000000,0.683623,1.448275,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
The DoneFors,Lead Me,2,6.823107,34.823107,6.823107,34.823107,0.707958,0.165538,0.704657,0.500000,0.000000,0.687739,1.331904,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
The DoneFors,Lead Me,3,18.323107,46.323107,18.323107,46.323107,0.619043,0.111373,0.630604,0.500000,0.000000,0.683042,1.176352,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
The DoneFors,Lead Me,4,24.073107,52.073107,24.073107,52.073107,0.336136,0.060134,0.385744,0.500000,0.000000,0.674617,0.748757,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
The DoneFors,Lead Me,5,30.073107,58.073107,30.073107,58.073107,0.053147,0.001626,0.049616,0.000000,0.000000,0.683056,0.588661,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
