artist,song,candidate_rank,same_musical_passage,clear_musical_activity,no_abrupt_phrase_cut,no_silence_or_fade,audible_mix_differences,suitable_duration,preferred_candidate_rank,reviewer_notes
Fredy V,In The Meantime,1,,,,,,,,
Fredy V,In The Meantime,2,,,,,,,,
Fredy V,In The Meantime,3,,,,,,,,
Fredy V,In The Meantime,4,,,,,,,,
Fredy V,In The Meantime,5,,,,,,,,
The DoneFors,Lead Me,1,,,,,,,,
The DoneFors,Lead Me,2,,,,,,,,
The DoneFors,Lead Me,3,,,,,,,,
The DoneFors,Lead Me,4,,,,,,,,
The DoneFors,Lead Me,5,,,,,,,,
