song,bark_channel,bark_band,column,count,mean,standard_deviation
Broken Crank - Red To Blue,mid,1,bark_mid_01,10,8.38215646744,0.125815636566
Broken Crank - Red To Blue,mid,2,bark_mid_02,10,7.91326723099,0.07478785416
Broken Crank - Red To Blue,mid,3,bark_mid_03,10,7.53776240349,0.112063219391
Broken Crank - Red To Blue,mid,4,bark_mid_04,10,7.73185534477,0.0832439648309
Broken Crank - Red To Blue,mid,5,bark_mid_05,10,7.47544569969,0.0588271644649
Broken Crank - Red To Blue,mid,6,bark_mid_06,10,7.31462144852,0.0737942546216
Broken Crank - Red To Blue,mid,7,bark_mid_07,10,7.08484578133,0.0600898417779
Broken Crank - Red To Blue,mid,8,bark_mid_08,10,7.14293122292,0.0425776280619
Broken Crank - Red To Blue,mid,9,bark_mid_09,10,7.02724480629,0.0516111311012
Broken Crank - Red To Blue,mid,10,bark_mid_10,10,6.98709578514,0.0529548767734
Broken Crank - Red To Blue,mid,11,bark_mid_11,10,7.28813080787,0.0848098554055
Broken Crank - Red To Blue,mid,12,bark_mid_12,10,7.30999670029,0.0950931830158
Broken Crank - Red To Blue,mid,13,bark_mid_13,10,7.358938694,0.0983435942991
Broken Crank - Red To Blue,mid,14,bark_mid_14,10,7.43439273834,0.111731128354
Broken Crank - Red To Blue,mid,15,bark_mid_15,10,7.61779413223,0.128023812211
Broken Crank - Red To Blue,mid,16,bark_mid_16,10,7.37952723503,0.148712783371
Broken Crank - Red To Blue,mid,17,bark_mid_17,10,7.17363929748,0.179033059343
Broken Crank - Red To Blue,mid,18,bark_mid_18,10,6.98848757744,0.154538969971
Broken Crank - Red To Blue,mid,19,bark_mid_19,10,6.91509108544,0.199642115424
Broken Crank - Red To Blue,mid,20,bark_mid_20,10,7.27137150764,0.223592131491
Broken Crank - Red To Blue,mid,21,bark_mid_21,10,7.63267345429,0.177839037178
Broken Crank - Red To Blue,mid,22,bark_mid_22,10,7.61181373596,0.154074572006
Broken Crank - Red To Blue,mid,23,bark_mid_23,10,7.54423074722,0.170192995165
Broken Crank - Red To Blue,mid,24,bark_mid_24,10,7.08425011635,0.403194115398
