song,check,severity,passed,details
Broken Crank - Red To Blue,missing_values,error,true,ok rows checked
Broken Crank - Red To Blue,nan,error,true,finite numeric feature matrix
Broken Crank - Red To Blue,inf,error,true,finite numeric feature matrix
Broken Crank - Red To Blue,incorrect_sample_count,error,true,expected 1234800
Broken Crank - Red To Blue,incorrect_channel_count,error,true,expected stereo
Broken Crank - Red To Blue,zero_variance_feature_dimensions,warning,true,
Broken Crank - Red To Blue,near_zero_variance_feature_dimensions,warning,true,
Broken Crank - Red To Blue,extreme_rms,warning,true,min=0.0437414; max=0.052424
Broken Crank - Red To Blue,extreme_crest_factor,warning,true,min=14.4259; max=17.6194
Broken Crank - Red To Blue,extreme_stereo_width,warning,true,min=0.022538; max=0.249742
Broken Crank - Red To Blue,extreme_absolute_stereo_imbalance,warning,true,max_abs=0.126785
Broken Crank - Red To Blue,highly_correlated_scalar_features,warning,true,
Broken Crank - Red To Blue,bark_bins_zero_or_near_zero_variance,warning,true,
Broken Crank - Red To Blue,duplicate_or_near_duplicate_feature_vectors,warning,false,McG-pro1 (internal ID: mix_808780e357c9)~McG-pro (internal ID: mix_906e7f7daf44)
Broken Crank - Red To Blue,suspicious_all_zero_or_constant_bark_outputs,warning,true,
Broken Crank - Red To Blue,possible_excerpt_conversion_error,error,true,source interval durations checked
Broken Crank - Red To Blue,possible_decoder_inconsistency,warning,true,soundfile
Fredy V - In The Meantime,missing_values,error,true,ok rows checked
Fredy V - In The Meantime,nan,error,true,finite numeric feature matrix
Fredy V - In The Meantime,inf,error,true,finite numeric feature matrix
Fredy V - In The Meantime,incorrect_sample_count,error,true,expected 1234800
Fredy V - In The Meantime,incorrect_channel_count,error,true,expected stereo
Fredy V - In The Meantime,zero_variance_feature_dimensions,warning,true,
Fredy V - In The Meantime,near_zero_variance_feature_dimensions,warning,true,
Fredy V - In The Meantime,extreme_rms,warning,true,min=0.0503131; max=0.0623472
Fredy V - In The Meantime,extreme_crest_factor,warning,true,min=13.4339; max=22.9316
Fredy V - In The Meantime,extreme_stereo_width,warning,true,min=0.000543583; max=0.220763
Fredy V - In The Meantime,extreme_absolute_stereo_imbalance,warning,true,max_abs=0.595546
Fredy V - In The Meantime,highly_correlated_scalar_features,warning,false,crest_factor_left~crest_factor_mean=0.985; crest_factor_right~crest_factor_mean=0.982
Fredy V - In The Meantime,bark_bins_zero_or_near_zero_variance,warning,true,
Fredy V - In The Meantime,duplicate_or_near_duplicate_feature_vectors,warning,false,McG-pro (internal ID: mix_027ec3f8b8f1)~McG-pro2 (internal ID: mix_690c5c454a9f)
Fredy V - In The Meantime,suspicious_all_zero_or_constant_bark_outputs,warning,true,
Fredy V - In The Meantime,possible_excerpt_conversion_error,error,true,source interval durations checked
Fredy V - In The Meantime,possible_decoder_inconsistency,warning,true,soundfile
The DoneFors - Lead Me,missing_values,error,true,ok rows checked
The DoneFors - Lead Me,nan,error,true,finite numeric feature matrix
The DoneFors - Lead Me,inf,error,true,finite numeric feature matrix
The DoneFors - Lead Me,incorrect_sample_count,error,true,expected 1234800
The DoneFors - Lead Me,incorrect_channel_count,error,true,expected stereo
The DoneFors - Lead Me,zero_variance_feature_dimensions,warning,true,
The DoneFors - Lead Me,near_zero_variance_feature_dimensions,warning,true,
The DoneFors - Lead Me,extreme_rms,warning,true,min=0.0543774; max=0.0730312
The DoneFors - Lead Me,extreme_crest_factor,warning,true,min=11.2756; max=20.6254
The DoneFors - Lead Me,extreme_stereo_width,warning,true,min=0.0144364; max=0.149042
The DoneFors - Lead Me,extreme_absolute_stereo_imbalance,warning,true,max_abs=0.181386
The DoneFors - Lead Me,highly_correlated_scalar_features,warning,false,crest_factor_left~crest_factor_mean=0.982; crest_factor_right~crest_factor_mean=0.984
The DoneFors - Lead Me,bark_bins_zero_or_near_zero_variance,warning,true,
The DoneFors - Lead Me,duplicate_or_near_duplicate_feature_vectors,warning,false,McG-pro2 (internal ID: mix_d3e3580b6e30)~McG-pro (internal ID: mix_fa064711a381)
The DoneFors - Lead Me,suspicious_all_zero_or_constant_bark_outputs,warning,true,
The DoneFors - Lead Me,possible_excerpt_conversion_error,error,true,source interval durations checked
The DoneFors - Lead Me,possible_decoder_inconsistency,warning,true,soundfile
The DoneFors - Pouring Room,missing_values,error,true,ok rows checked
The DoneFors - Pouring Room,nan,error,true,finite numeric feature matrix
The DoneFors - Pouring Room,inf,error,true,finite numeric feature matrix
The DoneFors - Pouring Room,incorrect_sample_count,error,true,expected 1234800
The DoneFors - Pouring Room,incorrect_channel_count,error,true,expected stereo
The DoneFors - Pouring Room,zero_variance_feature_dimensions,warning,true,
The DoneFors - Pouring Room,near_zero_variance_feature_dimensions,warning,true,
The DoneFors - Pouring Room,extreme_rms,warning,true,min=0.0587656; max=0.0646217
The DoneFors - Pouring Room,extreme_crest_factor,warning,true,min=16.5152; max=20.8416
The DoneFors - Pouring Room,extreme_stereo_width,warning,true,min=0.0750392; max=0.21738
The DoneFors - Pouring Room,extreme_absolute_stereo_imbalance,warning,true,max_abs=0.164419
The DoneFors - Pouring Room,highly_correlated_scalar_features,warning,true,
The DoneFors - Pouring Room,bark_bins_zero_or_near_zero_variance,warning,true,
The DoneFors - Pouring Room,duplicate_or_near_duplicate_feature_vectors,warning,false,McG-pro1 (internal ID: mix_132e75f34470)~McG-pro (internal ID: mix_9f79c0810c7e)
The DoneFors - Pouring Room,suspicious_all_zero_or_constant_bark_outputs,warning,true,
The DoneFors - Pouring Room,possible_excerpt_conversion_error,error,true,source interval durations checked
The DoneFors - Pouring Room,possible_decoder_inconsistency,warning,true,soundfile
ALL,row_count,error,true,ok=92; total=92
