test_case,feature,reference_shape,vendored_shape,reference_dtype,vendored_dtype,max_absolute_error,mean_absolute_error,maximum_relative_error,tolerance_absolute,tolerance_relative,finite,passed,notes
identical_stereo_sine,RMS,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
identical_stereo_sine,CF,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
identical_stereo_sine,SW,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
identical_stereo_sine,SI,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
identical_stereo_sine,BS,"(1, 24, 2)","(1, 24, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
different_amplitude_stereo_sine,RMS,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
different_amplitude_stereo_sine,CF,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
different_amplitude_stereo_sine,SW,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
different_amplitude_stereo_sine,SI,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
different_amplitude_stereo_sine,BS,"(1, 24, 2)","(1, 24, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
left_only_signal,RMS,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
left_only_signal,CF,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
left_only_signal,SW,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
left_only_signal,SI,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
left_only_signal,BS,"(1, 24, 2)","(1, 24, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
correlated_stereo_deterministic_noise,RMS,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
correlated_stereo_deterministic_noise,CF,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
correlated_stereo_deterministic_noise,SW,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
correlated_stereo_deterministic_noise,SI,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
correlated_stereo_deterministic_noise,BS,"(1, 24, 2)","(1, 24, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
partially_decorrelated_stereo_noise,RMS,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
partially_decorrelated_stereo_noise,CF,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
partially_decorrelated_stereo_noise,SW,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
partially_decorrelated_stereo_noise,SI,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
partially_decorrelated_stereo_noise,BS,"(1, 24, 2)","(1, 24, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
impulse_plus_low_level_noise,RMS,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
impulse_plus_low_level_noise,CF,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
impulse_plus_low_level_noise,SW,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
impulse_plus_low_level_noise,SI,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
impulse_plus_low_level_noise,BS,"(1, 24, 2)","(1, 24, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
identical_stereo_sine,RMS,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
identical_stereo_sine,CF,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
identical_stereo_sine,SW,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
identical_stereo_sine,SI,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
identical_stereo_sine,BS,"(1, 24, 2)","(1, 24, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
different_amplitude_stereo_sine,RMS,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
different_amplitude_stereo_sine,CF,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
different_amplitude_stereo_sine,SW,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
different_amplitude_stereo_sine,SI,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
different_amplitude_stereo_sine,BS,"(1, 24, 2)","(1, 24, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
left_only_signal,RMS,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
left_only_signal,CF,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
left_only_signal,SW,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
left_only_signal,SI,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
left_only_signal,BS,"(1, 24, 2)","(1, 24, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
correlated_stereo_deterministic_noise,RMS,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
correlated_stereo_deterministic_noise,CF,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
correlated_stereo_deterministic_noise,SW,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
correlated_stereo_deterministic_noise,SI,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
correlated_stereo_deterministic_noise,BS,"(1, 24, 2)","(1, 24, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
partially_decorrelated_stereo_noise,RMS,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
partially_decorrelated_stereo_noise,CF,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
partially_decorrelated_stereo_noise,SW,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
partially_decorrelated_stereo_noise,SI,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
partially_decorrelated_stereo_noise,BS,"(1, 24, 2)","(1, 24, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
impulse_plus_low_level_noise,RMS,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
impulse_plus_low_level_noise,CF,"(1, 2)","(1, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
impulse_plus_low_level_noise,SW,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
impulse_plus_low_level_noise,SI,"(1,)","(1,)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
impulse_plus_low_level_noise,BS,"(1, 24, 2)","(1, 24, 2)",torch.float64,torch.float64,0,0,0,1e-08,1e-08,true,true,
real_stage2_decoded_excerpt:InTheMeantime_approved_preview_01.wav,RMS,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
real_stage2_decoded_excerpt:InTheMeantime_approved_preview_01.wav,CF,"(1, 2)","(1, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
real_stage2_decoded_excerpt:InTheMeantime_approved_preview_01.wav,SW,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
real_stage2_decoded_excerpt:InTheMeantime_approved_preview_01.wav,SI,"(1,)","(1,)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
real_stage2_decoded_excerpt:InTheMeantime_approved_preview_01.wav,BS,"(1, 24, 2)","(1, 24, 2)",torch.float32,torch.float32,0,0,0,1e-05,1e-05,true,true,
