artist,song,method,original_mix_names,mix_ids,contains_medoid,minimum_pairwise_distance,mean_pairwise_distance,maximum_pairwise_distance,unique_institution_count
Broken Crank,Red To Blue,A_representative_plus_maximum_contrasts,McG-B|McG-F|McG-A,mix_7ac13e0b6376|mix_dcc6aef84d67|mix_e2654ec905ad,true,1.90107445204,2.02376227096,2.19763346655,1
Broken Crank,Red To Blue,B_unconstrained_maximum_dispersion,McG-D|McG-G|McG-F,mix_8978729ff911|mix_b4b312ffa4d6|mix_dcc6aef84d67,false,2.42683208672,2.52974050577,2.62709013065,1
Broken Crank,Red To Blue,C_exact_k_medoids_k3,McG-pro1|McG-F|McG-A,mix_808780e357c9|mix_dcc6aef84d67|mix_e2654ec905ad,true,1.50858652104,2.16366796823,3.00983848936,1
Broken Crank,Red To Blue,D_institution_aware_representative_plus_contrasts,McG-B|McG-F|McG-A,mix_7ac13e0b6376|mix_dcc6aef84d67|mix_e2654ec905ad,true,1.90107445204,2.02376227096,2.19763346655,1
Broken Crank,Red To Blue,sensitivity_primary_combined,McG-B|McG-F|McG-A,mix_7ac13e0b6376|mix_dcc6aef84d67|mix_e2654ec905ad,true,1.90107445204,2.02376227096,2.19763346655,1
Broken Crank,Red To Blue,sensitivity_rms_excluded,McG-B|McG-F|McG-A,mix_7ac13e0b6376|mix_dcc6aef84d67|mix_e2654ec905ad,true,1.90107445204,2.02376227096,2.19763346655,1
Broken Crank,Red To Blue,sensitivity_scalar_only,McG-B|McG-F|McG-E,mix_7ac13e0b6376|mix_dcc6aef84d67|mix_f4f9bdec5b71,false,2.19763346655,2.38517952618,2.50260678251,1
Broken Crank,Red To Blue,sensitivity_bark_only,McG-D|McG-G|McG-A,mix_8978729ff911|mix_b4b312ffa4d6|mix_e2654ec905ad,true,1.40760770597,1.87732470711,2.53529929995,1
Broken Crank,Red To Blue,sensitivity_manhattan,McG-B|McG-F|McG-A,mix_7ac13e0b6376|mix_dcc6aef84d67|mix_e2654ec905ad,true,1.90107445204,2.02376227096,2.19763346655,1
Broken Crank,Red To Blue,sensitivity_equal_dimension_weighting,McG-D|McG-G|McG-A,mix_8978729ff911|mix_b4b312ffa4d6|mix_e2654ec905ad,true,1.40760770597,1.87732470711,2.53529929995,1
Broken Crank,Red To Blue,sensitivity_paper_weight_inspired_secondary,McG-pro1|McG-G|McG-A,mix_808780e357c9|mix_b4b312ffa4d6|mix_e2654ec905ad,true,1.50858652104,1.76735080402,2.10439877562,1
Fredy V,In The Meantime,A_representative_plus_maximum_contrasts,DU-J|QUT-B|UCP-A4,mix_22efc79c8253|mix_c7bdcba64775|mix_efdedc0a36e7,true,4.01760870438,5.39329692158,6.89955901876,3
Fredy V,In The Meantime,B_unconstrained_maximum_dispersion,DU-J|QUT-B|QUT-pro,mix_22efc79c8253|mix_c7bdcba64775|mix_cdaef40f2b94,false,5.08851443149,5.79042118617,6.89955901876,2
Fredy V,In The Meantime,C_exact_k_medoids_k3,DU-J|QUT-B|UCP-A4,mix_22efc79c8253|mix_c7bdcba64775|mix_efdedc0a36e7,true,4.01760870438,5.39329692158,6.89955901876,3
Fredy V,In The Meantime,D_institution_aware_representative_plus_contrasts,DU-J|QUT-B|UCP-A4,mix_22efc79c8253|mix_c7bdcba64775|mix_efdedc0a36e7,true,4.01760870438,5.39329692158,6.89955901876,3
