artist,song,original_mix_name,original_dataset_filename,mix_id,institution_code,pool_rank,pool_selection_order,pool_selection_method,distance_to_existing_pool_at_selection,distance_from_medoid,nearest_neighbour_distance,acoustic_outlier_score,stereo_imbalance,stereo_imbalance_qc_flag,rating_status,technical_qc_status,manual_review_required,selection_notes
Broken Crank,Red To Blue,McG-C,McG-C.mp3,mix_5143d2ee3859,McG,1,1,all_valid_retained,1.08209318063,1.08209318063,1.08209318063,2.38270562526,0.00644245976582,false,previously_evaluated,ok,false,all retained valid mixes included
Broken Crank,Red To Blue,McG-H,McG-H.mp3,mix_5b76bf1a027d,McG,2,2,all_valid_retained,1.5315347612,1.5315347612,1.5315347612,4.18837821587,-0.0336204059422,false,previously_evaluated,ok,false,all retained valid mixes included
Broken Crank,Red To Blue,McG-B,McG-B.mp3,mix_7ac13e0b6376,McG,3,3,all_valid_retained,1.94833049391,1.94833049391,1.43124064575,4.16737798256,0.126785472035,true,previously_evaluated,review_required,true,all retained valid mixes included
Broken Crank,Red To Blue,McG-pro1,McG-pro1.mp3,mix_808780e357c9,McG,4,4,all_valid_retained,1.62859994591,1.62859994591,1.68830575362e-16,3.82323845602,-0.00970399286598,false,previously_evaluated,ok,false,all retained valid mixes included
Broken Crank,Red To Blue,McG-D,McG-D.mp3,mix_8978729ff911,McG,5,5,all_valid_retained,1.4245096116,1.4245096116,1.40195654786,2.71189024139,-0.0101647302508,false,previously_evaluated,ok,false,all retained valid mixes included
Broken Crank,Red To Blue,McG-pro,McG-pro.mp3,mix_906e7f7daf44,McG,6,6,all_valid_retained,1.62859994591,1.62859994591,1.68830575362e-16,3.82323845602,-0.00970399286598,false,not_yet_evaluated,ok,false,all retained valid mixes included
Broken Crank,Red To Blue,McG-G,McG-G.mp3,mix_b4b312ffa4d6,McG,7,7,all_valid_retained,1.70079267594,1.70079267594,1.70079267594,3.87038516492,0.00244334270246,false,previously_evaluated,ok,false,all retained valid mixes included
Broken Crank,Red To Blue,McG-F,McG-F.mp3,mix_dcc6aef84d67,McG,8,8,all_valid_retained,2.31775532025,2.31775532025,1.58101498685,4.86483493262,0.0995422303677,false,previously_evaluated,ok,false,all retained valid mixes included
Broken Crank,Red To Blue,McG-A,McG-A.mp3,mix_e2654ec905ad,McG,9,9,all_valid_retained,0,0,0.800517955377,0.970845043914,0.0265296716243,false,previously_evaluated,ok,false,all retained valid mixes included
Broken Crank,Red To Blue,McG-E,McG-E.mp3,mix_f4f9bdec5b71,McG,10,10,all_valid_retained,0.800517955377,0.800517955377,0.800517955377,1.34096613345,-0.049148414284,false,previously_evaluated,ok,false,all retained valid mixes included
Fredy V,In The Meantime,UCP-A4,UCP-A4.mp3,mix_efdedc0a36e7,UCP,1,1,farthest_point_acoustic,0,0,0.605568538151,1.3527777857,-0.0182541050017,false,previously_evaluated,ok,false,acoustic medoid seed
Fredy V,In The Meantime,QUT-B,QUT-B.mp3,mix_c7bdcba64775,QUT,2,2,farthest_point_acoustic,4.11523731091,4.11523731091,3.25287319265,10.2677748348,0.000562923552934,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,DU-K,DU-K.mp3,mix_56e65a3ce054,DU,3,3,farthest_point_acoustic,2.43500433904,2.43500433904,1.64560059173,5.75674045541,0.0170408543199,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,DU-H,DU-H.mp3,mix_302f0efe8a80,DU,4,4,farthest_point_acoustic,2.25107568995,2.25107568995,1.25556149847,5.80815072669,0.0354086197913,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,DU-I,DU-I.mp3,mix_9baa86357fd4,DU,5,5,farthest_point_acoustic,2.10556575572,2.37971263777,1.32326801637,5.04613491118,-0.0380811542273,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,QUT-pro,QUT-pro.mp3,mix_cdaef40f2b94,QUT,6,6,farthest_point_acoustic,1.89430827515,1.89430827515,0.918554639901,5.27396664291,-0.0385963246226,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,QUT-C,QUT-C.mp3,mix_82d5489162f9,QUT,7,7,farthest_point_acoustic,1.73310219979,1.73310219979,0.844051177146,3.76003077844,-0.0344755351543,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,McG-D,McG-D.mp3,mix_da9f94cae537,McG,8,8,farthest_point_acoustic,1.62029854189,1.62029854189,0.571330492188,3.50498107092,-0.034795936197,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,DU-J,DU-J.mp3,mix_22efc79c8253,DU,9,9,farthest_point_acoustic,1.53438692721,1.8050898563,1.26867416577,5.00500810811,0.595546245575,true,previously_evaluated,review_required,true,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,McG-H,McG-H.mp3,mix_96c30e75e4a7,McG,10,10,farthest_point_acoustic,1.39524310448,1.39524310448,0.674804687867,2.60762181675,-0.0227246899158,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,DU-N,DU-N.mp3,mix_29131e66c9d7,DU,11,11,farthest_point_acoustic,1.31607879386,1.31607879386,1.11064181734,3.47274727507,-0.0127661842853,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,QUT-A,QUT-A.mp3,mix_13f0eed08780,QUT,12,12,farthest_point_acoustic,1.28517446095,1.28517446095,1.28517446095,4.15049860613,-0.122862748802,true,previously_evaluated,review_required,true,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,PXL-S5,PXL-S5.mp3,mix_54ac02ce9456,PXL,13,13,farthest_point_acoustic,1.28223950514,1.28223950514,1.02834432432,3.27855943352,0.00274803163484,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,McG-A,McG-A.mp3,mix_8ffed8205048,McG,14,14,farthest_point_acoustic,1.17182043133,1.17182043133,0.631230734631,2.94317219256,-0.0267740990967,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,QUT-J,QUT-J.mp3,mix_8187ac605f62,QUT,15,15,farthest_point_acoustic,1.12915951634,1.12915951634,0.648959995608,2.75959299046,-0.0303686391562,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,DU-L,DU-L.mp3,mix_561c0e17caee,DU,16,16,farthest_point_acoustic,1.10013768204,1.23875306919,0.989727262331,3.28700697168,-0.0432844460011,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,QUT-G,QUT-G.mp3,mix_a31f439e1e87,QUT,17,17,farthest_point_acoustic,1.08497068511,1.08497068511,0.820740192126,3.28037627171,0.0138504179195,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,PXL-S7,PXL-S7.mp3,mix_526612c31256,PXL,18,18,farthest_point_acoustic,1.01573900121,1.6519078179,0.751589636806,3.39127582073,-0.0198803134263,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,DU-M,DU-M.mp3,mix_6cfa655049d5,DU,19,19,farthest_point_acoustic,0.928961458835,1.21283635341,0.710779175741,2.69827521431,-0.00378766772337,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
Fredy V,In The Meantime,McG-F,McG-F.mp3,mix_ce153583405d,McG,20,20,farthest_point_acoustic,0.918554639901,1.20886031879,0.918554639901,3.63033144557,0.00027927046176,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,CNS-C,CNS-C.mp3,mix_824f6c7e53d0,CNS,1,1,farthest_point_acoustic,0,0,0.493244553384,0.869029916781,0.148149594665,false,previously_evaluated,ok,false,acoustic medoid seed
The DoneFors,Lead Me,DU-D,DU-D.mp3,mix_f1f7973e5bac,DU,2,2,farthest_point_acoustic,3.02084733205,3.02084733205,2.33220975061,7.02031359246,-0.0521329641342,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,PXL-L1,PXL-L1.mp3,mix_d5b28dfc8a93,PXL,3,3,farthest_point_acoustic,2.33458354116,2.33458354116,1.25915273732,5.53006634586,-0.0129087874666,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,QUT-A,QUT-A.mp3,mix_864280f1b98b,QUT,4,4,farthest_point_acoustic,2.2894310665,2.2894310665,1.70126989899,5.20041251968,-0.0423912964761,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,DU-E,DU-E.mp3,mix_271852ba8676,DU,5,5,farthest_point_acoustic,2.2866017549,2.2866017549,1.71936809347,6.20235868462,0.0436125770211,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
The DoneFors,Lead Me,PXL-L4,PXL-L4.mp3,mix_c7d9a071ba25,PXL,6,6,farthest_point_acoustic,2.24847004699,2.24847004699,1.23314937975,5.35274519202,0.109930999577,false,previously_evaluated,ok,false,selected by maximum minimum acoustic distance
