artist,song,original_mix_name,original_dataset_filename,mix_id,source_path,preview_path,approved_aligned_start_seconds,approved_aligned_end_seconds,actual_source_start_seconds,actual_source_end_seconds,acoustic_pool_rank,stereo_imbalance_qc_flag,rating_status,preview_loudness_policy,sha256_hash
Broken Crank,Red To Blue,McG-C,McG-C.mp3,mix_5143d2ee3859,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-C.mp3,Red To Blue\McG-C_28sec.wav,3.005442,31.005442,3.005442,31.005442,1,false,previously_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",853fa7ff05ce7ab411be9012f452e5267f434f67890bdf8319ef839d6a83c569
Broken Crank,Red To Blue,McG-H,McG-H.mp3,mix_5b76bf1a027d,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-H.mp3,Red To Blue\McG-H_28sec.wav,3.005442,31.005442,3.004988,31.004988,2,false,previously_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",d7c85ff4cfcdbe6e94a9e092b18d81cd2d1b2a3bf4a669578889ec0e74b398c4
Broken Crank,Red To Blue,McG-B,McG-B.mp3,mix_7ac13e0b6376,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-B.mp3,Red To Blue\McG-B_28sec.wav,3.005442,31.005442,3.004988,31.004988,3,true,previously_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",9fb2811d9bf6eeaca7388a8d41098b06466ec8e2528843d86743e4e6f3844125
Broken Crank,Red To Blue,McG-pro1,McG-pro1.mp3,mix_808780e357c9,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-pro1.mp3,Red To Blue\McG-pro1_28sec.wav,3.005442,31.005442,3.004988,31.004988,4,false,previously_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",09d9638198b6645a624b5f3cc1dc9e112236e0f7dffce863bc01c2426d52b83f
Broken Crank,Red To Blue,McG-D,McG-D.mp3,mix_8978729ff911,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-D.mp3,Red To Blue\McG-D_28sec.wav,3.005442,31.005442,3.004988,31.004988,5,false,previously_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",83b9a844a0e8d3fa9b594d0e98194896cba4b6e020fd54a8a2c03c533c69f764
Broken Crank,Red To Blue,McG-pro,McG-pro.mp3,mix_906e7f7daf44,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-pro.mp3,Red To Blue\McG-pro_28sec.wav,3.005442,31.005442,3.004988,31.004988,6,false,not_yet_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",09d9638198b6645a624b5f3cc1dc9e112236e0f7dffce863bc01c2426d52b83f
Broken Crank,Red To Blue,McG-G,McG-G.mp3,mix_b4b312ffa4d6,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-G.mp3,Red To Blue\McG-G_28sec.wav,3.005442,31.005442,3,31,7,false,previously_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",7cbbe9b890e9269cf258ccac88f81689dcf2bf66a1195596168377b38bd871ec
Broken Crank,Red To Blue,McG-F,McG-F.mp3,mix_dcc6aef84d67,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-F.mp3,Red To Blue\McG-F_28sec.wav,3.005442,31.005442,3.004988,31.004988,8,false,previously_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",b208aa93c9eedc1f492980d9d3e2792338715b6b131ba7bd4c183900eb990c49
Broken Crank,Red To Blue,McG-A,McG-A.mp3,mix_e2654ec905ad,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-A.mp3,Red To Blue\McG-A_28sec.wav,3.005442,31.005442,3.004988,31.004988,9,false,previously_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",28619a0b0961680c5dcb064be6b622f4c992ccbc0b7598df488219a93b65f607
Broken Crank,Red To Blue,McG-E,McG-E.mp3,mix_f4f9bdec5b71,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\RedToBlue\McG-E.mp3,Red To Blue\McG-E_28sec.wav,3.005442,31.005442,3.004988,31.004988,10,false,previously_evaluated,"raw level with fixed 5 ms anti-click fade; no loudness normalisation, limiting or compression",d1695b80bdc399e5cbe995d77c75f1ecc77f354346bd4b3b4c13bae6f55192f6
