artist,song,method,candidate_count,original_mix_names,mix_ids,minimum_pairwise_distance,mean_pairwise_distance,pool_stability_against_primary
Broken Crank,Red To Blue,farthest_point_acoustic,10,McG-C|McG-H|McG-B|McG-pro1|McG-D|McG-pro|McG-G|McG-F|McG-A|McG-E,mix_5143d2ee3859|mix_5b76bf1a027d|mix_7ac13e0b6376|mix_808780e357c9|mix_8978729ff911|mix_906e7f7daf44|mix_b4b312ffa4d6|mix_dcc6aef84d67|mix_e2654ec905ad|mix_f4f9bdec5b71,1.68830575362e-16,2.00650967753,1
Broken Crank,Red To Blue,clustering_k_medoids,10,McG-C|McG-H|McG-B|McG-pro1|McG-D|McG-pro|McG-G|McG-F|McG-A|McG-E,mix_5143d2ee3859|mix_5b76bf1a027d|mix_7ac13e0b6376|mix_808780e357c9|mix_8978729ff911|mix_906e7f7daf44|mix_b4b312ffa4d6|mix_dcc6aef84d67|mix_e2654ec905ad|mix_f4f9bdec5b71,1.68830575362e-16,2.00650967753,1
Broken Crank,Red To Blue,rms_excluded_pool,10,McG-A|McG-F|McG-B|McG-G|McG-H|McG-D|McG-pro1|McG-C|McG-E|McG-pro,mix_e2654ec905ad|mix_dcc6aef84d67|mix_7ac13e0b6376|mix_b4b312ffa4d6|mix_5b76bf1a027d|mix_8978729ff911|mix_808780e357c9|mix_5143d2ee3859|mix_f4f9bdec5b71|mix_906e7f7daf44,1.68830575362e-16,2.00650967753,1
Broken Crank,Red To Blue,manhattan_distance_pool,10,McG-A|McG-F|McG-B|McG-G|McG-pro1|McG-D|McG-H|McG-C|McG-E|McG-pro,mix_e2654ec905ad|mix_dcc6aef84d67|mix_7ac13e0b6376|mix_b4b312ffa4d6|mix_808780e357c9|mix_8978729ff911|mix_5b76bf1a027d|mix_5143d2ee3859|mix_f4f9bdec5b71|mix_906e7f7daf44,1.68830575362e-16,2.00650967753,1
Fredy V,In The Meantime,farthest_point_acoustic,20,UCP-A4|QUT-B|DU-K|DU-H|DU-I|QUT-pro|QUT-C|McG-D|DU-J|McG-H|DU-N|QUT-A|PXL-S5|McG-A|QUT-J|DU-L|QUT-G|PXL-S7|DU-M|McG-F,mix_efdedc0a36e7|mix_c7bdcba64775|mix_56e65a3ce054|mix_302f0efe8a80|mix_9baa86357fd4|mix_cdaef40f2b94|mix_82d5489162f9|mix_da9f94cae537|mix_22efc79c8253|mix_96c30e75e4a7|mix_29131e66c9d7|mix_13f0eed08780|mix_54ac02ce9456|mix_8ffed8205048|mix_8187ac605f62|mix_561c0e17caee|mix_a31f439e1e87|mix_526612c31256|mix_6cfa655049d5|mix_ce153583405d,0.918554639901,2.25525629169,1
Fredy V,In The Meantime,clustering_k_medoids,20,McG-pro|QUT-A|UCP-A2|DU-J|DU-N|PXL-S2|PXL-S1|DU-H|PXL-S5|DU-L|DU-K|DU-M|PXL-S3|McG-A|DU-I|QUT-G|QUT-B|McG-F|McG-D|UCP-A4,mix_027ec3f8b8f1|mix_13f0eed08780|mix_20a1372ac49d|mix_22efc79c8253|mix_29131e66c9d7|mix_2d589c003982|mix_2eae3034bad8|mix_302f0efe8a80|mix_54ac02ce9456|mix_561c0e17caee|mix_56e65a3ce054|mix_6cfa655049d5|mix_8137541fd01f|mix_8ffed8205048|mix_9baa86357fd4|mix_a31f439e1e87|mix_c7bdcba64775|mix_ce153583405d|mix_da9f94cae537|mix_efdedc0a36e7,0.860123851182,2.1282471902,0.75
Fredy V,In The Meantime,rms_excluded_pool,20,UCP-A4|QUT-B|DU-K|QUT-pro|DU-I|QUT-C|DU-H|DU-J|McG-H|QUT-A|McG-D|DU-N|PXL-S5|DU-L|PXL-S7|DU-M|QUT-G|McG-F|PXL-S2|McG-G,mix_efdedc0a36e7|mix_c7bdcba64775|mix_56e65a3ce054|mix_cdaef40f2b94|mix_9baa86357fd4|mix_82d5489162f9|mix_302f0efe8a80|mix_22efc79c8253|mix_96c30e75e4a7|mix_13f0eed08780|mix_da9f94cae537|mix_29131e66c9d7|mix_54ac02ce9456|mix_561c0e17caee|mix_526612c31256|mix_6cfa655049d5|mix_a31f439e1e87|mix_ce153583405d|mix_2d589c003982|mix_c45aea9558f2,0.901791632122,2.25761711978,0.9
Fredy V,In The Meantime,manhattan_distance_pool,20,UCP-A4|QUT-B|DU-K|DU-H|DU-I|QUT-C|DU-J|DU-N|McG-D|McG-H|QUT-pro|DU-L|PXL-S5|QUT-J|DU-M|QUT-A|PXL-S1|QUT-G|McG-C|McG-F,mix_efdedc0a36e7|mix_c7bdcba64775|mix_56e65a3ce054|mix_302f0efe8a80|mix_9baa86357fd4|mix_82d5489162f9|mix_22efc79c8253|mix_29131e66c9d7|mix_da9f94cae537|mix_96c30e75e4a7|mix_cdaef40f2b94|mix_561c0e17caee|mix_54ac02ce9456|mix_8187ac605f62|mix_6cfa655049d5|mix_13f0eed08780|mix_2eae3034bad8|mix_a31f439e1e87|mix_145577f61939|mix_ce153583405d,0.918554639901,2.23517927081,0.9
The DoneFors,Lead Me,farthest_point_acoustic,20,CNS-C|DU-D|PXL-L1|QUT-A|DU-E|PXL-L4|QUT-pro|PXL-L3|DU-A|QUT-F|DU-F|DU-B|CNS-B|UCP-A2|DU-C|PXL-L2|McG-pro2|McG-H|McG-B|QUT-H,mix_824f6c7e53d0|mix_f1f7973e5bac|mix_d5b28dfc8a93|mix_864280f1b98b|mix_271852ba8676|mix_c7d9a071ba25|mix_d2cf329ea054|mix_3bc79ea82599|mix_8f1477339518|mix_4e2cf7c970a8|mix_3a41a8db47bc|mix_7cdfb2503e88|mix_7734100f29f3|mix_a5df7e0b4222|mix_a321c1267965|mix_92e2bdebe300|mix_d3e3580b6e30|mix_427e3b105a59|mix_5aa762fa5def|mix_542ca972e5f6,1.23314937975,2.31002777249,1
The DoneFors,Lead Me,clustering_k_medoids,20,DU-E|McG-E|DU-F|PXL-L3|McG-H|QUT-F|McG-B|DU-B|CNS-C|QUT-A|DU-A|PXL-L2|DU-C|UCP-A2|PXL-L4|QUT-pro|McG-pro2|PXL-L1|McG-G|DU-D,mix_271852ba8676|mix_28932c4bb152|mix_3a41a8db47bc|mix_3bc79ea82599|mix_427e3b105a59|mix_4e2cf7c970a8|mix_5aa762fa5def|mix_7cdfb2503e88|mix_824f6c7e53d0|mix_864280f1b98b|mix_8f1477339518|mix_92e2bdebe300|mix_a321c1267965|mix_a5df7e0b4222|mix_c7d9a071ba25|mix_d2cf329ea054|mix_d3e3580b6e30|mix_d5b28dfc8a93|mix_e0abc393175b|mix_f1f7973e5bac,0.880185923245,2.25343913733,0.9
The DoneFors,Lead Me,rms_excluded_pool,20,CNS-C|DU-D|QUT-A|PXL-L4|PXL-L1|QUT-pro|PXL-L3|DU-A|DU-E|DU-F|QUT-F|DU-B|UCP-A2|McG-H|DU-C|UCP-A4|PXL-L2|McG-G|UCP-A3|QUT-H,mix_824f6c7e53d0|mix_f1f7973e5bac|mix_864280f1b98b|mix_c7d9a071ba25|mix_d5b28dfc8a93|mix_d2cf329ea054|mix_3bc79ea82599|mix_8f1477339518|mix_271852ba8676|mix_3a41a8db47bc|mix_4e2cf7c970a8|mix_7cdfb2503e88|mix_a5df7e0b4222|mix_427e3b105a59|mix_a321c1267965|mix_5d42d0f1628e|mix_92e2bdebe300|mix_e0abc393175b|mix_06852a8a8947|mix_542ca972e5f6,1.04475898371,2.22540107701,0.85
The DoneFors,Lead Me,manhattan_distance_pool,20,CNS-C|DU-D|PXL-L4|PXL-L1|QUT-A|DU-E|QUT-F|PXL-L3|QUT-pro|UCP-A2|DU-A|DU-B|McG-pro2|DU-F|DU-C|QUT-H|QUT-E|McG-B|PXL-L2|UCP-A5,mix_824f6c7e53d0|mix_f1f7973e5bac|mix_c7d9a071ba25|mix_d5b28dfc8a93|mix_864280f1b98b|mix_271852ba8676|mix_4e2cf7c970a8|mix_3bc79ea82599|mix_d2cf329ea054|mix_a5df7e0b4222|mix_8f1477339518|mix_7cdfb2503e88|mix_d3e3580b6e30|mix_3a41a8db47bc|mix_a321c1267965|mix_542ca972e5f6|mix_345e90b3c215|mix_5aa762fa5def|mix_92e2bdebe300|mix_0255886c8875,1.05040681398,2.31267538613,0.9
