song,condition,original_mix_name,source_path,review_path,source_sha256,review_sha256,hash_match
In The Meantime,Similar Ratings,QUT-B,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\In The Meantime\Similar Ratings\QUT-B_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\In The Meantime\Similar Ratings\QUT-B_28sec.wav,c993068a51dba3645ceed7d1f236d396e91a8895eb01f49f808320dcdeb3b9ba,c993068a51dba3645ceed7d1f236d396e91a8895eb01f49f808320dcdeb3b9ba,true
In The Meantime,Similar Ratings,DU-H,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\In The Meantime\Similar Ratings\DU-H_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\In The Meantime\Similar Ratings\DU-H_28sec.wav,d6fe760c71725a679fcd890ac3963f73f827a9f341f8aa24d74891ef422b5308,d6fe760c71725a679fcd890ac3963f73f827a9f341f8aa24d74891ef422b5308,true
In The Meantime,Similar Ratings,DU-I,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\In The Meantime\Similar Ratings\DU-I_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\In The Meantime\Similar Ratings\DU-I_28sec.wav,21bc424225f52d40c944e514c8b3d0eddbaa9f9e898caacc420d7fa7d7da0f96,21bc424225f52d40c944e514c8b3d0eddbaa9f9e898caacc420d7fa7d7da0f96,true
In The Meantime,Wide Ratings,DU-K,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\In The Meantime\Wide Ratings\DU-K_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\In The Meantime\Wide Ratings\DU-K_28sec.wav,faacc5ae6167c679fb5d66b3ad20d90de31409d6fe8d72ffd51c3af3b6c2f92e,faacc5ae6167c679fb5d66b3ad20d90de31409d6fe8d72ffd51c3af3b6c2f92e,true
In The Meantime,Wide Ratings,QUT-pro,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\In The Meantime\Wide Ratings\QUT-pro_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\In The Meantime\Wide Ratings\QUT-pro_28sec.wav,a829c97141d59f5b62475d7a7500c08a0990f619fd932ad892f9cb3994d17336,a829c97141d59f5b62475d7a7500c08a0990f619fd932ad892f9cb3994d17336,true
In The Meantime,Wide Ratings,DU-N,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\In The Meantime\Wide Ratings\DU-N_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\In The Meantime\Wide Ratings\DU-N_28sec.wav,a806093fd76d44f813526c64444107ce538718474355e5780c08182efd62330e,a806093fd76d44f813526c64444107ce538718474355e5780c08182efd62330e,true
Lead Me,Similar Ratings,DU-D,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\Lead Me\Similar Ratings\DU-D_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\Lead Me\Similar Ratings\DU-D_28sec.wav,387ed068bd36791978f5f32289312a862e3bb85fbfbd14f1375dc834e5b6e81c,387ed068bd36791978f5f32289312a862e3bb85fbfbd14f1375dc834e5b6e81c,true
Lead Me,Similar Ratings,DU-E,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\Lead Me\Similar Ratings\DU-E_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\Lead Me\Similar Ratings\DU-E_28sec.wav,b9c2e1a80215d00f705d996c6a2ffb9335321c0af9596dbb47bf009b3f5fccf1,b9c2e1a80215d00f705d996c6a2ffb9335321c0af9596dbb47bf009b3f5fccf1,true
Lead Me,Similar Ratings,QUT-F,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\Lead Me\Similar Ratings\QUT-F_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\Lead Me\Similar Ratings\QUT-F_28sec.wav,ef8086797ae7a43c23151ce4345ddf45ba8c5780aac61f8eb7965e9f6b03af9c,ef8086797ae7a43c23151ce4345ddf45ba8c5780aac61f8eb7965e9f6b03af9c,true
Lead Me,Wide Ratings,PXL-L1,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\06_rating_stratification\candidate_review_audio\Lead Me\Wide Ratings\PXL-L1_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\05_alignment_verification\review_audio\Lead Me\Wide Ratings\PXL-L1_28sec.wav,714422df665a7ee3e80771c9c69572fba5b6f5bcb4db3bac894a7700e20f9ed0,714422df665a7ee3e80771c9c69572fba5b6f5bcb4db3bac894a7700e20f9ed0,true
