artist,song,analytical_role,institution,original_dataset_filename,original_mix_name,mix_id,preview_filename,flagged_for_review,alignment_valid,no_audio_corruption,no_missing_content,no_pathological_stereo_issue,not_near_duplicate_by_listening,technically_acceptable,reviewer,review_notes
Broken Crank,Red To Blue,representative,McGill University,McG-A.mp3,McG-A,mix_e2654ec905ad,Red To Blue/representative/McG-A_28sec.wav,false,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
Broken Crank,Red To Blue,contrast_1,McGill University,McG-B.mp3,McG-B,mix_7ac13e0b6376,Red To Blue/contrast_1/McG-B_28sec.wav,true,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
Broken Crank,Red To Blue,contrast_2,McGill University,McG-F.mp3,McG-F,mix_dcc6aef84d67,Red To Blue/contrast_2/McG-F_28sec.wav,false,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
Fredy V,In The Meantime,representative,Universidade Católica Portuguesa,UCP-A4.mp3,UCP-A4,mix_efdedc0a36e7,In The Meantime/representative/UCP-A4_28sec.wav,false,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
Fredy V,In The Meantime,contrast_1,Dalarna University,DU-J.mp3,DU-J,mix_22efc79c8253,In The Meantime/contrast_1/DU-J_28sec.wav,true,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
Fredy V,In The Meantime,contrast_2,Queensland University of Technology,QUT-B.mp3,QUT-B,mix_c7bdcba64775,In The Meantime/contrast_2/QUT-B_28sec.wav,true,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
The DoneFors,Lead Me,representative,McGill University,McG-A.mp3,McG-A,mix_9346b5d4ade2,Lead Me/representative/McG-A_28sec.wav,false,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
The DoneFors,Lead Me,contrast_1,PXL University College,PXL-L1.mp3,PXL-L1,mix_d5b28dfc8a93,Lead Me/contrast_1/PXL-L1_28sec.wav,true,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
The DoneFors,Lead Me,contrast_2,Dalarna University,DU-D.mp3,DU-D,mix_f1f7973e5bac,Lead Me/contrast_2/DU-D_28sec.wav,true,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
The DoneFors,Pouring Room,representative,McGill University,McG-Q.mp3,McG-Q,mix_0ddb25d6180b,Pouring Room/representative/McG-Q_28sec.wav,false,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
The DoneFors,Pouring Room,contrast_1,McGill University,McG-pro1.mp3,McG-pro1,mix_132e75f34470,Pouring Room/contrast_1/McG-pro1_28sec.wav,false,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
The DoneFors,Pouring Room,contrast_2,McGill University,McG-X.mp3,McG-X,mix_cbf8555ee2b2,Pouring Room/contrast_2/McG-X_28sec.wav,false,true,true,true,true,true,true,Oscar,Listened to the selected review previews; no technical issue requiring replacement was identified.
