artist,song,original_mix_name,original_dataset_filename,mix_id,selected_in_acoustic_pool_v2,acoustic_pool_rank,rating_count,warning_reasons,action
Broken Crank,Red To Blue,McG-pro,McG-pro.mp3,mix_906e7f7daf44,true,6,0,unrated;rating_count_below_5;confidence_interval_unavailable,retain_and_report
Fredy V,In The Meantime,DU-I,DU-I.mp3,mix_9baa86357fd4,true,5,38,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,DU-J,DU-J.mp3,mix_22efc79c8253,true,9,38,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,DU-K,DU-K.mp3,mix_56e65a3ce054,true,3,38,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,DU-L,DU-L.mp3,mix_561c0e17caee,true,16,38,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,DU-M,DU-M.mp3,mix_6cfa655049d5,true,19,38,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,DU-N,DU-N.mp3,mix_29131e66c9d7,true,11,38,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,McG-pro,McG-pro.mp3,mix_027ec3f8b8f1,false,,0,unrated;rating_count_below_5;confidence_interval_unavailable,retain_and_report
Fredy V,In The Meantime,PXL-S1,PXL-S1.mp3,mix_2eae3034bad8,false,,8,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,PXL-S2,PXL-S2.mp3,mix_2d589c003982,false,,8,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,PXL-S3,PXL-S3.mp3,mix_8137541fd01f,false,,8,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,PXL-S4,PXL-S4.mp3,mix_67624d91340a,false,,8,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,PXL-S5,PXL-S5.mp3,mix_54ac02ce9456,true,13,8,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,PXL-S7,PXL-S7.mp3,mix_526612c31256,true,18,8,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,QUT-A,QUT-A.mp3,mix_13f0eed08780,true,12,16,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,QUT-B,QUT-B.mp3,mix_c7bdcba64775,true,2,16,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,QUT-C,QUT-C.mp3,mix_82d5489162f9,true,7,16,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,QUT-G,QUT-G.mp3,mix_a31f439e1e87,true,17,16,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,QUT-I,QUT-I.mp3,mix_2f518e7b8633,false,,16,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,QUT-J,QUT-J.mp3,mix_8187ac605f62,true,15,16,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,QUT-pro,QUT-pro.mp3,mix_cdaef40f2b94,true,6,16,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,UCP-A1,UCP-A1.mp3,mix_3042da8a2eb5,false,,10,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,UCP-A3,UCP-A3.mp3,mix_d58db5dccea3,false,,10,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,UCP-A4,UCP-A4.mp3,mix_efdedc0a36e7,true,1,10,narrow_evaluator_coverage,retain_and_report
Fredy V,In The Meantime,UCP-A5,UCP-A5.mp3,mix_e858d5cf22ea,false,,10,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,CNS-5,CNS-5.mp3,mix_b5102e72a550,false,,14,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,CNS-A,CNS-A.mp3,mix_8617440e42f5,false,,14,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,CNS-B,CNS-B.mp3,mix_7734100f29f3,true,13,14,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,CNS-C,CNS-C.mp3,mix_824f6c7e53d0,true,1,14,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,CNS-D,CNS-D.mp3,mix_e81c71fd1462,false,,14,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,DU-A,DU-A.mp3,mix_8f1477339518,true,9,39,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,DU-B,DU-B.mp3,mix_7cdfb2503e88,true,12,39,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,DU-C,DU-C.mp3,mix_a321c1267965,true,15,39,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,DU-D,DU-D.mp3,mix_f1f7973e5bac,true,2,39,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,DU-E,DU-E.mp3,mix_271852ba8676,true,5,39,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,DU-F,DU-F.mp3,mix_3a41a8db47bc,true,11,39,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,McG-pro,McG-pro.mp3,mix_fa064711a381,false,,0,unrated;rating_count_below_5;confidence_interval_unavailable,retain_and_report
The DoneFors,Lead Me,PXL-L2,PXL-L2.mp3,mix_92e2bdebe300,true,16,6,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,PXL-L3,PXL-L3.mp3,mix_3bc79ea82599,true,8,6,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,PXL-L4,PXL-L4.mp3,mix_c7d9a071ba25,true,6,6,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,QUT-A,QUT-A.mp3,mix_864280f1b98b,true,4,16,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,QUT-D,QUT-D.mp3,mix_5e09465de0ed,false,,16,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,QUT-F,QUT-F.mp3,mix_4e2cf7c970a8,true,10,16,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,QUT-H,QUT-H.mp3,mix_542ca972e5f6,true,20,16,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,QUT-pro,QUT-pro.mp3,mix_d2cf329ea054,true,7,16,narrow_evaluator_coverage,retain_and_report
The DoneFors,Lead Me,UCP-A2,UCP-A2.mp3,mix_a5df7e0b4222,true,14,10,narrow_evaluator_coverage,retain_and_report
