column_name,dtype,non_null_count,null_count,unique_count,minimum,maximum,example_values,interpretation,used_in_phase2a,notes
evaluation_id,object,5473,0,5473,,,evaluation_60bc3180a25d|evaluation_15175cc26261|evaluation_a2ebd8032398,See SCHEMA.md.,true,
session_id,object,5473,0,230,,,session_28a65998aab9|session_30b8ab9227bd|session_33392eb36c1a,Original XML session identifier.,true,
session_song_id,object,5473,0,654,,,session_song_21ba164fe4d8|session_song_1fa56c0efb58|session_song_9c4fa1da4663,Song occurrence within session.,true,
experiment_id,object,5473,0,10,,,exp_cns_2017|exp_du_2015|exp_mcg_2013,Listening-test experiment batch.,true,
participant_id,object,5473,0,181,,,participant_cns_cns_j|participant_cns_cns_5|participant_cns_cns_d,Anonymized participant identifier.,true,
song_id,object,5473,0,20,,,song_coldstar|song_leadme|song_inthemeantime,Canonical song identifier.,true,
mix_id,object,5473,0,205,,,mix_bc5160c8fc08|mix_bdf217deb4a1|mix_eb041f3943ff,Canonical mix join key.,true,
legacy_song_id,object,5473,0,20,,,ColdStar|LeadMe|InTheMeantime,Original song identifier.,true,
legacy_mix_code,object,5473,0,93,,,CNS-A|CNS-D|CNS-B,Original mix code.,true,
evaluator_institution_code,object,5473,0,8,,,CNS|DU|McG,Institution that conducted evaluation.,true,
mixer_institution_code,object,5473,0,8,,,CNS|DU|McG,Inferred institution/system code of mix.,true,
year,object,5237,236,5,2013,2017,2017|2015|2013,Session/evaluation year when known.,true,
mix_order_in_xml,object,5473,0,11,1,11,1|2|3,See SCHEMA.md.,false,
presented_id,object,560,4913,12,1,11,1|2|3,See SCHEMA.md.,false,
preference_score_0_1,float64,5432,41,3882,0,1,0.7031722054380665|0.7824773413897281|0.4327794561933534,Normalized preference/rating score on a 0-1 scale.,true,canonical rating column
comment_raw,object,560,4913,561,,,"Image large, dynamique bien gérée. C'est un peu mixé comme du minimal, avec peu d'espace, et timbres un peu 1khZ, et manque de voix.|Beaucoup de choses à l'arrière plan, mais esthétique intéressante.|Où sont les basses ? Sinon la musique est là. Dynamique maladroite.",See SCHEMA.md.,false,
has_comment,object,5473,0,2,,,yes|no,See SCHEMA.md.,false,
listened_flag,object,2554,2919,2,,,true,See SCHEMA.md.,false,
slider_moved_flag,object,2554,2919,3,,,true|false,See SCHEMA.md.,false,
listen_duration_seconds,object,5473,0,2530,0,1114.12,217.290667|272.585333|119.266667,See SCHEMA.md.,false,
stimulus_sample_rate_hz,object,560,4913,4,44100,96000,96000|48000|44100,See SCHEMA.md.,false,
stimulus_channels,object,2554,2919,2,2,2,2,See SCHEMA.md.,false,
stimulus_duration_seconds,object,2554,2919,27,41,102,52|81.00001041666667|81.00128936767578,See SCHEMA.md.,false,
source_xml_file,object,5473,0,230,,,xml-CNS/CNS-J.xml|xml-CNS/CNS-5.xml|xml-CNS/CNS-D.xml,See SCHEMA.md.,false,
preference_score_0_1_raw,object,5432,41,3882,0,1,0.7031722054380665|0.7824773413897281|0.43277945619335345,,false,
