artist,song,song_id,original_mix_name,original_dataset_filename,mix_id,institution_code,retained_stage3,selected_in_acoustic_pool_v2,acoustic_pool_rank,rating_available,rating_row_count,join_status,join_notes
Broken Crank,Red To Blue,song_redtoblue,McG-A,McG-A.mp3,mix_e2654ec905ad,McG,true,true,9,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Broken Crank,Red To Blue,song_redtoblue,McG-B,McG-B.mp3,mix_7ac13e0b6376,McG,true,true,3,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Broken Crank,Red To Blue,song_redtoblue,McG-C,McG-C.mp3,mix_5143d2ee3859,McG,true,true,1,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Broken Crank,Red To Blue,song_redtoblue,McG-D,McG-D.mp3,mix_8978729ff911,McG,true,true,5,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Broken Crank,Red To Blue,song_redtoblue,McG-E,McG-E.mp3,mix_f4f9bdec5b71,McG,true,true,10,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Broken Crank,Red To Blue,song_redtoblue,McG-F,McG-F.mp3,mix_dcc6aef84d67,McG,true,true,8,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Broken Crank,Red To Blue,song_redtoblue,McG-G,McG-G.mp3,mix_b4b312ffa4d6,McG,true,true,7,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Broken Crank,Red To Blue,song_redtoblue,McG-H,McG-H.mp3,mix_5b76bf1a027d,McG,true,true,2,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Broken Crank,Red To Blue,song_redtoblue,McG-pro,McG-pro.mp3,mix_906e7f7daf44,McG,true,true,6,false,0,retained_mix_unrated,Canonical mix_id join; no filename or legacy-code fallback used.
Broken Crank,Red To Blue,song_redtoblue,McG-pro1,McG-pro1.mp3,mix_808780e357c9,McG,true,true,4,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,DU-H,DU-H.mp3,mix_302f0efe8a80,DU,true,true,4,true,54,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,DU-I,DU-I.mp3,mix_9baa86357fd4,DU,true,true,5,true,38,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,DU-J,DU-J.mp3,mix_22efc79c8253,DU,true,true,9,true,38,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,DU-K,DU-K.mp3,mix_56e65a3ce054,DU,true,true,3,true,38,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,DU-L,DU-L.mp3,mix_561c0e17caee,DU,true,true,16,true,38,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,DU-M,DU-M.mp3,mix_6cfa655049d5,DU,true,true,19,true,38,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,DU-N,DU-N.mp3,mix_29131e66c9d7,DU,true,true,11,true,38,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-A,McG-A.mp3,mix_8ffed8205048,McG,true,true,14,true,39,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-B,McG-B.mp3,mix_5383540067d5,McG,true,false,,true,49,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-C,McG-C.mp3,mix_145577f61939,McG,true,false,,true,49,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-D,McG-D.mp3,mix_da9f94cae537,McG,true,true,8,true,39,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-E,McG-E.mp3,mix_7a5719f17171,McG,true,false,,true,39,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-F,McG-F.mp3,mix_ce153583405d,McG,true,true,20,true,49,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-G,McG-G.mp3,mix_c45aea9558f2,McG,true,false,,true,39,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-H,McG-H.mp3,mix_96c30e75e4a7,McG,true,true,10,true,65,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-pro,McG-pro.mp3,mix_027ec3f8b8f1,McG,true,false,,false,0,retained_mix_unrated,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,McG-pro2,McG-pro2.mp3,mix_690c5c454a9f,McG,true,false,,true,49,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,PXL-S1,PXL-S1.mp3,mix_2eae3034bad8,PXL,true,false,,true,8,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,PXL-S2,PXL-S2.mp3,mix_2d589c003982,PXL,true,false,,true,8,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,PXL-S3,PXL-S3.mp3,mix_8137541fd01f,PXL,true,false,,true,8,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,PXL-S4,PXL-S4.mp3,mix_67624d91340a,PXL,true,false,,true,8,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,PXL-S5,PXL-S5.mp3,mix_54ac02ce9456,PXL,true,true,13,true,8,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,PXL-S6,PXL-S6.mp3,mix_f44b598b8cf8,PXL,true,false,,true,24,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,PXL-S7,PXL-S7.mp3,mix_526612c31256,PXL,true,true,18,true,8,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,QUT-A,QUT-A.mp3,mix_13f0eed08780,QUT,true,true,12,true,16,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,QUT-B,QUT-B.mp3,mix_c7bdcba64775,QUT,true,true,2,true,16,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,QUT-C,QUT-C.mp3,mix_82d5489162f9,QUT,true,true,7,true,16,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,QUT-G,QUT-G.mp3,mix_a31f439e1e87,QUT,true,true,17,true,16,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,QUT-I,QUT-I.mp3,mix_2f518e7b8633,QUT,true,false,,true,16,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,QUT-J,QUT-J.mp3,mix_8187ac605f62,QUT,true,true,15,true,16,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,QUT-pro,QUT-pro.mp3,mix_cdaef40f2b94,QUT,true,true,6,true,16,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,UCP-A1,UCP-A1.mp3,mix_3042da8a2eb5,UCP,true,false,,true,10,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,UCP-A2,UCP-A2.mp3,mix_20a1372ac49d,UCP,true,false,,true,26,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,UCP-A3,UCP-A3.mp3,mix_d58db5dccea3,UCP,true,false,,true,10,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,UCP-A4,UCP-A4.mp3,mix_efdedc0a36e7,UCP,true,true,1,true,10,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
Fredy V,In The Meantime,song_inthemeantime,UCP-A5,UCP-A5.mp3,mix_e858d5cf22ea,UCP,true,false,,true,10,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,CNS-5,CNS-5.mp3,mix_b5102e72a550,CNS,true,false,,true,14,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,CNS-A,CNS-A.mp3,mix_8617440e42f5,CNS,true,false,,true,14,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,CNS-B,CNS-B.mp3,mix_7734100f29f3,CNS,true,true,13,true,14,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,CNS-C,CNS-C.mp3,mix_824f6c7e53d0,CNS,true,true,1,true,14,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,CNS-D,CNS-D.mp3,mix_e81c71fd1462,CNS,true,false,,true,14,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,DU-A,DU-A.mp3,mix_8f1477339518,DU,true,true,9,true,39,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,DU-B,DU-B.mp3,mix_7cdfb2503e88,DU,true,true,12,true,39,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,DU-C,DU-C.mp3,mix_a321c1267965,DU,true,true,15,true,39,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,DU-D,DU-D.mp3,mix_f1f7973e5bac,DU,true,true,2,true,39,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
The DoneFors,Lead Me,song_leadme,DU-E,DU-E.mp3,mix_271852ba8676,DU,true,true,5,true,39,matched_by_mix_id,Canonical mix_id join; no filename or legacy-code fallback used.
