artist,song,analytical_role,original_mix_name,original_dataset_filename,institution_code,mix_id,approved_excerpt_start_aligned,approved_excerpt_end_aligned,manual_review_status,stimulus_wav
Fredy V,In The Meantime,representative,UCP-A4,UCP-A4.mp3,UCP,mix_efdedc0a36e7,35.300431,63.300431,approved,stimuli/In The Meantime/representative/UCP-A4_28sec.wav
Fredy V,In The Meantime,contrast_1,DU-J,DU-J.mp3,DU,mix_22efc79c8253,35.300431,63.300431,approved,stimuli/In The Meantime/contrast_1/DU-J_28sec.wav
Fredy V,In The Meantime,contrast_2,QUT-B,QUT-B.mp3,QUT,mix_c7bdcba64775,35.300431,63.300431,approved,stimuli/In The Meantime/contrast_2/QUT-B_28sec.wav
The DoneFors,Lead Me,representative,McG-A,McG-A.mp3,McG,mix_9346b5d4ade2,9.573107,37.573107,approved,stimuli/Lead Me/representative/McG-A_28sec.wav
The DoneFors,Lead Me,contrast_1,PXL-L1,PXL-L1.mp3,PXL,mix_d5b28dfc8a93,9.573107,37.573107,approved,stimuli/Lead Me/contrast_1/PXL-L1_28sec.wav
The DoneFors,Lead Me,contrast_2,DU-D,DU-D.mp3,DU,mix_f1f7973e5bac,9.573107,37.573107,approved,stimuli/Lead Me/contrast_2/DU-D_28sec.wav
The DoneFors,Pouring Room,representative,McG-Q,McG-Q.mp3,McG,mix_0ddb25d6180b,23.020408,51.020408,approved,stimuli/Pouring Room/representative/McG-Q_28sec.wav
The DoneFors,Pouring Room,contrast_1,McG-pro1,McG-pro1.mp3,McG,mix_132e75f34470,23.020408,51.020408,approved,stimuli/Pouring Room/contrast_1/McG-pro1_28sec.wav
The DoneFors,Pouring Room,contrast_2,McG-X,McG-X.mp3,McG,mix_cbf8555ee2b2,23.020408,51.020408,approved,stimuli/Pouring Room/contrast_2/McG-X_28sec.wav
Broken Crank,Red To Blue,representative,McG-A,McG-A.mp3,McG,mix_e2654ec905ad,3.005442,31.005442,approved,stimuli/Red To Blue/representative/McG-A_28sec.wav
Broken Crank,Red To Blue,contrast_1,McG-B,McG-B.mp3,McG,mix_7ac13e0b6376,3.005442,31.005442,approved,stimuli/Red To Blue/contrast_1/McG-B_28sec.wav
Broken Crank,Red To Blue,contrast_2,McG-F,McG-F.mp3,McG,mix_dcc6aef84d67,3.005442,31.005442,approved,stimuli/Red To Blue/contrast_2/McG-F_28sec.wav
