song,condition,triplet_id,rank,objective_score,original_mix_names,mix_ids,mean_ratings,rating_bins,rating_spread,minimum_acoustic_distance,mean_acoustic_distance,acoustic_score,rating_score,coverage_bonus,qc_penalty,qc_statuses,qc_flags,rating_counts,overlap_count,overlap_original_mix_names,selection_notes
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00189,1,0.930989401855,QUT-B|DU-H|DU-I,mix_c7bdcba64775|mix_302f0efe8a80|mix_9baa86357fd4,0.169541|0.560388|0.531178,low|high|medium,0.390847391526,3.41830268237,4.34380541171,0.946073161462,0.720654363427,0.03,0,clear|clear|clear,false|false|false,16|54|38,3,DU-H|DU-I|QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00174,2,0.91331783674,QUT-B|DU-K|QUT-pro,mix_c7bdcba64775|mix_56e65a3ce054|mix_cdaef40f2b94,0.169541|0.136285|0.584611,low|low|high,0.448325994554,3.37008746851,4.35409616196,0.933977537387,0.830679034155,0,0,clear|clear|clear,false|false|false,16|38|16,1,QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00205,3,0.900442841753,QUT-B|DU-I|QUT-pro,mix_c7bdcba64775|mix_9baa86357fd4|mix_cdaef40f2b94,0.169541|0.531178|0.584611,low|medium|high,0.415070578832,3.13630445374,4.65252336298,0.896298046835,0.767022021424,0.03,0,clear|clear|clear,false|false|false,16|38|16,2,DU-I|QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00220,4,0.866772079359,QUT-B|QUT-pro|QUT-C,mix_c7bdcba64775|mix_cdaef40f2b94|mix_82d5489162f9,0.169541|0.584611|0.190952,low|high|low,0.415070578832,3.28528530809,4.1233717366,0.891709593843,0.767022021424,0,0,clear|clear|clear,false|false|false,16|16|16,1,QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00190,5,0.866727637401,QUT-B|DU-H|QUT-pro,mix_c7bdcba64775|mix_302f0efe8a80|mix_cdaef40f2b94,0.169541|0.560388|0.584611,low|high|high,0.415070578832,3.20659552719,4.37347980113,0.891654041395,0.767022021424,0,0,clear|clear|clear,false|false|false,16|54|16,2,DU-H|QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00211,6,0.863229108986,QUT-B|DU-I|QUT-A,mix_c7bdcba64775|mix_9baa86357fd4|mix_13f0eed08780,0.169541|0.531178|0.404061,low|medium|medium,0.361637542508,3.52199243066,4.36037826367,0.975351057942,0.664741313163,0,0.05,clear|clear|review,false|false|true,16|38|16,2,DU-I|QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00193,7,0.848574703303,QUT-B|DU-H|DU-J,mix_c7bdcba64775|mix_302f0efe8a80|mix_22efc79c8253,0.169541|0.560388|0.490455,low|high|medium,0.390847391526,3.27928337606,4.30659505634,0.905554788271,0.720654363427,0.03,0.05,clear|clear|review,false|false|true,16|54|38,2,DU-H|QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00231,8,0.843398094175,QUT-B|QUT-pro|PXL-S7,mix_c7bdcba64775|mix_cdaef40f2b94|mix_526612c31256,0.169541|0.584611|0.620303,low|high|high,0.45076244091,3.04915038868,4.32714902076,0.845411907008,0.835342842841,0,0,clear|clear|clear,false|false|false,16|16|8,1,QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00223,9,0.828034888304,QUT-B|QUT-pro|McG-H,mix_c7bdcba64775|mix_cdaef40f2b94|mix_96c30e75e4a7,0.169541|0.584611|0.653929,low|high|high,0.484388038148,2.97056012406,4.15926881741,0.810116497524,0.89970845142,0,0,clear|clear|clear,false|false|false,16|16|65,1,QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Wide Ratings,InTheMeantime_WideRatings_00232,10,0.796617623482,QUT-B|QUT-pro|DU-M,mix_c7bdcba64775|mix_cdaef40f2b94|mix_6cfa655049d5,0.169541|0.584611|0.504635,low|high|medium,0.415070578832,2.88941707978,3.90109608392,0.766516523996,0.767022021424,0.03,0,clear|clear|clear,false|false|false,16|16|38,1,QUT-B,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Lead Me,Wide Ratings,LeadMe_WideRatings_00216,1,0.933990269279,DU-D|DU-E|McG-pro2,mix_f1f7973e5bac|mix_271852ba8676|mix_d3e3580b6e30,0.344929|0.288513|0.547365,low|low|high,0.25885199709,3.2282673575,3.39630458349,1,0.669951346393,0,0,clear|clear|clear,false|false|false,39|39|45,2,DU-D|DU-E,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
