relative_path,file_type,artist,song,rating_condition,original_mix_name,sha256,bytes,validation_status,notes
alignment_verification_booklet.pdf,alignment_booklet_pdf,,,,,5e70bc49892cb2588123bb12ca9beec961710381cfe36d86a291b190d4edeb3d,4185031,validated,
audio/In The Meantime/Similar Ratings/DU-H_28sec.wav,review_wav,Fredy V,In The Meantime,Similar Ratings,DU-H,28f9f5f49026388e14af98d00033ece5f6688ba69218326246d05673275438da,4939244,validated,
audio/In The Meantime/Similar Ratings/DU-I_28sec.wav,review_wav,Fredy V,In The Meantime,Similar Ratings,DU-I,0d4ba4222bd9ada8589ab43d7d12ddd16b9798d322e845a0c8078b202210dcd0,4939244,validated,
audio/In The Meantime/Similar Ratings/QUT-B_28sec.wav,review_wav,Fredy V,In The Meantime,Similar Ratings,QUT-B,3f2e48e3cba533f02f9255832a13b09ccbdc67c64e62dba6c51d390faafb9432,4939244,validated,
audio/In The Meantime/Similar Ratings/RapidSwitch.wav,rapid_switch_wav,Fredy V,In The Meantime,Similar Ratings,,c09fe488b9556eb56a97988a9b72b32a1b7792c0a169f38b3ac15563d68fedf6,4939244,validated,
audio/In The Meantime/Wide Ratings/DU-K_28sec.wav,review_wav,Fredy V,In The Meantime,Wide Ratings,DU-K,96a148a4f4a9b95029b45a56efb9379743aa4ceb4c5381fe8eb6927b789034af,4939244,validated,
audio/In The Meantime/Wide Ratings/DU-N_28sec.wav,review_wav,Fredy V,In The Meantime,Wide Ratings,DU-N,81af171aeaa2ae90f70b704731ea4cc7aa0dbcd07d3d8953ebb0ee45d53efd2c,4939244,validated,
audio/In The Meantime/Wide Ratings/QUT-pro_28sec.wav,review_wav,Fredy V,In The Meantime,Wide Ratings,QUT-pro,59b190953ef8529be467847ec38ae907843d2450c192f0f2a78ff4f934fb198c,4939244,validated,
audio/In The Meantime/Wide Ratings/RapidSwitch.wav,rapid_switch_wav,Fredy V,In The Meantime,Wide Ratings,,18dd9afb18ae2d44295046a0da1d1f796fc6a5ad87a5bb90d337b9d7c2b2e0d7,4939244,validated,
audio/Lead Me/Similar Ratings/DU-D_28sec.wav,review_wav,The DoneFors,Lead Me,Similar Ratings,DU-D,7adf201d79c648a35562be63ab2fddd1a01e1394232fae99819387ff0fe08d11,4939244,validated,
audio/Lead Me/Similar Ratings/DU-E_28sec.wav,review_wav,The DoneFors,Lead Me,Similar Ratings,DU-E,cc8a3bbf10a630d48af366abef9fc44a2644369dcad264f2585ee73eec3fb720,4939244,validated,
audio/Lead Me/Similar Ratings/QUT-F_28sec.wav,review_wav,The DoneFors,Lead Me,Similar Ratings,QUT-F,a3fe0f954e00e121a05c6480edd070aa9689644f96f3e75beebb4fe4388304b1,4939244,validated,
audio/Lead Me/Similar Ratings/RapidSwitch.wav,rapid_switch_wav,The DoneFors,Lead Me,Similar Ratings,,4013e233726343ae2474af03f8529790a67095e0746f93a7272599100e4f2408,4939244,validated,
audio/Lead Me/Wide Ratings/McG-pro2_28sec.wav,review_wav,The DoneFors,Lead Me,Wide Ratings,McG-pro2,7356c747a0b3fa810b5b91c1942bfb92cf00908bd7728c8027f2a89dcd56d8e6,4939244,validated,
audio/Lead Me/Wide Ratings/PXL-L1_28sec.wav,review_wav,The DoneFors,Lead Me,Wide Ratings,PXL-L1,bed1929afadc18caa15a1cbd24ade78856d824b77ea1f749de6596ac9de722b3,4939244,validated,
audio/Lead Me/Wide Ratings/PXL-L4_28sec.wav,review_wav,The DoneFors,Lead Me,Wide Ratings,PXL-L4,c0be1ba5c27043c567e1dd3832fd953bd8b15c623a2d96135bc89e97a6f36643,4939244,validated,
audio/Lead Me/Wide Ratings/RapidSwitch.wav,rapid_switch_wav,The DoneFors,Lead Me,Wide Ratings,,05b1b657cf50275e95cda392072764395a9eb5c9f58f94af6dc66a042381a35d,4939244,validated,
audio/Pouring Room/Similar Ratings/McG-R_28sec.wav,review_wav,Young Griffo,Pouring Room,Similar Ratings,McG-R,cb42155771f0bc70a333c92221afe49e088c96bf4cfc91a4ca3342573a879d3d,4939244,validated,
audio/Pouring Room/Similar Ratings/McG-T_28sec.wav,review_wav,Young Griffo,Pouring Room,Similar Ratings,McG-T,330db1c0597b35517b0013a11bf152317832da35793e2cf9ba63184cac449e41,4939244,validated,
audio/Pouring Room/Similar Ratings/McG-X_28sec.wav,review_wav,Young Griffo,Pouring Room,Similar Ratings,McG-X,1bd809b92ff5146184d0467eeb19d877f423facd92d1e2d2b1fe155de4fc63d5,4939244,validated,
audio/Pouring Room/Similar Ratings/RapidSwitch.wav,rapid_switch_wav,Young Griffo,Pouring Room,Similar Ratings,,b2a13aa75bdd14cedeb093e27f0102bdf40506ccd123a4c66cf333cf7a187a04,4939244,validated,
