artist,song,rating_condition,original_mix_name,original_dataset_filename,mix_id,institution_code,mean_previous_preference,median_previous_preference,rating_count,confidence_interval_lower,confidence_interval_upper,acoustic_pool_rank,distance_from_acoustic_medoid,nearest_neighbour_distance,stereo_imbalance,stereo_imbalance_qc_flag,28sec_wav_path,source_wav_hash,technically_acceptable,sufficiently_distinct,alignment_acceptable,retain_for_study,replacement_requested,reviewer_comments
Fredy V,In The Meantime,Similar Ratings,QUT-B,QUT-B.mp3,mix_c7bdcba64775,QUT,0.169540672643,0.162879648027,16,0.111135579236,0.227945766051,2,4.11523731091,3.25287319265,0.000562923552934,false,audio/In The Meantime/Similar Ratings/QUT-B_28sec.wav,3f2e48e3cba533f02f9255832a13b09ccbdc67c64e62dba6c51d390faafb9432,,,,,,
Fredy V,In The Meantime,Similar Ratings,DU-H,DU-H.mp3,mix_302f0efe8a80,DU,0.560388064169,0.560897435897,54,0.511340339981,0.609435788356,4,2.25107568995,1.25556149847,0.0354086197913,false,audio/In The Meantime/Similar Ratings/DU-H_28sec.wav,28f9f5f49026388e14af98d00033ece5f6688ba69218326246d05673275438da,,,,,,
Fredy V,In The Meantime,Similar Ratings,DU-I,DU-I.mp3,mix_9baa86357fd4,DU,0.531178215151,0.489010989011,38,0.471573593056,0.590782837245,5,2.37971263777,1.32326801637,-0.0380811542273,false,audio/In The Meantime/Similar Ratings/DU-I_28sec.wav,0d4ba4222bd9ada8589ab43d7d12ddd16b9798d322e845a0c8078b202210dcd0,,,,,,
Fredy V,In The Meantime,Wide Ratings,DU-K,DU-K.mp3,mix_56e65a3ce054,DU,0.136285256921,0.100824175824,38,0.0959163532267,0.176654160615,3,2.43500433904,1.64560059173,0.0170408543199,false,audio/In The Meantime/Wide Ratings/DU-K_28sec.wav,96a148a4f4a9b95029b45a56efb9379743aa4ceb4c5381fe8eb6927b789034af,,,,,,
Fredy V,In The Meantime,Wide Ratings,QUT-pro,QUT-pro.mp3,mix_cdaef40f2b94,QUT,0.584611251475,0.525144512809,16,0.466134177326,0.703088325624,6,1.89430827515,0.918554639901,-0.0385963246226,false,audio/In The Meantime/Wide Ratings/QUT-pro_28sec.wav,59b190953ef8529be467847ec38ae907843d2450c192f0f2a78ff4f934fb198c,,,,,,
Fredy V,In The Meantime,Wide Ratings,DU-N,DU-N.mp3,mix_29131e66c9d7,DU,0.428148862499,0.418131868132,38,0.366587742992,0.489709982005,11,1.31607879386,1.11064181734,-0.0127661842853,false,audio/In The Meantime/Wide Ratings/DU-N_28sec.wav,81af171aeaa2ae90f70b704731ea4cc7aa0dbcd07d3d8953ebb0ee45d53efd2c,,,,,,
The DoneFors,Lead Me,Similar Ratings,DU-D,DU-D.mp3,mix_f1f7973e5bac,DU,0.344928583221,0.32967032967,39,0.293875043746,0.395982122695,2,3.02084733205,2.33220975061,-0.0521329641342,false,audio/Lead Me/Similar Ratings/DU-D_28sec.wav,7adf201d79c648a35562be63ab2fddd1a01e1394232fae99819387ff0fe08d11,,,,,,
The DoneFors,Lead Me,Similar Ratings,DU-E,DU-E.mp3,mix_271852ba8676,DU,0.288513454805,0.281318681319,39,0.245796682216,0.331230227393,5,2.2866017549,1.71936809347,0.0436125770211,false,audio/Lead Me/Similar Ratings/DU-E_28sec.wav,cc8a3bbf10a630d48af366abef9fc44a2644369dcad264f2585ee73eec3fb720,,,,,,
The DoneFors,Lead Me,Similar Ratings,QUT-F,QUT-F.mp3,mix_4e2cf7c970a8,QUT,0.320524872239,0.306376294787,16,0.216056884999,0.424992859478,10,1.63588935399,1.1993533712,0.0952272340655,false,audio/Lead Me/Similar Ratings/QUT-F_28sec.wav,a3fe0f954e00e121a05c6480edd070aa9689644f96f3e75beebb4fe4388304b1,,,,,,
The DoneFors,Lead Me,Wide Ratings,PXL-L1,PXL-L1.mp3,mix_d5b28dfc8a93,PXL,0.331806996292,0.277892894314,36,0.254175526757,0.409438465827,3,2.33458354116,1.25915273732,-0.0129087874666,false,audio/Lead Me/Wide Ratings/PXL-L1_28sec.wav,bed1929afadc18caa15a1cbd24ade78856d824b77ea1f749de6596ac9de722b3,,,,,,
The DoneFors,Lead Me,Wide Ratings,PXL-L4,PXL-L4.mp3,mix_c7d9a071ba25,PXL,0.516818070818,0.58973992674,6,0.281501536825,0.752134604811,6,2.24847004699,1.23314937975,0.109930999577,false,audio/Lead Me/Wide Ratings/PXL-L4_28sec.wav,c0be1ba5c27043c567e1dd3832fd953bd8b15c623a2d96135bc89e97a6f36643,,,,,,
The DoneFors,Lead Me,Wide Ratings,McG-pro2,McG-pro2.mp3,mix_d3e3580b6e30,McG,0.547365451895,0.545636910732,45,0.495827259282,0.598903644508,17,1.34068293977,1.04314448596e-16,-0.00143597240094,false,audio/Lead Me/Wide Ratings/McG-pro2_28sec.wav,7356c747a0b3fa810b5b91c1942bfb92cf00908bd7728c8027f2a89dcd56d8e6,,,,,,
Young Griffo,Pouring Room,Similar Ratings,McG-R,McG-R.mp3,mix_0ba76f420c1d,McG,0.391330644411,0.32398021978,40,0.294606954059,0.488054334762,1,1.3869311358,1.3869311358,-0.0638295859098,false,audio/Pouring Room/Similar Ratings/McG-R_28sec.wav,cb42155771f0bc70a333c92221afe49e088c96bf4cfc91a4ca3342573a879d3d,,,,,,
Young Griffo,Pouring Room,Similar Ratings,McG-T,McG-T.mp3,mix_be2ccd4c43ff,McG,0.315778789267,0.23745989011,40,0.234402259275,0.397155319258,7,2.20245894267,1.67105949867,-0.0455747283995,false,audio/Pouring Room/Similar Ratings/McG-T_28sec.wav,330db1c0597b35517b0013a11bf152317832da35793e2cf9ba63184cac449e41,,,,,,
Young Griffo,Pouring Room,Similar Ratings,McG-X,McG-X.mp3,mix_cbf8555ee2b2,McG,0.326821477012,0.248885,40,0.248789649692,0.404853304332,8,2.52204382659,1.88514897969,-0.0265915170312,false,audio/Pouring Room/Similar Ratings/McG-X_28sec.wav,1bd809b92ff5146184d0467eeb19d877f423facd92d1e2d2b1fe155de4fc63d5,,,,,,
Young Griffo,Pouring Room,Wide Ratings,McG-pro1,McG-pro1.mp3,mix_132e75f34470,McG,0.741587086846,0.79495467033,40,0.677670785524,0.805503388168,3,1.63812193496,1.915750571e-16,-0.0488145165145,false,audio/Pouring Room/Wide Ratings/McG-pro1_28sec.wav,6a427883303abfc29f244a09f571330ba1f01954828dae0246d490f6c576ef55,,,,,,
Young Griffo,Pouring Room,Wide Ratings,McG-U,McG-U.mp3,mix_37681ed84b6b,McG,0.459458567457,0.405485,40,0.383139817355,0.53577731756,4,1.64366938583,1.50639550314,0.0272651258856,false,audio/Pouring Room/Wide Ratings/McG-U_28sec.wav,a2a22e4088b4a2ff713042d6fe06deb4ea0e3035409715fb34cec72a5c2f9b23,,,,,,
Young Griffo,Pouring Room,Wide Ratings,McG-V,McG-V.mp3,mix_e08faaf8bbb3,McG,0.510318833291,0.490935,40,0.436596419482,0.5840412471,9,1.11312571422,1.11312571422,-0.0483895651996,false,audio/Pouring Room/Wide Ratings/McG-V_28sec.wav,5fe01bc005b45ae411390d5bb7932ffaabf30a7a1453344b2a7f6de733e8c74c,,,,,,
Broken Crank,Red To Blue,Similar Ratings,McG-B,McG-B.mp3,mix_7ac13e0b6376,McG,0.527445392944,0.517307692308,26,0.430010079753,0.624880706134,3,1.94833049391,1.43124064575,0.126785472035,true,audio/Red To Blue/Similar Ratings/McG-B_28sec.wav,23abaf24021132282ad063763dd957a2096d026877e4098765f81d8bf2d62ce3,,,,,,
Broken Crank,Red To Blue,Similar Ratings,McG-G,McG-G.mp3,mix_b4b312ffa4d6,McG,0.513281921228,0.55559,26,0.435340928738,0.591222913717,7,1.70079267594,1.70079267594,0.00244334270246,false,audio/Red To Blue/Similar Ratings/McG-G_28sec.wav,b87d0ffbad2eeb3cd02a0ddbb0cc004d1f6fd6f89414d317b6510f26e4ac60e9,,,,,,
Broken Crank,Red To Blue,Similar Ratings,McG-F,McG-F.mp3,mix_dcc6aef84d67,McG,0.320184670736,0.314949835165,26,0.231772994814,0.408596346657,8,2.31775532025,1.58101498685,0.0995422303677,false,audio/Red To Blue/Similar Ratings/McG-F_28sec.wav,5e7410429faec756ae92850deb13fb94584c73f9d5ff7d7ad8c351a706b1dabc,,,,,,
Broken Crank,Red To Blue,Wide Ratings,McG-C,McG-C.mp3,mix_5143d2ee3859,McG,0.589852124377,0.59534,26,0.498586424446,0.681117824308,1,1.08209318063,1.08209318063,0.00644245976582,false,audio/Red To Blue/Wide Ratings/McG-C_28sec.wav,2edc5535005da740aa58b58d05e374538975245f606d2ae342b0670888b76b8c,,,,,,
Broken Crank,Red To Blue,Wide Ratings,McG-H,McG-H.mp3,mix_5b76bf1a027d,McG,0.444788772745,0.475367307692,26,0.348949500994,0.540628044496,2,1.5315347612,1.5315347612,-0.0336204059422,false,audio/Red To Blue/Wide Ratings/McG-H_28sec.wav,e4d5ce445b26b3c55eb35dbaea8a595440436cf9a12b5cfb7393dbe3a63d12a8,,,,,,
Broken Crank,Red To Blue,Wide Ratings,McG-pro1,McG-pro1.mp3,mix_808780e357c9,McG,0.361486461668,0.367375924729,26,0.261783933824,0.461188989512,4,1.62859994591,1.68830575362e-16,-0.00970399286598,false,audio/Red To Blue/Wide Ratings/McG-pro1_28sec.wav,1bd3eabbafdf08532a7fffb7b4797f766af8b7dde445c1493f6e2a9c9663b9ef,,,,,,
