artist,song,valid_human_mix_count,rated_human_mix_count,real_institution_count,metadata_confidence,public_audio_available,duration_range,common_28sec_feasible,prior_rating_coverage,licence_status,artist_diversity_score,genre_diversity_score,expected_mix_variation,technical_risk,overall_backup_score,recommendation_rank,selected_as_backup,rationale
Dawn Langstroth,No Prize,9,9,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,0.700,high,low,0.868333,1,true,"selected: rated public human mixes, feasible duration, different artist from main set"
The Districts,Vermont,7,7,2,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,high,low,0.816667,4,true,"selected: rated public human mixes, feasible duration, different artist from main set"
Filthybird,I'd Like To Know,7,7,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,high,low,0.783333,5,true,"selected: rated public human mixes, feasible duration, different artist from main set"
Torres,New Skin,7,7,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,high,low,0.783333,6,true,"selected: rated public human mixes, feasible duration, different artist from main set"
Joshua Bell,My Funny Valentine,9,9,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,0.700,high,low,0.868333,2,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
Fredy V,Not Alone,9,9,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,0.200,1.000,high,low,0.843333,3,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
The DoneFors,Under A Covered Sky,9,9,1,high,true,1.008000,true,1.000,research_use_public_mix_eval_dataset,0.200,1.000,high,medium,0.763333,7,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
Kabaret,Cold Star,6,6,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,moderate,low,0.733333,8,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
Creepoid,Old Tree,5,5,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,moderate,low,0.683333,9,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
Purling Hiss,Lolita,5,5,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,moderate,low,0.683333,10,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
TheTontons,Lush,5,5,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,moderate,low,0.683333,11,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
Human Radio,You & Me & The Radio,4,4,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,moderate,low,0.633333,12,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
J Kirk Band,Good Time,4,4,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,moderate,low,0.633333,13,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
"Jokers, Jacks & Kings",SeaOfLeaves,4,4,1,high,true,0.000000,true,1.000,research_use_public_mix_eval_dataset,1.000,1.000,moderate,low,0.633333,14,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
,HighBloodPressure,9,0,1,high,true,0.000000,true,0.000,research_use_public_mix_eval_dataset,0.200,1.000,high,low,0.418333,15,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
,RightOnTime,9,0,1,high,true,0.000000,true,0.000,research_use_public_mix_eval_dataset,0.200,1.000,high,low,0.418333,16,false,not selected: lower backup priority than selected set or weaker artist/rating/diversity balance
