artist,song,candidate_rank,aligned_start_seconds,aligned_end_seconds,reference_file_start_seconds,reference_file_end_seconds,activity_score,onset_score,spectral_activity_score,silence_penalty,boundary_penalty,cross_mix_consistency_score,total_score,notes
Dawn Langstroth,No Prize,1,24.760431,52.760431,24.760431,52.760431,0.293454,0.055500,0.319919,0.500000,0.000000,0.742139,0.724546,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Dawn Langstroth,No Prize,2,3.760431,31.760431,3.760431,31.760431,0.090792,-0.005386,0.027223,0.000000,0.000000,0.726825,0.645199,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Dawn Langstroth,No Prize,3,19.010431,47.010431,19.010431,47.010431,0.251188,-0.002959,0.249312,0.500000,0.000000,0.742063,0.618298,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Dawn Langstroth,No Prize,4,11.510431,39.510431,11.510431,39.510431,0.247752,-0.033586,0.171382,0.500000,0.000000,0.731246,0.554836,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Dawn Langstroth,No Prize,5,30.510431,58.510431,30.510431,58.510431,0.156106,0.011277,0.195880,0.500000,0.000000,0.740995,0.506200,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Filthybird,I'd Like To Know,1,21.000454,49.000454,21.000454,49.000454,0.302374,-0.021293,0.306910,0.500000,0.000000,0.696759,0.651341,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Filthybird,I'd Like To Know,2,4.500454,32.500454,4.500454,32.500454,0.016973,-0.005364,0.026496,0.000000,0.000000,0.736347,0.578207,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Filthybird,I'd Like To Know,3,15.000454,43.000454,15.000454,43.000454,0.164598,-0.018166,0.143544,0.500000,0.000000,0.697752,0.442516,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
The Districts,Vermont,1,21.000454,49.000454,21.000454,49.000454,0.383421,-0.001989,0.459928,0.500000,0.000000,0.780673,0.874799,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
The Districts,Vermont,2,15.000454,43.000454,15.000454,43.000454,0.226999,0.026775,0.207490,0.500000,0.000000,0.775705,0.616874,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
The Districts,Vermont,3,6.000454,34.000454,6.000454,34.000454,-0.091403,0.032504,-0.162882,0.000000,0.000000,0.781011,0.438936,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Torres,New Skin,1,6.010431,34.010431,6.010431,34.010431,0.100173,0.018647,0.281211,0.000000,0.000000,0.735599,0.788673,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Torres,New Skin,2,12.510431,40.510431,12.510431,40.510431,0.050358,-0.004311,0.091785,0.000000,0.000000,0.730175,0.636921,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Torres,New Skin,3,19.510431,47.510431,19.510431,47.510431,0.071039,-0.018070,-0.041062,0.000000,0.000000,0.728844,0.589256,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
Torres,New Skin,4,25.260431,53.260431,25.260431,53.260431,0.080843,-0.028410,-0.148093,0.000000,0.000000,0.715947,0.535536,"diagnostic candidate; active/full arrangement inferred from energy, onset and spectrum metrics"
