artist,song,candidate_rank,same_musical_passage,clear_musical_activity,no_abrupt_phrase_cut,no_silence_or_fade,audible_mix_differences,suitable_duration,preferred_candidate_rank,reviewer_notes
Dawn Langstroth,No Prize,1,,,,,,,,
Dawn Langstroth,No Prize,2,,,,,,,,
Dawn Langstroth,No Prize,3,,,,,,,,
Dawn Langstroth,No Prize,4,,,,,,,,
Dawn Langstroth,No Prize,5,,,,,,,,
Filthybird,I'd Like To Know,1,,,,,,,,
Filthybird,I'd Like To Know,2,,,,,,,,
Filthybird,I'd Like To Know,3,,,,,,,,
The Districts,Vermont,1,,,,,,,,
The Districts,Vermont,2,,,,,,,,
The Districts,Vermont,3,,,,,,,,
Torres,New Skin,1,,,,,,,,
Torres,New Skin,2,,,,,,,,
Torres,New Skin,3,,,,,,,,
Torres,New Skin,4,,,,,,,,
