song,bark_channel,bark_band,column,count,mean,standard_deviation
Dawn Langstroth - No Prize,mid,1,bark_mid_01,9,8.66850545671,0.527134499841
Dawn Langstroth - No Prize,mid,2,bark_mid_02,9,8.29746447669,0.465724864126
Dawn Langstroth - No Prize,mid,3,bark_mid_03,9,8.09916999605,0.534197652755
Dawn Langstroth - No Prize,mid,4,bark_mid_04,9,8.09463951323,0.522370466395
Dawn Langstroth - No Prize,mid,5,bark_mid_05,9,7.44223976135,0.552722863915
Dawn Langstroth - No Prize,mid,6,bark_mid_06,9,7.51418701808,0.565713161917
Dawn Langstroth - No Prize,mid,7,bark_mid_07,9,7.82368066576,0.488314709831
Dawn Langstroth - No Prize,mid,8,bark_mid_08,9,7.38690837224,0.450684744694
Dawn Langstroth - No Prize,mid,9,bark_mid_09,9,7.33259450065,0.384316306461
Dawn Langstroth - No Prize,mid,10,bark_mid_10,9,7.43425072564,0.32865327774
Dawn Langstroth - No Prize,mid,11,bark_mid_11,9,7.10227023231,0.334966250089
Dawn Langstroth - No Prize,mid,12,bark_mid_12,9,7.38219277064,0.358058154604
Dawn Langstroth - No Prize,mid,13,bark_mid_13,9,7.1195646392,0.305471601879
Dawn Langstroth - No Prize,mid,14,bark_mid_14,9,7.14678764343,0.314323190399
Dawn Langstroth - No Prize,mid,15,bark_mid_15,9,7.17833831575,0.33446543009
Dawn Langstroth - No Prize,mid,16,bark_mid_16,9,7.56963772244,0.262351218577
Dawn Langstroth - No Prize,mid,17,bark_mid_17,9,7.54548072815,0.23384451479
Dawn Langstroth - No Prize,mid,18,bark_mid_18,9,7.56880113814,0.293984441714
Dawn Langstroth - No Prize,mid,19,bark_mid_19,9,7.16168864568,0.371711787358
Dawn Langstroth - No Prize,mid,20,bark_mid_20,9,7.27864244249,0.409149721278
Dawn Langstroth - No Prize,mid,21,bark_mid_21,9,7.49269289441,0.404948790655
Dawn Langstroth - No Prize,mid,22,bark_mid_22,9,7.65282811059,0.439888407233
Dawn Langstroth - No Prize,mid,23,bark_mid_23,9,7.72638511658,0.457157142477
Dawn Langstroth - No Prize,mid,24,bark_mid_24,9,6.83670828077,0.425995535339
Dawn Langstroth - No Prize,side,1,bark_side_01,9,7.06326320436,0.685039400664
Dawn Langstroth - No Prize,side,2,bark_side_02,9,7.19383933809,0.750587448464
Dawn Langstroth - No Prize,side,3,bark_side_03,9,6.70243607627,0.647708827364
Dawn Langstroth - No Prize,side,4,bark_side_04,9,6.66993448469,0.645218039216
Dawn Langstroth - No Prize,side,5,bark_side_05,9,6.01398075951,0.593981469465
Dawn Langstroth - No Prize,side,6,bark_side_06,9,5.73622878393,0.598010833513
Dawn Langstroth - No Prize,side,7,bark_side_07,9,5.80247937308,0.607180657766
Dawn Langstroth - No Prize,side,8,bark_side_08,9,5.53157207701,0.592391531284
Dawn Langstroth - No Prize,side,9,bark_side_09,9,5.36718273163,0.587064545691
Dawn Langstroth - No Prize,side,10,bark_side_10,9,5.29533624649,0.549022958117
Dawn Langstroth - No Prize,side,11,bark_side_11,9,5.05710742209,0.558243229732
Dawn Langstroth - No Prize,side,12,bark_side_12,9,5.26512445344,0.567866436094
Dawn Langstroth - No Prize,side,13,bark_side_13,9,5.18303815524,0.595291373434
Dawn Langstroth - No Prize,side,14,bark_side_14,9,5.3522351053,0.626384456711
Dawn Langstroth - No Prize,side,15,bark_side_15,9,5.39852121141,0.640180146174
Dawn Langstroth - No Prize,side,16,bark_side_16,9,5.5417544047,0.564889483262
Dawn Langstroth - No Prize,side,17,bark_side_17,9,5.56941615211,0.520586384712
Dawn Langstroth - No Prize,side,18,bark_side_18,9,5.70653454463,0.513168668436
Dawn Langstroth - No Prize,side,19,bark_side_19,9,5.78835513857,0.494992827703
Dawn Langstroth - No Prize,side,20,bark_side_20,9,5.93588495255,0.497307767701
Dawn Langstroth - No Prize,side,21,bark_side_21,9,6.0162308481,0.546659108091
Dawn Langstroth - No Prize,side,22,bark_side_22,9,6.04262516233,0.620107159994
Dawn Langstroth - No Prize,side,23,bark_side_23,9,6.25042443805,0.723428814562
Dawn Langstroth - No Prize,side,24,bark_side_24,9,5.28059585889,0.916318221211
Filthybird - I'd Like To Know,mid,1,bark_mid_01,7,8.52509089879,0.0927943615072
Filthybird - I'd Like To Know,mid,2,bark_mid_02,7,7.94968945639,0.138256678951
Filthybird - I'd Like To Know,mid,3,bark_mid_03,7,7.55465950285,0.0762599932617
Filthybird - I'd Like To Know,mid,4,bark_mid_04,7,7.33179140091,0.102195113725
Filthybird - I'd Like To Know,mid,5,bark_mid_05,7,7.24660914285,0.104404570432
Filthybird - I'd Like To Know,mid,6,bark_mid_06,7,7.23946612222,0.134939394128
Filthybird - I'd Like To Know,mid,7,bark_mid_07,7,7.51465014049,0.134982478917
Filthybird - I'd Like To Know,mid,8,bark_mid_08,7,7.46651043211,0.137151850949
Filthybird - I'd Like To Know,mid,9,bark_mid_09,7,7.41490404946,0.143248997033
Filthybird - I'd Like To Know,mid,10,bark_mid_10,7,7.15271466119,0.197852653539
Filthybird - I'd Like To Know,mid,11,bark_mid_11,7,7.20560761861,0.202454004626
Filthybird - I'd Like To Know,mid,12,bark_mid_12,7,7.33672605242,0.245333151149
Filthybird - I'd Like To Know,mid,13,bark_mid_13,7,7.37672301701,0.21398025776
Filthybird - I'd Like To Know,mid,14,bark_mid_14,7,7.37206227439,0.140959264348
Filthybird - I'd Like To Know,mid,15,bark_mid_15,7,7.37778241294,0.123102991174
Filthybird - I'd Like To Know,mid,16,bark_mid_16,7,7.40876810891,0.13258012534
Filthybird - I'd Like To Know,mid,17,bark_mid_17,7,7.41184582029,0.206379981866
Filthybird - I'd Like To Know,mid,18,bark_mid_18,7,7.34545012883,0.177354908014
Filthybird - I'd Like To Know,mid,19,bark_mid_19,7,7.38719729015,0.222174249567
Filthybird - I'd Like To Know,mid,20,bark_mid_20,7,7.708589077,0.269805934259
Filthybird - I'd Like To Know,mid,21,bark_mid_21,7,7.79023572377,0.279849197606
