artist,song,original_mix_name,original_dataset_filename,mix_id,institution_code,pool_rank,pool_selection_order,pool_selection_method,distance_to_existing_pool_at_selection,distance_from_medoid,nearest_neighbour_distance,acoustic_outlier_score,stereo_imbalance,stereo_imbalance_qc_flag,rating_status,technical_qc_status,manual_review_required,selection_notes
Dawn Langstroth,No Prize,McG-K,McG-K.mp3,mix_176dff701046,McG,1,1,all_valid_retained,0.964227603471,0.964227603471,0.964227603471,2.55016433193,-0.0201637241989,false,previously_evaluated,ok,false,all retained valid mixes included
Dawn Langstroth,No Prize,McG-M,McG-M.mp3,mix_22ae53b1c0f8,McG,2,2,all_valid_retained,0,0,0.582884902312,0.797102534508,-0.00359229720198,false,previously_evaluated,ok,false,all retained valid mixes included
Dawn Langstroth,No Prize,McG-P,McG-P.mp3,mix_331b5d620be9,McG,3,3,all_valid_retained,0.914206099727,0.914206099727,0.864060233695,2.65497562778,-0.0664325803518,false,previously_evaluated,ok,false,all retained valid mixes included
Dawn Langstroth,No Prize,McG-I,McG-I.mp3,mix_58fa089225bc,McG,4,4,all_valid_retained,1.05329440523,1.05329440523,0.864060233695,2.58883764549,-0.0408569388092,false,previously_evaluated,ok,false,all retained valid mixes included
Dawn Langstroth,No Prize,McG-L,McG-L.mp3,mix_5df0d210127a,McG,5,5,all_valid_retained,1.53748856225,1.53748856225,0.948977815289,4.2652689621,-0.0910623818636,false,previously_evaluated,ok,false,all retained valid mixes included
Dawn Langstroth,No Prize,McG-pro2,McG-pro2.mp3,mix_6cbe1fdaeb7b,McG,6,6,all_valid_retained,0.937038832277,0.937038832277,0.937038832277,3.33998819344,0.01035876479,false,previously_evaluated,ok,false,all retained valid mixes included
Dawn Langstroth,No Prize,McG-N,McG-N.mp3,mix_76cfb2bccc8d,McG,7,7,all_valid_retained,3.59330308254,3.59330308254,2.76678077257,12.6421555631,-0.0616512745619,false,previously_evaluated,ok,false,all retained valid mixes included
Dawn Langstroth,No Prize,McG-J,McG-J.mp3,mix_7df159240700,McG,8,8,all_valid_retained,1.19970841829,1.19970841829,1.14555797466,3.35112638846,-0.0205911099911,false,previously_evaluated,ok,false,all retained valid mixes included
Dawn Langstroth,No Prize,McG-O,McG-O.mp3,mix_f959e52ab387,McG,9,9,all_valid_retained,0.582884902312,0.582884902312,0.582884902312,2.34275095342,-0.0631446391344,false,previously_evaluated,ok,false,all retained valid mixes included
Filthybird,I'd Like To Know,PXL-S3,PXL-S3.mp3,mix_65f41f41d3ab,PXL,1,1,all_valid_retained,1.36762958502,1.36762958502,1.36762958502,3.45107257777,-0.00842856336385,false,previously_evaluated,ok,false,all retained valid mixes included
Filthybird,I'd Like To Know,PXL-S2,PXL-S2.mp3,mix_6f8b655d7999,PXL,2,2,all_valid_retained,0,0,0.949392070054,1.51116842894,0.0224525164813,false,previously_evaluated,ok,false,all retained valid mixes included
Filthybird,I'd Like To Know,PXL-S5,PXL-S5.mp3,mix_82d60d7c7fc5,PXL,3,3,all_valid_retained,2.71035546444,2.71035546444,1.97772901106,6.77348078865,0.0736307501793,false,previously_evaluated,ok,false,all retained valid mixes included
Filthybird,I'd Like To Know,PXL-S1,PXL-S1.mp3,mix_9ffcd672af17,PXL,4,4,all_valid_retained,1.85592731216,1.85592731216,1.59744017638,3.2097577077,0.0607972890139,false,previously_evaluated,ok,false,all retained valid mixes included
Filthybird,I'd Like To Know,PXL-S6,PXL-S6.mp3,mix_ab8babdfa183,PXL,5,5,all_valid_retained,1.47660509,1.47660509,1.35373057047,2.82596442326,-0.0656843408942,false,previously_evaluated,ok,false,all retained valid mixes included
Filthybird,I'd Like To Know,PXL-S4,PXL-S4.mp3,mix_b05651ab273c,PXL,6,6,all_valid_retained,0.949392070054,0.949392070054,0.949392070054,2.52069504204,0.0135617638007,false,previously_evaluated,ok,false,all retained valid mixes included
Filthybird,I'd Like To Know,PXL-S7,PXL-S7.mp3,mix_b393d3919c78,PXL,7,7,all_valid_retained,1.52980290766,1.52980290766,1.35373057047,2.97155935016,-0.0537673681974,false,previously_evaluated,ok,false,all retained valid mixes included
The Districts,Vermont,PXL-L1,PXL-L1.mp3,mix_0ae655011992,PXL,1,1,all_valid_retained,0,0,0.896004763486,1.59549249371,0.0288572981954,false,previously_evaluated,ok,false,all retained valid mixes included
The Districts,Vermont,DU-P2,DU-P2.mp3,mix_394fbfb78a5d,DU,2,2,all_valid_retained,2.95940847812,2.95940847812,2.66502376747,9.63964792554,-0.0160412136465,false,previously_evaluated,ok,false,all retained valid mixes included
The Districts,Vermont,PXL-L2,PXL-L2.mp3,mix_66c12fb63344,PXL,3,3,all_valid_retained,0.896004763486,0.896004763486,0.896004763486,2.86938729239,-0.0202880613506,false,previously_evaluated,ok,false,all retained valid mixes included
The Districts,Vermont,DU-O2,DU-O2.mp3,mix_94dea4d9516e,DU,4,4,all_valid_retained,1.15665740409,1.15665740409,1.15665740409,2.83028598136,-0.00799365527928,false,previously_evaluated,ok,false,all retained valid mixes included
The Districts,Vermont,PXL-L4,PXL-L4.mp3,mix_9b6f253d1335,PXL,5,5,all_valid_retained,1.11121902383,1.11121902383,0.939083650409,2.4151492969,0.0153486188501,false,previously_evaluated,ok,false,all retained valid mixes included
The Districts,Vermont,PXL-L5,PXL-L5.mp3,mix_bd4d7c6e0ea0,PXL,6,6,all_valid_retained,1.31654334555,1.31654334555,1.28913839192,2.50761646219,-0.0275270938873,false,previously_evaluated,ok,false,all retained valid mixes included
The Districts,Vermont,PXL-L3,PXL-L3.mp3,mix_de21d14989c8,PXL,7,7,all_valid_retained,1.43406533194,1.43406533194,1.41680402686,3.09294048638,0.00247370568104,false,previously_evaluated,ok,false,all retained valid mixes included
Torres,New Skin,DU-Q,DU-Q.mp3,mix_221967d4097c,DU,1,1,all_valid_retained,2.21366611875,2.21366611875,1.7031166118,5.4673851455,0.0601652488112,false,previously_evaluated,ok,false,all retained valid mixes included
Torres,New Skin,DU-R,DU-R.mp3,mix_42350ee2e7ab,DU,2,2,all_valid_retained,2.63135465027,2.63135465027,2.39054832947,7.52541647047,-0.0662170574069,false,previously_evaluated,ok,false,all retained valid mixes included
Torres,New Skin,DU-O,DU-O.mp3,mix_48521615c4db,DU,3,3,all_valid_retained,1.07133083286,1.07133083286,0.898920022875,3.21006160141,-0.00482537038624,false,previously_evaluated,ok,false,all retained valid mixes included
Torres,New Skin,DU-P,DU-P.mp3,mix_59ac406eef54,DU,4,4,all_valid_retained,0,0,0.836949409196,1.43975847605,-0.00944263953716,false,previously_evaluated,ok,false,all retained valid mixes included
Torres,New Skin,DU-U,DU-U.mp3,mix_768a004d1c8d,DU,5,5,all_valid_retained,0.836949409196,0.836949409196,0.836949409196,2.17189423003,0.200626522303,false,previously_evaluated,ok,false,all retained valid mixes included
Torres,New Skin,DU-T,DU-T.mp3,mix_c09620e345d0,DU,6,6,all_valid_retained,1.31599260455,1.31599260455,1.28592591205,3.45939423423,-0.0783838406205,false,previously_evaluated,ok,false,all retained valid mixes included
Torres,New Skin,DU-S,DU-S.mp3,mix_c512d63997c6,DU,7,7,all_valid_retained,1.25106601805,1.25106601805,1.25106601805,2.65407700067,-0.00775506952778,false,previously_evaluated,ok,false,all retained valid mixes included
