context_type,song_id,legacy_song_id,context_value,rating_count,mean_preference,unique_participants,unique_sessions
evaluator_institution,song_idliketoknow,IdLikeToKnow,PXL,91,0.498525379383,13,13
evaluator_institution,song_idliketoknow,IdLikeToKnow,QM,77,0.469256559385,11,11
evaluator_institution,song_idliketoknow,IdLikeToKnow,SMC,42,0.545953507229,6,6
evaluator_institution,song_newskin,NewSkin,DU,266,0.546555019125,38,38
evaluator_institution,song_newskin,NewSkin,QM,63,0.455625327054,9,9
evaluator_institution,song_newskin,NewSkin,SMC,42,0.513911245806,6,6
evaluator_institution,song_noprize,NoPrize,McG,189,0.508143915344,21,21
evaluator_institution,song_noprize,NoPrize,QM,99,0.501731601732,10,11
evaluator_institution,song_noprize,NoPrize,SMC,54,0.528960517279,6,6
evaluator_institution,song_vermont,Vermont,PXL,65,0.524796956889,13,13
evaluator_institution,song_vermont,Vermont,QM,71,0.469261724191,11,11
evaluator_institution,song_vermont,Vermont,SMC,35,0.444558355925,5,5
experiment,song_idliketoknow,IdLikeToKnow,exp_pxl_unknown,91,0.498525379383,13,13
experiment,song_idliketoknow,IdLikeToKnow,exp_qm_2015,77,0.469256559385,11,11
experiment,song_idliketoknow,IdLikeToKnow,exp_smc_2015,42,0.545953507229,6,6
experiment,song_newskin,NewSkin,exp_du_2015,266,0.546555019125,38,38
experiment,song_newskin,NewSkin,exp_qm_2015,63,0.455625327054,9,9
experiment,song_newskin,NewSkin,exp_smc_2015,42,0.513911245806,6,6
experiment,song_noprize,NoPrize,exp_mcg_2013,189,0.508143915344,21,21
experiment,song_noprize,NoPrize,exp_qm_2015,99,0.501731601732,10,11
experiment,song_noprize,NoPrize,exp_smc_2015,54,0.528960517279,6,6
experiment,song_vermont,Vermont,exp_pxl_unknown,65,0.524796956889,13,13
experiment,song_vermont,Vermont,exp_qm_2015,71,0.469261724191,11,11
experiment,song_vermont,Vermont,exp_smc_2015,35,0.444558355925,5,5
year,song_idliketoknow,IdLikeToKnow,unknown,91,0.498525379383,13,13
year,song_idliketoknow,IdLikeToKnow,2015,119,0.496326070389,17,17
year,song_newskin,NewSkin,2015,371,0.527418606511,53,53
year,song_noprize,NoPrize,2013,189,0.508143915344,21,21
year,song_noprize,NoPrize,2015,153,0.511341807219,16,17
year,song_vermont,Vermont,unknown,65,0.524796956889,13,13
year,song_vermont,Vermont,2015,106,0.461104951651,16,16
