artist,song,rating_condition,original_mix_name,mean_previous_preference,rating_count,triplet_rating_spread,minimum_acoustic_distance_within_triplet,stereo_imbalance_qc_flag,automatic_alignment_status,maximum_triplet_alignment_offset_ms,waveform_booklet_checked,rapid_switch_checked,technically_acceptable,sufficiently_distinct_from_other_two,alignment_acceptable,suitable_for_condition,retain,replacement_requested,reviewer,review_date,reviewer_comments
The Districts,Vermont,Similar Ratings,DU-P2,0.599075,13,0.244662107764,1.99900673721,false,REVIEW,11.6099773243,,,,,,,,,,,
The Districts,Vermont,Similar Ratings,DU-O2,0.428550,13,0.244662107764,1.99900673721,false,REVIEW,11.6099773243,,,,,,,,,,,
The Districts,Vermont,Similar Ratings,PXL-L3,0.354413,29,0.244662107764,1.99900673721,false,REVIEW,11.6099773243,,,,,,,,,,,
The Districts,Vermont,Wide Ratings,PXL-L1,0.537280,29,0.314231199885,1.11121902383,false,PASS,0,,,,,,,,,,,
The Districts,Vermont,Wide Ratings,PXL-L4,0.601972,29,0.314231199885,1.11121902383,false,PASS,0,,,,,,,,,,,
The Districts,Vermont,Wide Ratings,PXL-L5,0.287740,29,0.314231199885,1.11121902383,false,PASS,0,,,,,,,,,,,
Filthybird,I'd Like To Know,Similar Ratings,PXL-S3,0.387104,30,0.134741948699,2.63942489308,false,PASS,0,,,,,,,,,,,
Filthybird,I'd Like To Know,Similar Ratings,PXL-S5,0.418306,30,0.134741948699,2.63942489308,false,PASS,0,,,,,,,,,,,
Filthybird,I'd Like To Know,Similar Ratings,PXL-S1,0.521846,30,0.134741948699,2.63942489308,false,PASS,0,,,,,,,,,,,
Filthybird,I'd Like To Know,Wide Ratings,PXL-S2,0.466242,30,0.167072086151,1.35373057047,false,PASS,0,,,,,,,,,,,
Filthybird,I'd Like To Know,Wide Ratings,PXL-S6,0.539234,30,0.167072086151,1.35373057047,false,PASS,0,,,,,,,,,,,
Filthybird,I'd Like To Know,Wide Ratings,PXL-S7,0.633314,30,0.167072086151,1.35373057047,false,PASS,0,,,,,,,,,,,
Torres,New Skin,Similar Ratings,DU-Q,0.586993,53,0.320502326666,2.38104672679,false,PASS,0,,,,,,,,,,,
Torres,New Skin,Similar Ratings,DU-R,0.273390,53,0.320502326666,2.38104672679,false,PASS,0,,,,,,,,,,,
Torres,New Skin,Similar Ratings,DU-O,0.593892,53,0.320502326666,2.38104672679,false,PASS,0,,,,,,,,,,,
Torres,New Skin,Wide Ratings,DU-U,0.613360,53,0.290618485562,1.28592591205,false,REVIEW,11.6099773243,,,,,,,,,,,
Torres,New Skin,Wide Ratings,DU-T,0.375984,53,0.290618485562,1.28592591205,false,REVIEW,11.6099773243,,,,,,,,,,,
Torres,New Skin,Wide Ratings,DU-S,0.666602,53,0.290618485562,1.28592591205,false,REVIEW,11.6099773243,,,,,,,,,,,
Dawn Langstroth,No Prize,Similar Ratings,McG-L,0.593973,38,0.25148484687,2.4395702751,false,REVIEW,11.6099773243,,,,,,,,,,,
Dawn Langstroth,No Prize,Similar Ratings,McG-pro2,0.342488,38,0.25148484687,2.4395702751,false,REVIEW,11.6099773243,,,,,,,,,,,
Dawn Langstroth,No Prize,Similar Ratings,McG-N,0.448046,38,0.25148484687,2.4395702751,false,REVIEW,11.6099773243,,,,,,,,,,,
Dawn Langstroth,No Prize,Wide Ratings,McG-K,0.580746,38,0.22670564198,1.19373839798,false,REVIEW,0,,,,,,,,,,,
Dawn Langstroth,No Prize,Wide Ratings,McG-P,0.611291,38,0.22670564198,1.19373839798,false,REVIEW,0,,,,,,,,,,,
Dawn Langstroth,No Prize,Wide Ratings,McG-O,0.384585,38,0.22670564198,1.19373839798,false,REVIEW,0,,,,,,,,,,,
