mix,start_seconds,end_seconds,mono_corr,stereo_width_diff_db,crest_diff_db,imbalance,simple_score
PXL-S6,46.0,52.0,0.2891220859607323,0.1994239575516854,-0.04402986474554993,0.0006821161672254233,0.1063164584876752
UCP-A1,18.0,24.0,0.23325851591683452,0.044653621648153674,0.4912206106534427,-0.0029711879050508543,0.18949287058842423
UCP-A1,14.0,20.0,0.2680668776539774,-0.19973614610889534,0.6429791041106334,-0.0003919097694784304,0.2201811833630879
UCP-A2,54.0,60.0,0.19047277452772293,-0.0717833307428819,0.5655157056638735,-0.013729756007133845,0.29977347216557615
PXL-S6,42.0,48.0,0.2761125969829416,0.2955525722951595,1.032168488045393,0.007470468139886634,0.31037636538850555
DU-L,18.0,24.0,0.6857662316429803,0.5069564044089478,0.44326785089354104,-0.015296882325169493,0.31996837983850507
UCP-A1,22.0,28.0,0.24217992664994464,-0.370493811847723,-0.49638016471998014,-0.0023442757091416194,0.3353440773319693
DU-M,50.0,56.0,0.422951580731751,-0.33845012175878253,-1.1548350941025198,0.0010023126557059424,0.34245032499476924
PXL-S6,62.0,68.0,0.2797448507851395,0.4134303967142543,0.9251145293331717,0.004703969756490218,0.34599267618682394
DU-L,30.0,36.0,0.6801862139775102,0.5296331855572944,-0.6937868985066444,-0.007630698114413057,0.3688846275546439
UCP-A2,50.0,56.0,0.16075226597992134,-0.05824124935344166,0.8513177515968948,-0.016369147041627584,0.39531375545641245
UCP-A1,10.0,16.0,0.2411091325228192,-0.39049047453798735,0.8164097890919457,-0.00046627427662268225,0.39548844058714716
PXL-S6,54.0,60.0,0.2785315903059547,0.7427666587000576,-0.15237640798843088,-0.005134264075784038,0.3971766099363841
DU-L,14.0,20.0,0.6815105081124784,-0.5657483723935872,0.9042281488775679,-0.006417746057771068,0.41850840852842874
DU-M,58.0,64.0,0.3828605503027089,0.6962981443415774,0.47029473803335264,-0.0005499856213089353,0.4186932828757916
UCP-A1,26.0,32.0,0.21675480140978762,0.10873306186715581,1.608743258790998,-0.001520487721189535,0.42216841693265245
PXL-S6,58.0,64.0,0.29771830086489076,0.7781446209974447,-0.22224418255034806,-0.0013868304405427454,0.4224089378812746
PXL-S6,50.0,56.0,0.2705588523801182,0.6693805710463732,-0.5291113553227724,-0.002469211424780915,0.43293928406136617
DU-L,10.0,16.0,0.6814701429565712,-0.6828964122742107,0.6158216969355195,-0.007131141356320517,0.43382146067743327
DU-M,46.0,52.0,0.4201252517432932,0.21926067952298567,-2.197408874339658,-0.003328982990254348,0.4392416709124415
UCP-A2,42.0,48.0,0.1770365967136504,-0.46735886329507537,0.1714320459209695,-0.005353392997522975,0.46532104510838235
PXL-S6,38.0,44.0,0.20746525342185626,-0.07663680410311535,1.991981231317908,0.004240153579154592,0.4821850799055314
DU-M,54.0,60.0,0.3854705127395432,-0.6634209900041288,-1.0127647990632447,-0.0008875314192793061,0.4836252148615511
DU-N,50.0,56.0,0.6852679326350549,-0.4125723729237496,-2.238666147982915,-0.0009723792846929481,0.5420861086593121
UCP-A2,46.0,52.0,0.19372781660488758,-0.6227718137150635,0.5300432694320101,-0.018096055777794426,0.5634367640625582
