mix,source_file,reference_mix,start_seconds,end_seconds,candidate_source_start_seconds,duration_seconds,alignment_offset_ms,alignment_confidence,is_current_nonmatch,is_perceptual_note_mix,is_main_study_mix,excluded,exclusion_reasons,stereo_width_diff_db,mono_corr,null_diff_db_rel,raw_level_delta_db,true_peak_ref_dbfs,true_peak_cand_dbfs,rms_mean,crest_factor_mean,stereo_width,stereo_imbalance,side_mid_db,bark_mid_01,bark_side_01,bark_mid_02,bark_side_02,bark_mid_03,bark_side_03,bark_mid_04,bark_side_04,bark_mid_05,bark_side_05,bark_mid_06,bark_side_06,bark_mid_07,bark_side_07,bark_mid_08,bark_side_08,bark_mid_09,bark_side_09,bark_mid_10,bark_side_10,bark_mid_11,bark_side_11,bark_mid_12,bark_side_12,bark_mid_13,bark_side_13,bark_mid_14,bark_side_14,bark_mid_15,bark_side_15,bark_mid_16,bark_side_16,bark_mid_17,bark_side_17,bark_mid_18,bark_side_18,bark_mid_19,bark_side_19,bark_mid_20,bark_side_20,bark_mid_21,bark_side_21,bark_mid_22,bark_side_22,bark_mid_23,bark_side_23,bark_mid_24,bark_side_24,standardised_full_distance,scalar_distance,bark_distance,distance_band,recommendation_score_lower_better,shortlisted,recommended
DU-I,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-I.mp3,DU-H,10,16,10,6,0,0.5350754071,false,true,false,false,,5.71050922,0.5385191926,-1.487431199,-1.745432714e-13,-6.303614293,-0.8484883951,0.04969459027,25.22532909,0.08940494806,-0.08696118742,-10.48638488,6.069396375,3.558834027,5.949562912,4.564660074,5.576048243,4.353771484,5.530454269,4.458929831,5.281237326,4.161532291,4.769734299,3.755379614,4.589006982,3.720939932,4.352204616,3.74760053,4.446441,4.181825604,4.5684673,3.84263608,4.63328959,4.015478913,4.582684785,3.891874464,4.904239454,4.224440815,4.997911613,4.122129446,5.03509725,4.34285759,5.146052281,4.290966535,5.517441152,4.569572535,5.713793871,4.643582586,6.1290403,4.961594523,6.253679518,4.839352638,6.406818343,5.181738084,6.522471274,5.571809343,6.561797967,5.735962322,5.142450259,4.344310592,1.61362887,1.095418595,1.184844391,too_far,2.799082354,false,false
DU-J,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-J.mp3,DU-H,10,16,9.998,6,-2,0.188704674,true,false,false,true,poor_global_alignment_confidence;extreme_stereo_width_difference;extreme_stereo_imbalance,9.735701016,0.1437341615,-0.09066244473,-1.745432714e-13,-6.303614293,-5.498644568,0.04969459027,20.57517301,0.2258814871,0.6061226726,-6.46119308,5.990567177,5.072936357,5.981535293,5.289057532,5.749526474,5.072719988,5.588139034,4.756655225,5.278932885,4.448923238,4.950151077,4.186543352,4.934813455,4.21071334,4.730285168,4.093378954,4.744800552,4.382324556,4.776276989,4.115414284,4.862790502,4.227091707,4.738824788,4.057059174,4.897442695,4.299476615,4.894030366,4.178078682,4.740788609,4.165817646,4.73748761,4.109001917,5.015429747,4.339778985,5.150674443,4.481994108,5.4546626,4.801529666,5.542551406,4.850025764,5.637023412,4.980257258,5.508964137,5.002401099,5.333865013,4.956112506,3.680207577,3.316787054,1.764827519,1.353073983,1.133052059,excluded,9999,false,false
DU-K,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-K.mp3,DU-H,10,16,10.004,6,4,0.2325206703,false,false,true,true,extreme_stereo_width_difference,8.451355693,0.2382902266,-0.2538801023,-6.511266136e-07,-6.303614293,-2.577904741,0.04969458655,23.49591386,0.1680529565,0.01630482823,-7.745538403,5.825656373,4.887853402,5.764109994,4.815777864,5.647535811,4.105485889,5.292779733,3.840411163,4.818045974,3.316001221,4.495947371,2.688305284,4.428272346,2.843630257,4.208155868,3.165216359,4.529080948,2.645410827,4.202749274,3.011569733,4.278869944,3.220337754,4.086785198,2.845759628,4.439806132,3.011628673,4.32286062,3.32665047,4.49392622,3.318941629,4.495645109,3.588405754,4.791485611,3.922804272,4.883444628,3.87038724,5.164065169,4.065336669,5.180780646,3.694509194,5.152236905,3.71449901,4.867313752,3.341850395,4.429664794,1.963763871,2.68593458,-0.6026304229,1.370015799,1.179880774,0.6962935072,excluded,9999,false,false
DU-L,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-L.mp3,DU-H,10,16,10,6,0,0.6474959252,false,true,false,false,,-0.6828964123,0.681470143,-2.711603794,-6.511266136e-07,-6.303614293,-5.687793393,0.04969458655,20.38602509,0.02051261254,-0.01426153257,-16.87979051,6.064976505,1.181105538,5.634388936,2.084955965,5.46035847,2.61775104,5.431936211,2.839249665,5.169487639,2.86075582,4.791262974,2.820779579,4.757205446,2.80423657,4.598582959,2.921939907,4.786727099,3.423161989,4.880272401,3.063130925,4.945545942,3.347154456,4.841815634,3.177893435,5.112413233,3.697289727,5.162861811,3.555282713,5.137586795,3.880849912,5.200089357,3.827985071,5.494812288,4.038098524,5.66298815,4.154089513,6.046666432,4.612116896,6.140889954,4.507033667,6.355431044,4.941612542,6.543949984,5.343204464,6.633287891,5.645985826,5.229132204,4.158402716,1.140087801,0.1158194899,1.134189596,too_far,0.5658768017,false,false
DU-M,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-M.mp3,DU-H,10,16,10,6,0,0.4214250155,true,false,false,false,,4.255567422,0.4446716457,-0.9568096796,-6.511266136e-07,-6.303614293,-6.560784455,0.04969458655,19.51303435,0.063953951,-0.007017062511,-11.94132667,6.172179805,2.666492254,6.0127871,4.004833685,5.69325377,4.09781733,5.587481764,3.917971706,5.252492254,3.659486315,4.877590226,3.511752372,4.818691849,3.604055608,4.60607405,3.661723155,4.618456231,4.133126576,4.714313301,3.648342973,4.845085185,3.779031659,4.660934253,3.520121573,4.794966238,3.832767387,4.813724427,3.576602364,4.699923192,3.855465856,4.705511204,3.699941541,5.046979597,3.844146955,5.233725842,3.937721904,5.566928366,4.255841391,5.631981299,4.164508688,5.819710692,4.258492303,5.994723797,4.465969374,6.045505387,4.4634366,4.607628864,2.606702315,0.8036076008,0.2703259594,0.7567754302,close_to_moderate,1.849065741,false,false
DU-N,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\DU-N.mp3,DU-H,10,16,10,6,0,0.6569947399,false,true,true,false,,-2.38004758,0.6515861633,-2.400031827,-1.745432714e-13,-6.303614293,-8.417636943,0.04969459027,17.65618055,0.01387732755,-0.01385795977,-18.57694168,6.244436886,2.115328107,6.134063138,3.632281772,5.543272216,3.956368002,4.953695841,3.832485871,4.784260637,3.322822347,4.832809045,3.057383193,4.756843125,3.140836702,4.32958674,3.073911906,4.534191421,3.145791243,4.730793611,3.118668673,4.561081457,3.155707842,4.515573667,3.104997193,4.585561677,3.422125866,4.617773312,3.257713118,4.635068217,3.016994976,4.760203642,2.940444208,5.016217368,3.086682642,5.119193387,3.178244082,5.555226941,3.312107408,5.669272965,3.18574172,5.977399682,3.119223959,6.276327402,2.427046159,6.345497856,1.409258053,4.939668422,-0.7949904839,0.9234620925,0.3952849054,0.8345849746,close_to_moderate,1.193254002,false,false
PXL-S6,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S6.mp3,DU-H,10,16,9.999,6,-1,0.3458613705,false,false,false,false,,0.85795006,0.3798652783,-0.6767717443,-1.745432714e-13,-6.303614293,-7.266144362,0.04969459027,18.80767352,0.02924863435,-0.006185508799,-15.33894404,6.308900222,3.089832034,5.904025339,4.223341499,5.461191977,4.058991678,5.28795892,3.971977078,5.015007174,3.747261864,4.610451532,3.480683276,4.487477265,3.360634655,4.283035781,3.049094741,4.461621809,3.400536488,4.410806869,3.342795701,4.465802612,3.516220135,4.341345871,3.328813341,4.5996273,3.446395863,4.636410449,3.515056453,4.67649975,3.687573184,4.771020404,3.632503694,5.191085663,4.021338429,5.390750422,4.32153616,5.699410674,4.702951027,5.709484504,4.60655976,5.731697281,4.842340441,5.705291583,5.185211514,5.69529796,5.299423048,4.19846468,3.804647902,0.6100318992,0.1807420564,0.5826415941,too_close,9999,false,false
UCP-A1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,DU-H,10,16,9.999,6,-1,0.3683306341,false,false,false,false,,-0.3899679209,0.4375854939,-0.9230945244,-1.745432714e-13,-6.303614293,-5.486650968,0.04969459027,20.58716676,0.02194389887,-0.0009238547063,-16.58686202,6.262696847,2.664880052,6.126152462,3.614364661,5.73891391,3.492809603,5.706224707,3.507472089,5.132962908,3.361049026,4.644934718,3.204903401,4.607069893,3.12039811,4.460849213,3.090601729,4.520760203,3.386245661,4.539622892,3.441944893,4.72389536,3.74655668,4.655342214,3.428016595,4.812092169,3.565574178,4.805962508,3.718619026,4.794976032,3.928775761,4.740892825,3.776758823,5.05901379,4.082077639,5.263139815,4.361124155,5.530057181,4.670636643,5.566026136,4.503056527,5.67734297,4.752961021,5.789245223,5.055276761,5.892640515,5.161546626,4.458019873,3.661092032,0.7267242685,0.1511410392,0.7108336997,close_to_moderate,0.2229892474,true,false
UCP-A2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A2.mp3,DU-H,10,16,9.999,6,-1,0.3280724438,false,false,false,false,,0.8739145889,0.4131590408,-0.8128844477,-1.745432714e-13,-6.303614293,-4.597301406,0.04969459027,21.47651654,0.02935634553,0.004172855522,-15.32297951,6.208070699,2.375747965,5.995922871,3.682211061,5.705518479,3.65605843,5.646450596,3.616997775,5.18531899,3.545955988,4.784190934,3.431636388,4.691961154,3.357958527,4.496715002,3.276167186,4.698118309,3.570682803,4.741375221,3.630344714,4.857159612,3.918392413,4.799268151,3.616333256,4.974479977,3.738633119,4.95367294,3.837534532,4.906614559,4.065031098,4.870853356,3.96219707,5.171725331,4.221736708,5.405633256,4.499012463,5.687033924,4.807272843,5.729468845,4.641630602,5.799296272,4.914511487,5.871825996,5.195393189,5.944898809,5.33659841,4.450001808,3.864666779,0.9208206026,0.3163824422,0.8647616622,close_to_moderate,0.4134659651,false,false
McG-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-A.mp3,DU-H,10,16,10.022,6,22,0.2330510863,false,false,false,false,,-0.5314218196,0.2706340061,-0.330339155,-6.511266136e-07,-6.303614293,-9.530507091,0.04969458655,16.54331151,0.02124067955,0.0133663835,-16.72831592,6.276329835,3.244280287,5.783494607,3.932440046,5.515660076,3.825895273,5.358165572,3.69696329,4.998101715,3.703089936,4.74516725,3.494560131,4.798530788,3.577432788,4.574286629,3.262980171,4.795471371,3.579585049,4.769367881,3.458347982,4.93948313,3.611535917,4.792802908,3.473722441,4.957705319,3.615510607,4.931165969,3.551379128,4.775978198,3.456285308,4.684499722,3.364698871,5.00473048,3.570697561,5.154845029,3.813306575,5.398224684,4.02505965,5.414401093,4.029712056,5.428272987,4.193906227,5.332071322,4.336103857,5.342614196,4.497479742,4.651966933,3.95959578,0.8874394285,0.5948013893,0.6586046208,close_to_moderate,0.2667685175,false,false
