mix,source_file,reference_mix,start_seconds,end_seconds,candidate_source_start_seconds,duration_seconds,alignment_offset_ms,alignment_confidence,is_current_nonmatch,is_perceptual_note_mix,is_main_study_mix,excluded,exclusion_reasons,stereo_width_diff_db,mono_corr,null_diff_db_rel,raw_level_delta_db,true_peak_ref_dbfs,true_peak_cand_dbfs,rms_mean,crest_factor_mean,stereo_width,stereo_imbalance,side_mid_db,bark_mid_01,bark_side_01,bark_mid_02,bark_side_02,bark_mid_03,bark_side_03,bark_mid_04,bark_side_04,bark_mid_05,bark_side_05,bark_mid_06,bark_side_06,bark_mid_07,bark_side_07,bark_mid_08,bark_side_08,bark_mid_09,bark_side_09,bark_mid_10,bark_side_10,bark_mid_11,bark_side_11,bark_mid_12,bark_side_12,bark_mid_13,bark_side_13,bark_mid_14,bark_side_14,bark_mid_15,bark_side_15,bark_mid_16,bark_side_16,bark_mid_17,bark_side_17,bark_mid_18,bark_side_18,bark_mid_19,bark_side_19,bark_mid_20,bark_side_20,bark_mid_21,bark_side_21,bark_mid_22,bark_side_22,bark_mid_23,bark_side_23,bark_mid_24,bark_side_24,standardised_full_distance,scalar_distance,bark_distance,distance_band,recommendation_score_lower_better,shortlisted,recommended
UCP-A1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,DU-H,18,24,17.999,6,-1,0.3683306341,false,false,false,false,,0.04547489065,0.4150492721,-0.8210876151,-5.980558515e-07,-6.241330467,-5.750159467,0.05410442501,19.58518444,0.02858958952,-0.005927409045,-15.43792036,6.390217703,2.932582553,6.171881021,3.680832391,5.779112373,3.525309826,5.546820915,3.58977546,5.287488599,3.583694638,5.001681616,3.437658806,4.504793079,3.277617111,4.887969654,3.35536838,4.761129858,3.483633973,5.116176986,3.558169783,5.178244318,3.79316161,4.901394539,3.660019751,4.947592512,3.879704183,5.073230005,4.028089246,5.126750704,4.2109979,5.153322325,4.237749389,5.733059475,4.631567609,5.711418711,4.869639057,6.006954358,5.085956784,6.085729645,4.984563883,6.120790687,5.192077837,6.035158155,5.305681053,5.98059407,5.286825706,4.456698532,3.70904024,0.7265482828,0.09051412546,0.7208880637,close_to_moderate,0.1025926725,true,true
UCP-A1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,DU-H,26,32,25.999,6,-1,0.3683306341,false,false,false,false,,0.1118794612,0.4158284657,-0.8244876432,-6.710932101e-07,-6.923652953,-5.314874008,0.04821605608,21.02129196,0.0238307137,-0.003048406448,-16.22862952,6.232053348,2.658213026,6.01692786,3.464323391,5.76612393,3.417168349,5.600202268,3.679892554,5.041694706,3.368123661,4.600079576,3.255737363,4.372746684,3.265150224,4.526154482,3.293456999,4.391056035,3.447210364,4.276919542,3.477981666,4.266256616,3.659423622,4.325830736,3.435106346,4.513596681,3.698130335,4.732900258,3.852533943,4.724375367,3.982014666,4.586922203,3.842665069,5.151437399,4.170215962,5.271014251,4.381633214,5.489093462,4.629547346,5.486079141,4.502116674,5.564693239,4.771396867,5.770392459,5.057985222,5.900261218,5.154037536,4.443280049,3.65065107,0.8963083561,0.2964257951,0.8458725774,close_to_moderate,0.122241424,true,false
PXL-S6,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S6.mp3,DU-H,46,52,45.999,6,-1,0.3458613705,false,false,false,false,,0.1984854549,0.4056381949,-0.7807570088,-5.610592079e-07,-5.189931026,-5.234036585,0.05767210945,19.54664633,0.05024249107,0.001358732465,-12.98928878,6.426016803,3.217382501,6.042992776,4.36018469,5.482124632,4.245988276,5.233287758,4.183796308,5.306009863,4.194077624,5.068239901,4.216411279,4.836701413,4.221819803,5.022556642,4.274898881,5.238937315,4.452074317,5.194029409,4.566355676,5.061592344,4.252072907,5.01513303,4.144540961,4.937289317,4.068152793,4.834886693,4.06257252,5.017102703,4.172721948,5.264397874,4.260252648,5.585949894,4.491884283,5.748532949,4.662754246,6.134964671,5.160830961,6.160716045,5.154213062,6.100592242,5.237087026,6.047908147,5.463193755,5.976140476,5.517491004,4.369755162,3.988537271,0.7185658301,0.01701867915,0.7183642646,close_to_moderate,0.1641288227,true,true
PXL-S6,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\PXL-S6.mp3,DU-H,62,68,61.999,6,-1,0.3458613705,false,false,false,false,,0.4155437683,0.3919076274,-0.7241990809,1.007675295e-06,-6.380257594,-5.456192446,0.06422199309,18.39013175,0.03969727457,0.009432871826,-14.01239244,6.56944495,3.285759635,6.147275446,4.40208026,5.601142175,4.302571905,5.471652346,4.309639864,5.46940835,4.127318319,5.246397096,4.233081728,4.960624115,4.256086181,5.049888944,4.17160269,5.17438768,4.35813096,5.261867971,4.573723119,5.079898005,4.079078572,4.902776406,3.943534962,4.906725391,3.920135796,4.818327611,3.953263636,5.050629158,4.135089736,5.118230643,4.093813521,5.700817672,4.457995752,5.840437595,4.648854569,6.200649148,4.97411458,6.232350651,4.899378115,6.10888263,5.043344102,6.053332432,5.3633256,5.975638752,5.457391249,4.388798421,3.902590664,0.7844955428,0.1719494587,0.7654192579,close_to_moderate,0.1741695197,true,false
McG-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-H.mp3,DU-H,46,52,46.022,6,22,0.2619281979,false,false,false,false,,-0.05641024014,0.2799138334,-0.3543481804,-5.610592079e-07,-5.189931026,-4.017236448,0.05767210945,20.76344692,0.04737852514,-0.02778363042,-13.24418447,6.241225244,3.353232019,6.06902084,4.017103826,5.589176617,4.030342007,5.1940416,3.901717865,5.371280271,3.79641011,5.220678068,4.21815,5.01798853,4.430233869,5.333579859,4.355017152,5.580783885,4.467107425,5.467111623,4.617901663,5.37010006,4.18546399,5.367173123,4.018036375,5.233296621,4.03689888,5.091803127,3.947114965,5.220574914,4.129177899,5.413172763,4.161929814,5.720679617,4.37324722,5.898278318,4.566769549,6.367989878,4.993630215,6.453601404,5.089209421,6.462520272,5.328582515,6.485974078,5.673007677,6.489562315,5.967450784,5.803936027,5.288603111,0.9880019717,0.2160945123,0.9640804209,too_far,0.1945811288,true,false
UCP-A2,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A2.mp3,DU-H,54,60,53.999,6,-1,0.3280724438,false,false,false,false,,-0.0725007166,0.3088438179,-0.4353599919,-1.272912256e-13,-5.139242476,-4.574123056,0.0681316033,18.75890482,0.04089617357,-0.02742049471,-13.88317332,6.378902664,3.056046859,6.315591029,4.034899936,6.021629147,4.184124784,5.833317735,4.107996222,5.787080359,4.266593118,5.70374284,4.35451261,5.68400632,4.343927587,5.774964177,4.342997712,6.204652516,4.769827176,5.784898473,4.396529919,5.624041883,4.393367443,5.387084743,4.288037524,5.287642385,4.396464154,5.28008118,4.441379203,5.282530571,4.589435311,5.34323189,4.582475832,5.680396262,4.901764,5.784948097,5.017220547,6.186043434,5.172443703,6.112591333,5.149131729,6.029523717,5.068158005,6.303765813,5.190181923,6.220067837,5.194449739,4.466097093,3.580662614,0.9947095398,0.1042173958,0.9892349585,too_far,0.2068600471,true,false
McG-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-H.mp3,DU-H,10,16,10.022,6,22,0.2619281979,false,false,false,false,,0.1806063123,0.297306131,-0.401912554,-1.745432714e-13,-6.303614293,-3.726946969,0.04969459027,22.34687092,0.0250248313,-0.02650607005,-16.01628778,6.20862908,3.183138728,5.974553952,3.881077169,5.53587389,3.729974663,5.31556536,3.48440694,5.081519348,3.401459024,4.704650826,3.210263051,4.650727807,3.188336647,4.573519901,3.012113697,4.68288559,3.379155461,4.660182452,3.354174875,4.745928095,3.569697003,4.677687807,3.41422253,4.872725574,3.540991888,4.916202235,3.552576079,4.894293249,3.764312914,4.905329156,3.703335713,5.302129406,4.005482065,5.53040202,4.277590478,5.933006779,4.642915679,6.034004954,4.707571999,6.147862816,5.039044338,6.162578383,5.44280141,6.238823227,5.775401254,5.646864606,5.125365465,0.9586396337,0.4747686498,0.8328173127,too_far,0.2086270994,true,false
UCP-A1,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\UCP-A1.mp3,DU-H,10,16,9.999,6,-1,0.3683306341,false,false,false,false,,-0.3899679209,0.4375854939,-0.9230945244,-1.745432714e-13,-6.303614293,-5.486650968,0.04969459027,20.58716676,0.02194389887,-0.0009238547063,-16.58686202,6.262696847,2.664880052,6.126152462,3.614364661,5.73891391,3.492809603,5.706224707,3.507472089,5.132962908,3.361049026,4.644934718,3.204903401,4.607069893,3.12039811,4.460849213,3.090601729,4.520760203,3.386245661,4.539622892,3.441944893,4.72389536,3.74655668,4.655342214,3.428016595,4.812092169,3.565574178,4.805962508,3.718619026,4.794976032,3.928775761,4.740892825,3.776758823,5.05901379,4.082077639,5.263139815,4.361124155,5.530057181,4.670636643,5.566026136,4.503056527,5.67734297,4.752961021,5.789245223,5.055276761,5.892640515,5.161546626,4.458019873,3.661092032,0.7267242685,0.1511410392,0.7108336997,close_to_moderate,0.2229892474,true,false
McG-H,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-H.mp3,DU-H,22,28,22.022,6,22,0.2619281979,false,false,false,false,,0.5705873481,0.3110401813,-0.4418997935,-1.822578912e-13,-5.472789673,-6.118289487,0.0476715602,20.31652315,0.02861849032,-0.03747963905,-15.43353323,6.148970229,3.234784253,5.892266312,3.790474216,5.370300873,3.760622885,4.93343594,3.568132326,5.114905519,3.428766489,4.880081423,3.376696957,4.540622125,3.306813843,4.66406954,3.329927222,4.814799688,3.509874702,4.950141188,3.529988741,5.00972648,3.581320358,4.800803297,3.451415786,4.582215079,3.538046656,4.652960663,3.617169326,4.800498956,3.795680151,4.891652911,3.80200947,5.389008172,4.106602896,5.415557526,4.287360147,5.805306372,4.56592996,5.967320619,4.660498125,5.991268439,4.970658129,6.040645738,5.340978814,6.112112642,5.661983358,5.568637564,5.054929156,0.8580660836,0.1212201031,0.8494604702,close_to_moderate,0.2445469119,true,false
McG-A,C:\Users\oscar\OneDrive\Public share - Mix Eval Dataset\MixEvaluation\audio\InTheMeantime\McG-A.mp3,DU-H,14,20,14.022,6,22,0.2330510863,false,false,false,false,,-0.6885125188,0.2893586899,-0.3797579876,-6.701616138e-07,-6.241330467,-9.157989882,0.0482830815,17.16611081,0.02172764763,0.002816231921,-16.62987291,6.275681691,3.25844542,5.662504154,3.799773945,5.278019136,3.644378874,5.065820375,3.546377925,4.875328142,3.709497609,4.690705256,3.441180751,4.366491213,3.388974234,4.355344703,3.213704535,4.749590357,3.617578722,4.86270482,3.644188226,4.926143273,3.673479333,4.587266058,3.341887376,4.639318724,3.445460201,4.734218929,3.484242231,4.903122653,3.567083864,4.700566875,3.372161302,4.977419356,3.523589984,4.944121677,3.687690395,5.180639236,3.940377831,5.122759651,3.91884638,5.307998602,4.155473213,5.245770762,4.288387929,5.315238738,4.468833056,4.711878221,3.941694001,0.8073562048,0.5379344059,0.6020387166,close_to_moderate,0.2468479204,true,false
