rank,mix,start_seconds,end_seconds,recommended,reference_preview,nonmatch_preview,rapid_ab_preview
1,UCP-A1,18,24,true,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_01_UCP-A1_18_24s\reference_DU-H_18_24s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_01_UCP-A1_18_24s\nonmatch_UCP-A1_18_24s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_01_UCP-A1_18_24s\rapid_ab_DU-H_vs_UCP-A1.wav
2,UCP-A1,26,32,false,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_02_UCP-A1_26_32s\reference_DU-H_26_32s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_02_UCP-A1_26_32s\nonmatch_UCP-A1_26_32s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_02_UCP-A1_26_32s\rapid_ab_DU-H_vs_UCP-A1.wav
3,PXL-S6,46,52,true,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_03_PXL-S6_46_52s\reference_DU-H_46_52s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_03_PXL-S6_46_52s\nonmatch_PXL-S6_46_52s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_03_PXL-S6_46_52s\rapid_ab_DU-H_vs_PXL-S6.wav
4,PXL-S6,62,68,false,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_04_PXL-S6_62_68s\reference_DU-H_62_68s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_04_PXL-S6_62_68s\nonmatch_PXL-S6_62_68s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_04_PXL-S6_62_68s\rapid_ab_DU-H_vs_PXL-S6.wav
5,McG-H,46,52,false,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_05_McG-H_46_52s\reference_DU-H_46_52s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_05_McG-H_46_52s\nonmatch_McG-H_46_52s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_05_McG-H_46_52s\rapid_ab_DU-H_vs_McG-H.wav
6,UCP-A2,54,60,false,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_06_UCP-A2_54_60s\reference_DU-H_54_60s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_06_UCP-A2_54_60s\nonmatch_UCP-A2_54_60s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_06_UCP-A2_54_60s\rapid_ab_DU-H_vs_UCP-A2.wav
7,McG-H,10,16,false,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_07_McG-H_10_16s\reference_DU-H_10_16s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_07_McG-H_10_16s\nonmatch_McG-H_10_16s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_07_McG-H_10_16s\rapid_ab_DU-H_vs_McG-H.wav
8,UCP-A1,10,16,false,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_08_UCP-A1_10_16s\reference_DU-H_10_16s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_08_UCP-A1_10_16s\nonmatch_UCP-A1_10_16s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_08_UCP-A1_10_16s\rapid_ab_DU-H_vs_UCP-A1.wav
9,McG-H,22,28,false,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_09_McG-H_22_28s\reference_DU-H_22_28s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_09_McG-H_22_28s\nonmatch_McG-H_22_28s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_09_McG-H_22_28s\rapid_ab_DU-H_vs_McG-H.wav
10,McG-A,14,20,false,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_10_McG-A_14_20s\reference_DU-H_14_20s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_10_McG-A_14_20s\nonmatch_McG-A_14_20s.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\09_abx_prestudy_similarity_review_final\previews\rank_10_McG-A_14_20s\rapid_ab_DU-H_vs_McG-A.wav
